Symbol,Name,Last,20D MA Str,50D MA Str,20D MA Dir,Analyst Rating,Surprise% 2-Qtrs Ago,Surprise% 3-Qtrs Ago,Surprise% 4-Qtrs Ago,3Y Return,5Y Return,5Y Earn%,5Y Rev%
GOOGL,Alphabet Cl A,1261.15,Soft,Weak,Weakest,4.74,-19.49%,23.67%,12.58%,48.90%,122.95%,147.65%,145.23%
PM,Philip Morris International Inc,76.86,Soft,Weak,Weakening,4.42,5.93%,9.77%,10.10%,-28.88%,-5.79%,-10.82%,-62.79%
IR,Ingersoll Rand Inc.,26.43,Weak,Weak,Strengthening,4.27,53.85%,-8.70%,15.00%,0.00%,0.00%,0.00%,-4.60%
BRK.B,Berkshire Hathaway Cl B,188.75,Weak,Weak,Weakest,4.6,15.47%,-7.75%,-5.44%,17.01%,34.56%,45.75%,30.79%
NWSA,News Cp Cl A,8.77,Weak,Average,Strengthening,1.67,unch,250.00%,500.00%,-30.95%,-42.69%,0.00%,17.49%
NOV,National-Oilwell,11.5,Weak,Soft,Weakening,3.74,-710.00%,42.86%,-122.22%,-66.32%,-78.47%,-110.84%,-60.45%
CAT,Caterpillar Inc,114.6,Weak,Weak,Weakening,3.2,-5.67%,-9.29%,3.52%,23.30%,37.47%,73.35%,-2.51%
EXPD,Expeditors Intl,70.67,Soft,Weak,Weakest,2.71,2.22%,10.00%,-5.88%,26.97%,54.41%,79.69%,24.54%
SRE,Sempra Energy,122.57,Weak,Weak,Weakening,3.62,0.67%,-7.56%,13.61%,10.59%,13.63%,43.95%,-1.87%
UPS,United Parcel Service,101.2,Soft,Soft,Weakening,3.56,0.98%,1.55%,-2.11%,-2.86%,4.74%,58.53%,27.24%
MSI,Motorola Solutions,155.38,Soft,Weak,Strengthening,4.44,4.37%,2.63%,7.41%,88.45%,160.48%,208.71%,34.11%
ISRG,Intuitive Surg Inc,518.33,Soft,Weak,Weakest,3.54,7.94%,41.70%,19.73%,94.12%,212.10%,127.69%,110.09%
PAYX,Paychex Inc,66.46,Weak,Weak,Strengthening,2.67,2.94%,2.90%,-3.08%,14.14%,37.11%,66.08%,49.77%
MET,Metlife Inc,32.55,Weak,Soft,Weakening,4.1,-9.93%,5.34%,13.85%,-27.78%,-26.91%,6.45%,-5.04%
MYL,Mylan NV Ord Shs,15.86,Weak,Weak,Strengthening,3.92,2.63%,8.42%,3.80%,-56.26%,-78.82%,24.16%,48.98%
KMB,Kimberly-Clark Corp,139.72,Average,Weak,Weakest,3.83,2.22%,1.83%,7.79%,9.22%,27.14%,25.05%,-6.46%
ETFC,E*Trade Finl Corp,39.25,Soft,Weak,Weakest,3.25,8.00%,1.82%,15.96%,15.40%,41.53%,259.82%,55.77%
NBL,Noble Energy Inc,6.86,Weak,Soft,Weakening,4.29,9.09%,23.08%,-12.50%,-79.65%,-86.23%,-114.83%,-13.00%
HSY,Hershey Foods Corp,144.58,Soft,Weak,Weakest,3.4,unch,11.02%,7.43%,36.37%,54.77%,45.23%,7.61%
XRX,Xerox Corp,17.83,Weak,Average,Weakening,2.33,27.06%,6.45%,7.06%,-34.54%,-42.65%,-17.06%,-53.60%
ICE,Intercontinental Exchange,89.4,Soft,Weak,Weakening,4.9,11.58%,2.17%,3.37%,49.64%,102.34%,101.04%,68.24%
BBY,Best Buy Company,69.79,Soft,Weak,Strengthening,3.82,8.65%,9.09%,15.91%,39.02%,98.93%,133.46%,8.18%
ADP,Automatic Data Procs,139.82,Weak,Weak,Weakening,3.27,0.75%,0.88%,4.73%,37.38%,65.98%,73.57%,16.13%
AFL,Aflac Incorporated,36.15,Weak,Weak,Weakening,3.38,8.41%,5.61%,6.67%,-1.39%,13.66%,44.16%,-1.85%
HSIC,Henry Schein Inc,53.15,Soft,Weak,Weakening,3.58,4.65%,1.20%,5.26%,-18.64%,-4.04%,29.04%,-3.72%
BIIB,Biogen Inc,339.41,Average,Average,Weakening,3.63,10.88%,20.71%,1.60%,25.50%,-7.42%,143.44%,48.18%
IPGP,Ipg Photonics Corp,117.94,Weak,Weak,Strengthening,3.89,-9.24%,0.71%,-1.92%,-1.24%,25.98%,15.04%,70.76%
PNR,Pentair Ltd,31.36,Weak,Soft,Weakening,3.92,5.45%,4.55%,unch,-49.40%,-48.54%,-37.04%,-57.99%
CAH,Cardinal Health,50.74,Soft,Weak,Weakest,3.36,16.51%,19.35%,11.19%,-29.34%,-43.94%,37.50%,59.78%
KMX,Carmax Inc,64.56,Weak,Soft,Strengthening,4.45,-10.34%,5.26%,6.71%,11.85%,-6.79%,101.13%,42.41%
HPQ,HP Inc,15.36,Weak,Soft,Strengthening,3.54,3.45%,5.45%,3.92%,-15.14%,2.66%,-40.11%,-47.28%
CDNS,Cadence Design Sys,77.84,Strong,Average,Weakest,4.22,9.09%,5.56%,22.86%,139.20%,314.17%,358.44%,47.78%
CTL,Centurylink,10.14,Weak,Soft,Strengthening,2.31,-3.12%,9.68%,25.93%,-59.52%,-71.85%,-49.43%,24.24%
NRG,NRG Energy,31.03,Soft,Weak,Strengthening,4.67,-12.15%,-10.26%,-12.82%,83.77%,22.88%,1621.74%,-38.11%
TMUS,T-Mobile US,89.94,Soft,Weak,Weakest,4.57,19.59%,30.30%,23.16%,40.63%,165.20%,1240.00%,52.21%
IRM,Iron Mountain Inc,24.67,Weak,Average,Strengthening,3.75,5.08%,5.88%,-9.43%,-31.23%,-31.57%,-31.62%,36.72%
PAYC,Paycom Software Inc,222.36,Weak,Weak,Weakening,3.82,15.52%,9.84%,-7.87%,279.54%,583.65%,1488.89%,388.75%
HRL,Hormel Foods Corp,49.92,Strong,Strong,Weakening,2.86,unch,5.71%,2.22%,45.60%,84.18%,55.36%,1.94%
FFIV,F5 Networks Inc,122.66,Soft,Weak,Weakest,3.47,1.51%,-2.94%,0.49%,-9.10%,0.75%,96.19%,29.47%
OMC,Omnicom Group Inc,53.92,Weak,Soft,Strengthening,3.38,1.54%,4.35%,8.33%,-34.45%,-29.59%,41.92%,-2.38%
CHD,Church & Dwight Company,72.67,Average,Soft,Weakest,3.43,8.20%,9.62%,6.06%,46.37%,75.22%,63.58%,32.15%
SPGI,S&P Global Inc,279.17,Soft,Weak,Weakest,4.18,5.58%,8.00%,unch,114.86%,166.02%,145.62%,32.63%
COTY,Coty Inc,5.68,Weak,Soft,Weakest,3.22,16.67%,unch,8.33%,-67.33%,-76.80%,-14.47%,90.01%
STX,Seagate Tech Ord Shs,50.83,Soft,Weak,Weakest,3,3.00%,3.61%,15.28%,6.65%,-11.78%,-4.37%,-24.29%
RF,Regions Financial Corp,9.4,Weak,Soft,Weakening,3.78,2.56%,unch,unch,-29.32%,-0.63%,96.20%,24.88%
HOLX,Hologic Inc,43.24,Average,Weak,Strengthening,3.87,unch,3.28%,1.75%,1.13%,28.83%,60.93%,33.06%
CMA,Comerica Inc,29.62,Weak,Average,Weakening,2.75,1.05%,-3.48%,7.22%,-56.34%,-34.33%,147.94%,45.80%
BLK,Blackrock,470.8,Soft,Weak,Strengthening,4.5,8.74%,2.88%,-1.69%,26.14%,27.85%,47.26%,31.21%
TEL,Te Connectivity Ltd,66.58,Weak,Soft,Weakening,3.93,1.53%,5.63%,11.81%,-8.38%,-2.03%,46.44%,-3.34%
AMCR,Amcor Plc,8.64,Weak,Weak,Weakening,3.75,N/A,N/A,unch,-6.60%,0.00%,35.56%,117.76%
EOG,Eog Resources,41.17,Weak,Soft,Strengthening,4.35,-0.88%,-1.50%,15.53%,-55.29%,-56.74%,0.61%,-3.63%
NTRS,Northern Trust Corp,79.33,Weak,Weak,Weakening,3,3.05%,4.17%,1.37%,-8.42%,9.44%,95.00%,52.80%
DISCA,Discovery Comm A,21.7,Soft,Soft,Strengthening,4.75,4.82%,-1.01%,10.13%,-24.07%,-32.31%,100.54%,77.88%
KMI,Kinder Morgan,14.69,Weak,Weak,Weakening,3.94,unch,-4.35%,unch,-26.15%,-66.24%,-15.93%,-18.59%
LIN,Linde Plc,185,Soft,Weak,Weakest,4.5,8.99%,4.57%,9.74%,0.00%,0.00%,17.07%,130.00%
HON,Honeywell International Inc,135.7,Weak,Soft,Weakening,4.23,3.48%,0.96%,4.92%,8.84%,34.95%,46.76%,-8.92%
HII,Huntington Ingalls Industries,192.26,Weak,Weak,Weakest,3.4,3.03%,-13.76%,-12.84%,-1.84%,40.41%,96.22%,27.91%
MMM,3M Company,143.67,Weak,Weak,Weakest,2.82,4.45%,7.84%,-10.80%,-23.52%,-7.88%,21.50%,0.99%
PLD,Prologis Inc,88.5,Soft,Weak,Weakest,4.79,4.30%,1.32%,1.39%,66.00%,111.98%,98.39%,89.15%
PRGO,Perrigo Company,50.86,Soft,Weak,Weakest,3.7,11.83%,6.17%,13.83%,-21.92%,-73.11%,-36.93%,5.07%
INTC,Intel Corp,59.18,Soft,Weak,Weakest,3.39,14.52%,19.10%,2.30%,66.19%,88.15%,110.82%,28.81%
LH,Laboratory Corp of America Holdings,145.61,Soft,Weak,Weakening,4.42,2.11%,1.03%,3.56%,3.65%,17.01%,66.47%,92.21%
COP,Conocophillips,34.57,Weak,Weak,Strengthening,4.47,5.13%,-2.88%,8.70%,-26.14%,-47.77%,-32.26%,-33.95%
GPC,Genuine Parts Company,73.18,Soft,Weak,Weakest,3.33,2.04%,-5.99%,-2.29%,-19.83%,-18.85%,23.43%,26.40%
MSFT,Microsoft Corp,175.06,Average,Soft,Weakest,4.88,10.40%,13.22%,14.00%,168.98%,273.09%,78.57%,44.93%
TAP,Molson Coors Brewing Company,43.49,Weak,Weak,Weakest,3.58,1.37%,-7.88%,-8.77%,-53.22%,-40.93%,9.93%,155.15%
ADI,Analog Devices,100.91,Soft,Weak,Weakest,4.47,-1.65%,3.28%,4.62%,32.42%,64.40%,115.48%,109.13%
UAA,Under Armour,9.65,Weak,Soft,Weakening,3.13,27.78%,20.00%,N/A,-48.13%,-76.14%,-30.61%,70.77%
LOW,Lowe's Companies,95.13,Weak,Weak,Weakest,4.64,4.44%,7.50%,-8.27%,16.33%,32.72%,113.43%,28.32%
GWW,W.W. Grainger,274.51,Soft,Weak,Weakest,3.62,-4.05%,-0.22%,2.04%,43.59%,13.40%,41.03%,15.26%
AAPL,Apple Inc,276.93,Soft,Weak,Weakest,4.38,6.69%,3.81%,3.80%,98.78%,117.07%,84.34%,42.33%
WM,Waste Management,98.2,Weak,Soft,Strengthening,4.07,2.59%,3.74%,3.30%,36.64%,90.41%,77.42%,10.42%
RJF,Raymond James Financial,62.36,Weak,Average,Weakening,3,0.50%,unch,8.38%,-13.03%,11.58%,122.89%,61.58%
FOX,Fox Corp Cl B,25.69,Soft,Weak,Weakening,5,N/A,N/A,N/A,0.00%,0.00%,0.00%,0.00%
CMI,Cummins Inc,146.1,Soft,Weak,Weakest,3.47,-0.26%,-2.51%,19.66%,2.49%,9.29%,64.84%,22.63%
FANG,Diamondback Energy,30.86,Weak,Soft,Weakening,4.55,-14.04%,-2.30%,2.21%,-68.88%,-60.52%,209.37%,699.64%
ALL,Allstate Corp,102.72,Soft,Weak,Weakening,4.13,12.70%,47.30%,0.44%,31.59%,47.88%,93.15%,26.78%
AMT,American Tower Corp,248.68,Soft,Soft,Weakest,4.42,4.71%,7.49%,2.22%,104.18%,166.53%,112.00%,84.88%
ITW,Illinois Tool Works Inc,155.21,Soft,Weak,Weakest,3.07,5.15%,1.52%,0.56%,17.58%,67.58%,65.95%,-2.59%
GD,General Dynamics Corp,135.25,Weak,Soft,Weakening,4.27,2.61%,3.36%,7.56%,-26.86%,3.05%,53.00%,27.54%
MS,Morgan Stanley,38.36,Weak,Weak,Weakest,3.91,22.45%,10.00%,8.85%,-6.48%,4.63%,115.58%,20.84%
COST,Costco Wholesale,312.08,Average,Soft,Weakest,4.05,1.76%,5.91%,3.28%,86.17%,114.64%,76.13%,35.57%
WAT,Waters Corp,194.33,Soft,Weak,Weakening,2.07,unch,1.42%,-7.51%,24.60%,59.88%,64.05%,20.97%
DG,Dollar General Corp,179,Strong,Maximum,Weakest,4.41,2.90%,10.13%,6.47%,157.51%,137.71%,92.29%,46.77%
PSA,Public Storage,193.32,Weak,Soft,Weakest,3.29,-0.36%,0.38%,unch,-13.96%,1.49%,38.86%,29.67%
HD,Home Depot,206.05,Soft,Weak,Strengthening,4.1,unch,3.26%,4.61%,39.61%,84.19%,123.80%,32.52%
CVS,CVS Corp,62.34,Soft,Weak,Weakening,4.41,3.95%,11.18%,8.00%,-20.08%,-37.63%,67.77%,84.24%
NWS,News Cp Cl B,9.02,Weak,Soft,Weakening,2,N/A,N/A,N/A,-31.05%,-40.57%,0.00%,17.49%
RTX,Raytheon Technologies Corp.,64.98,Soft,Weak,Strengthening,4.27,8.87%,7.84%,9.14%,-2.61%,-3.59%,18.68%,18.35%
OTIS,Otis Worldwide Corp [Otis/I],45.39,N/A,N/A,N/A,3.5,N/A,N/A,N/A,0.00%,0.00%,0.00%,0.00%
EW,Edwards Lifesciences Corp,224.6,Average,Soft,Strengthening,4.32,15.57%,3.76%,7.32%,133.62%,230.24%,218.29%,87.18%
HUM,Humana Inc,367.33,Average,Soft,Weakest,4.44,9.83%,15.46%,4.19%,74.84%,104.88%,137.95%,33.79%
GS,Goldman Sachs Group,180.4,Soft,Weak,Weakest,4.21,-9.81%,-4.77%,22.83%,-15.39%,-7.32%,23.20%,5.84%
IT,Gartner Inc,104.17,Weak,Soft,Weakening,4,55.56%,22.88%,9.43%,-5.88%,26.94%,74.11%,110.01%
EFX,Equifax Inc,125.81,Weak,Soft,Strengthening,3.88,2.78%,2.94%,0.84%,-6.82%,29.93%,44.47%,43.97%
DXC,Dxc Technology Company,15.07,Weak,Soft,Strengthening,3.83,-4.17%,1.75%,5.80%,-79.91%,0.00%,113.30%,59.66%
ADSK,Autodesk Inc,177.87,Average,Weak,Strengthening,4,-4.88%,-12.12%,-10.00%,104.27%,188.86%,130.77%,30.34%
WMT,Wal-Mart Stores,129.85,Strong,Maximum,Weakest,4.35,6.42%,4.10%,10.78%,76.30%,65.48%,-2.76%,7.89%
MTD,Mettler-Toledo International,707.63,Soft,Weak,Strengthening,2.64,1.05%,1.38%,0.99%,46.98%,123.84%,94.28%,21.02%
CL,Colgate-Palmolive Company,72.16,Average,Weak,Weakest,3.71,1.43%,-1.37%,1.52%,0.55%,6.14%,-3.41%,-9.17%
MDT,Medtronic Inc,101.54,Soft,Weak,Strengthening,4.46,2.34%,6.78%,5.48%,28.39%,33.14%,36.65%,79.69%
ETN,Eaton Corp,77.89,Weak,Soft,Strengthening,4.33,0.66%,0.66%,0.80%,7.33%,15.57%,42.82%,-5.15%
ANTM,Anthem Inc,263.2,Average,Weak,Weakening,4.4,0.62%,0.65%,2.90%,59.61%,73.59%,119.66%,41.07%
QRVO,Qorvo Inc,84.77,Weak,Weak,Weakest,4.22,22.73%,24.21%,25.27%,22.96%,23.03%,0.00%,169.14%
JKHY,Jack Henry & Assoc,166.67,Soft,Soft,Weakening,2.89,11.54%,2.60%,unch,77.41%,151.53%,49.15%,28.32%
VIAC,Viacomcbs Inc. Cl B,15.52,Weak,Soft,Weakening,3.68,4.40%,2.65%,-0.72%,-76.36%,-74.81%,69.26%,101.45%
FDX,Fedex Corp,122.64,Weak,Weak,Strengthening,3.79,-10.04%,-3.79%,4.16%,-32.62%,-26.54%,129.93%,52.95%
TXN,Texas Instruments,111.53,Soft,Weak,Weakening,3.42,5.67%,6.61%,7.96%,42.28%,107.47%,109.60%,10.26%
AOS,Smith [A.O.] Corp,40.35,Soft,Weak,Weakest,3.55,-1.85%,-4.69%,-10.17%,-20.03%,23.38%,81.97%,27.02%
FMC,FMC Corp,84.56,Weak,Weak,Weakest,4.81,17.50%,1.84%,6.17%,18.48%,47.00%,51.12%,14.17%
NVDA,Nvidia Corp,287.05,Soft,Soft,Weakest,4.38,17.74%,4.60%,11.67%,187.49%,1226.92%,288.98%,133.22%
SWK,Stanley Black & Decker Inc,110.48,Weak,Weak,Weakening,4.47,5.45%,4.31%,29.09%,-18.19%,12.78%,48.15%,27.37%
DE,Deere & Company,137.3,Weak,Soft,Weakening,3.75,0.47%,-3.21%,-1.68%,28.75%,56.65%,15.18%,8.85%
DVA,Davita Healthcare Partners Inc,77.52,Soft,Weak,Weakening,3.75,24.39%,10.91%,-4.21%,15.38%,-6.85%,48.35%,-10.99%
GL,Globe Life Inc,75.6,Weak,Soft,Weakening,3,1.76%,1.21%,3.14%,1.21%,37.73%,67.49%,14.21%
ABBV,Abbvie Inc,83.99,Average,Weak,Strengthening,4,1.75%,2.26%,3.88%,30.76%,26.31%,169.28%,66.66%
CAG,Conagra Brands Inc,33.88,Strong,Strong,Weakest,4.14,10.53%,10.26%,-14.29%,-17.41%,15.01%,-7.37%,-46.12%
AKAM,Akamai Technologies,106.24,Maximum,Maximum,Weakening,4.5,14.47%,3.90%,11.39%,74.77%,39.09%,90.00%,47.34%
IDXX,Idexx Laboratories,267.34,Average,Soft,Weakest,4.6,9.73%,4.38%,12.50%,66.64%,223.27%,144.50%,61.99%
BDX,Becton Dickinson and Company,263.44,Maximum,Average,Weakening,4.06,0.30%,0.98%,0.78%,41.08%,81.11%,79.69%,104.71%
AMZN,Amazon.com Inc,2393.61,Maximum,Maximum,Weakening,4.83,-5.16%,-1.32%,53.80%,164.32%,433.59%,4525.00%,215.24%
TSCO,Tractor Supply Company,93.43,Soft,Soft,Strengthening,4.28,unch,-0.55%,12.50%,41.34%,1.91%,75.94%,46.22%
EMR,Emerson Electric Company,50.92,Weak,Weak,Strongest,3.75,unch,unch,unch,-14.34%,-12.33%,-1.60%,-25.13%
TTWO,Take-Two Interacti,125.35,Average,Average,Weakest,4.35,20.97%,51.85%,-17.95%,99.78%,396.17%,5.15%,13.52%
AMGN,Amgen Inc,236.6,Maximum,Strong,Strengthening,3.92,4.27%,10.89%,3.19%,46.48%,39.94%,70.74%,16.44%
HAL,Halliburton Company,7.63,Weak,Soft,Strengthening,3.32,unch,16.67%,unch,-83.89%,-84.21%,-69.15%,-31.83%
ZION,Zions Bancorp,29.27,Weak,Soft,Strongest,3.5,8.33%,-9.17%,-0.95%,-28.81%,5.32%,156.21%,37.41%
AMD,Adv Micro Devices,56.97,Maximum,Strong,Weakest,3.95,unch,-20.00%,50.00%,335.38%,2360.87%,700.00%,22.25%
HAS,Hasbro Inc,75.68,Weak,Weak,Weakest,4.08,-17.12%,52.94%,362.50%,-21.69%,5.01%,29.52%,10.36%
CBOE,CBOE Global Markets Inc,102.96,Soft,Weak,Strengthening,4,11.21%,5.61%,12.12%,22.91%,78.17%,107.46%,304.40%
SIVB,Svb Financial Group,174.67,Weak,Weak,Strengthening,3.87,3.21%,22.09%,15.01%,-5.15%,34.89%,292.24%,141.15%
NEM,Newmont Mining Corp,59.54,Strong,Maximum,Weakest,4.27,-10.00%,-47.83%,26.92%,73.54%,137.11%,21.10%,33.57%
DFS,Discover Financial Services,35.22,Weak,Soft,Strengthening,3.67,3.06%,9.95%,7.50%,-47.09%,-39.99%,73.95%,45.55%
EBAY,Ebay Inc,37.64,Strong,Soft,Weakening,3.63,3.92%,10.20%,7.84%,16.39%,50.26%,-5.31%,-39.67%
ABC,Amerisourcebergen Corp,89.62,Soft,Weak,Strengthening,4,1.90%,7.98%,7.65%,9.76%,-22.77%,78.59%,50.20%
VRSN,Verisign Inc,210.9,Strong,Average,Weakening,4,9.24%,5.08%,5.22%,137.34%,222.77%,89.34%,21.93%
FRC,First Republic Bank,100.42,Average,Weak,Strengthening,3.67,10.32%,8.26%,-1.59%,10.41%,70.07%,75.08%,130.75%
CERN,Cerner Corp,70.25,Average,Weak,Strengthening,4.45,-1.69%,3.45%,1.82%,18.72%,-4.51%,57.52%,67.30%
LLY,Eli Lilly and Company,157.79,Maximum,Maximum,Strengthening,4.5,3.50%,2.74%,0.76%,92.07%,119.74%,117.27%,13.78%
FITB,Fifth Third Bncp,16.68,Weak,Soft,Strengthening,4.18,2.74%,7.58%,6.78%,-32.45%,-14.89%,63.91%,50.55%
PYPL,Paypal Holdings,112.17,Strong,Soft,Strengthening,4.78,20.00%,21.43%,23.40%,155.31%,0.00%,160.64%,121.46%
IBM,International Business Machines,120.41,Soft,Weak,Weakening,3.67,1.52%,3.59%,1.81%,-25.10%,-29.25%,-22.50%,-16.86%
EA,Electronic Arts Inc,115.41,Strong,Strong,Weakest,4.23,12.70%,-62.50%,55.13%,25.24%,92.27%,222.13%,38.46%
ANET,Arista Networks Inc,211.99,Soft,Soft,Strengthening,3.52,15.07%,11.11%,10.44%,53.68%,216.34%,662.28%,312.72%
NOW,Servicenow Inc,302.46,Soft,Weak,Strongest,4.54,61.11%,66.67%,111.11%,239.21%,293.73%,164.36%,406.98%
ADBE,Adobe Systems Inc,344.88,Soft,Weak,Weakening,4.55,2.69%,10.69%,4.26%,161.64%,349.58%,763.16%,169.38%
ALGN,Align Technology,196.71,Soft,Weak,Strongest,4.17,12.28%,10.53%,7.23%,62.95%,226.12%,180.23%,216.00%
CARR,Carrier Global Corporation [Carr/I],14.45,N/A,N/A,N/A,3,N/A,N/A,N/A,0.00%,0.00%,0.00%,0.00%
DD,Du Pont De.Nemours Inc,39.72,Soft,Weak,Strongest,4.33,1.05%,12.79%,20.00%,-56.58%,-47.20%,-59.27%,-63.02%
NFLX,Netflix Inc,437.49,Maximum,Maximum,Weakening,3.93,40.00%,7.14%,33.33%,196.05%,430.21%,679.25%,266.17%
ALXN,Alexion Pharm Inc,106.72,Strong,Average,Strongest,4.35,12.33%,15.49%,10.05%,-11.42%,-42.54%,109.91%,123.44%
TSN,Tyson Foods,63.86,Soft,Weak,Strongest,4.71,-1.63%,unch,7.14%,-4.30%,61.29%,85.71%,12.84%
JNPR,Juniper Networks,23.1,Strong,Soft,Strongest,3.06,5.88%,-18.18%,54.55%,-18.75%,-13.66%,34.44%,-3.93%
WMB,Williams Companies,18.49,Average,Weak,Strongest,4.47,8.33%,13.04%,-8.33%,-39.75%,-65.61%,23.75%,7.39%
SCHW,The Charles Schwab Corp,36.59,Weak,Weak,Strongest,3.86,-3.08%,13.85%,unch,-6.63%,18.82%,186.32%,76.97%
TFC,Truist Financial Corp.,34.13,Weak,Soft,Strongest,3.93,3.88%,3.70%,1.94%,-22.20%,-11.59%,52.26%,47.73%
COG,Cabot Oil & Gas Corp,21.42,Maximum,Maximum,Strongest,4.24,16.00%,12.90%,9.38%,-12.96%,-36.54%,72.34%,-4.91%
CFG,Citizens Financial Group Inc/Ri,20.3,Weak,Soft,Strongest,4.33,3.13%,2.08%,2.13%,-43.07%,-22.29%,170.42%,50.99%
ABT,Abbott Laboratories,98,Maximum,Strong,Strengthening,4.53,unch,unch,2.50%,120.56%,98.70%,42.11%,57.57%
ILMN,Illumina Inc,322.88,Strong,Average,Strongest,4.13,37.86%,2.27%,19.40%,80.48%,66.87%,139.78%,90.34%
CPB,Campbell Soup Company,51.3,Strong,Average,Strengthening,3.36,13.04%,2.44%,21.74%,-12.22%,9.89%,-10.16%,-1.95%
HBAN,Huntington Bcshs,8.14,Weak,Soft,Strongest,3.19,3.03%,3.13%,unch,-36.03%,-25.30%,62.82%,91.33%
K,Kellogg Company,66.25,Average,Soft,Strongest,3.86,13.19%,8.79%,6.32%,-10.22%,2.02%,3.14%,-6.87%
BMY,Bristol-Myers Squibb Company,61.68,Average,Soft,Strongest,4.23,10.38%,11.32%,0.92%,13.31%,-7.90%,153.51%,64.65%
STE,Steris Corp,157.45,Average,Soft,Strengthening,4,4.76%,10.81%,6.25%,120.00%,119.01%,97.18%,71.50%
MSCI,MSCI Inc,321.95,Average,Average,Strongest,3.75,5.66%,3.36%,9.93%,223.55%,405.55%,222.00%,56.30%
BAX,Baxter International Inc,94.14,Strong,Average,Strongest,4.4,N/A,9.88%,11.76%,75.78%,140.41%,-32.45%,-31.85%
INCY,Incyte Corp,101.19,Maximum,Maximum,Strengthening,4.06,8.77%,47.37%,135.00%,-18.71%,-6.84%,868.97%,322.04%
TWTR,Twitter Inc,27.01,Weak,Soft,Strengthening,3.35,-30.00%,33.33%,150.00%,82.50%,-47.46%,326.14%,146.57%
KEY,Keycorp,10.93,Weak,Soft,Strongest,3.57,unch,2.13%,unch,-40.44%,-24.03%,66.67%,76.83%
ANSS,Ansys Inc,266.72,Average,Soft,Strongest,3.6,12.00%,22.94%,12.09%,144.35%,201.74%,74.92%,61.95%
PKI,Perkinelmer,84.52,Average,Weak,Strongest,3.67,4.95%,-0.99%,4.55%,46.16%,61.92%,65.99%,28.90%
VRTX,Vertex Pharmaceutic,273.26,Maximum,Maximum,Strengthening,4.56,11.49%,32.00%,30.77%,131.76%,103.05%,246.42%,617.21%
XRAY,Dentsply Sirona Inc,41.28,Soft,Weak,Strengthening,4.09,14.00%,6.45%,28.95%,-34.66%,-22.05%,-2.00%,37.86%
PNC,PNC Bank,102.55,Weak,Soft,Strongest,3.76,1.71%,5.00%,1.77%,-14.11%,11.54%,56.03%,32.82%
IVZ,Invesco Plc,9.09,Weak,Soft,Strengthening,2.67,22.81%,14.04%,7.69%,-71.00%,-77.78%,1.59%,18.85%
AGN,Allergan Plc,187.39,Soft,Weak,Weakening,3.14,unch,0.92%,6.76%,-20.88%,-36.70%,26.18%,23.17%
T,AT&T Inc,30.98,Weak,Soft,Strengthening,3.56,1.08%,unch,1.18%,-21.79%,-8.17%,42.23%,36.80%
KEYS,Keysight Technologies Inc Comm,95.31,Strong,Soft,Weakening,4.43,13.39%,23.16%,21.98%,167.11%,173.91%,55.76%,46.71%
DHR,Danaher Corp,155.83,Strong,Soft,Weakest,4.54,0.87%,3.48%,5.94%,91.59%,87.91%,20.11%,-10.06%
SLB,Schlumberger N.V.,15.21,Weak,Soft,Strengthening,3.8,5.41%,7.50%,unch,-79.58%,-83.32%,-73.61%,-32.24%
