Symbol,Last,"1M Chg","5D Chg","Earnings ttm","P/E ttm","5Y Return","5Y Rev%",Industry,Sector,"Market Cap",Dividend(a),"52W Low","52W Low Date","52W High"
CRM,157.71,9.92,10.15,1.07,144.44,124.83%,218.19%,"Computer - Software","Computers and Technology",136487504000,0,115.29,03/18/20,195.72
ADI,103.02,3.28,7.27,4.84,20.41,59.40%,109.13%,"Semi Analog & Mixed","Computers and Technology",36700488000,2.48,79.07,03/18/20,127.3
V,174.62,-1.11,5.28,5.61,30.96,150.43%,80.89%,"Financial Transaction Services","Business Services",331643904000,1.2,133.93,03/23/20,214.17
SPGI,277.34,29.3,21.57,9.53,29.75,152.70%,32.63%,"Business Information","Business Services",64677664000,2.68,186.05,03/18/20,312.94
GILD,77.75,7,0.02,6.14,11.97,-27.40%,-9.81%,"Medical - Biomedical",Medical,94778648000,2.72,60.89,10/03/19,85.97
BIIB,333.76,28.29,22.11,33.64,9.54,-12.72%,48.18%,"Medical - Biomedical",Medical,56212228000,0,215.77,09/04/19,374.99
ACN,178.1,11.71,12.16,7.67,23.2,84.76%,35.58%,Consulting,"Business Services",109697920000,3.2,137.15,03/23/20,216.39
XYL,70.4,-1.71,5.22,3.02,22.96,91.38%,34.04%,"Machinery - General Industrial","Industrial Products",12289407000,1.04,54.62,03/23/20,89.34
JBHT,97.89,10.11,1.07,5.21,19.04,4.40%,48.66%,"Transportation - Truck",Transportation,10087167000,1.08,75.29,03/16/20,122.29
ADM,37.24,2.6,1.46,3.25,11.56,-25.18%,-20.38%,"Agriculture Operations","Consumer Staples",20098492000,1.44,28.92,03/23/20,47.2
AEP,86.25,-0.28,7.6,4.25,20.31,44.26%,-8.57%,"Utility - Electric Power",Utilities,41318556000,2.8,65.14,03/23/20,104.97
WAT,193.65,9.19,4.78,9.07,21.6,51.89%,20.97%,"Industrial Scientific","Computers and Technology",11663948000,0,154.39,03/23/20,251.68
PEG,53.48,9.36,6.65,3.28,16.14,22.16%,-7.44%,"Utility - Electric Power",Utilities,26094862000,1.96,34.75,03/23/20,63.88
FE,45.47,4.26,4.14,2.59,17.28,20.95%,-26.67%,"Utility - Electric Power",Utilities,23798198000,1.56,32,03/23/20,52.51
CPB,50.07,0.77,2.44,2.48,19.25,5.87%,-1.95%,"Food - Misc & Diversified","Consumer Staples",14634632000,1.4,35.27,05/31/19,57.54
YUM,79.89,1.49,9.45,3.55,22.64,22.98%,-57.85%,"Retail - Restaurants",Retail-Wholesale,23187352000,1.88,54.95,03/23/20,119.72
LEN,43.02,-2.67,3.79,6.29,7.12,-12.38%,186.12%,"Building - Residential & Comm",Construction,13060728000,0.5,25.42,03/18/20,71.38
BWA,27.19,1.54,2.47,4.13,6.23,-56.97%,22.43%,"Auto - Truck Original Parts",Auto-Tires-Trucks,5407377000,0.68,17,03/18/20,46.6
VRTX,262.41,41.44,7,4.25,58.03,89.40%,617.21%,"Medical - Biomedical",Medical,65408388000,0,163.68,04/18/19,267.45
AMGN,226.8,24.7,15.22,14.83,14.71,29.99%,16.44%,"Medical - Biomedical",Medical,128291032000,6.4,166.3,05/15/19,244.99
CSCO,42.78,5.18,1.39,2.95,13.97,43.03%,10.10%,"Computer - Networks","Computers and Technology",174809072000,1.44,32.4,03/16/20,58.26
ZTS,127.82,2.23,0.92,3.64,35.37,156.63%,30.83%,"Medical - Drugs",Medical,58390184000,0.8,90.14,03/23/20,146.26
LDOS,95.57,5.31,0.73,5.16,18.5,118.46%,119.12%,"Aerospace - Defense",Aerospace,13061272000,1.36,64.69,04/16/19,125.84
WLTW,197,16.92,21.6,10.97,17.87,47.29%,137.74%,"Insurance - Brokers",Finance,24417992000,2.72,143.34,03/23/20,220.97
ABT,89.14,7.48,6.4,3.24,26.56,77.67%,57.57%,"Medical Products",Medical,151390720000,1.44,61.61,03/23/20,92.45
UNM,16.36,0.84,2.12,5.44,2.86,-53.24%,14.17%,"Insurance - Accident & Health",Finance,3196793000,1.14,9.58,03/23/20,38
DG,178.07,32.29,8.45,6.74,25.11,123.95%,46.77%,"Retail - Discount",Retail-Wholesale,43152428000,1.44,116.15,05/15/19,178.84
PRGO,52.28,5.99,4.71,4.03,12.52,-73.89%,5.07%,"Medical Products",Medical,6856716000,0.9,40.01,04/02/20,63.86
PFE,36.44,3.75,1.89,2.95,12,-0.37%,4.32%,"Large Cap Pharma",Medical,194944032000,1.52,27.88,03/23/20,44.56
MPC,26.3,1.36,3.19,4.83,5.31,-50.89%,26.72%,"Oil - Refining and Marketing",Oils-Energy,16451937000,2.32,15.26,03/19/20,69.65
HSIC,53.55,-3.16,6.41,3.51,14.89,-7.51%,-3.72%,"Medical - Dental Suppliers",Medical,7380485000,0,41.85,03/23/20,73.99
NTAP,43.14,2.38,3.58,3.58,11.94,15.25%,-2.83%,"Computer - Storage Devices","Computers and Technology",9207599000,1.92,34.66,03/23/20,78.35
INCY,91.28,17.44,6.17,2.15,40.38,-18.01%,322.04%,"Medical - Biomedical",Medical,19078456000,0,62.48,03/23/20,96.79
TSCO,92.96,16.78,5.03,4.68,18.85,-1.44%,46.22%,"Retail - Misc & Diversified",Retail-Wholesale,10403962000,1.4,63.89,03/17/20,114.25
EQR,68.92,-4.66,8.84,2.59,19.83,-13.13%,3.30%,"REIT - Equity Trust Resident",Finance,24736536000,2.41,49.62,03/23/20,89.55
PYPL,109.79,-0.29,8.19,2.35,45.04,0.00%,121.46%,"Internet - Software","Computers and Technology",124309888000,0,82.07,03/23/20,124.45
NKE,87.47,11.95,2.9,2.96,29.32,67.33%,40.71%,"Shoes and Related Apparel","Consumer Staples",131535632000,0.98,60,03/18/20,105.62
ECL,180.8,0.92,23.6,5.82,30.9,51.10%,4.38%,"Chemical - Specialty","Basic Materials",50331072000,1.88,124.6,03/23/20,211.24
WRB,58.7,2.56,5.01,3.32,17.57,70.92%,10.85%,"Insurance - Proprty & Casualty",Finance,10400027000,0.44,43.05,03/23/20,79.92
NWL,13.8,0.86,1,1.74,8.13,-66.26%,69.63%,"Consumer Prdts - Misc Staple","Consumer Staples",5649490000,0.92,10.44,03/23/20,20.99
CMCSA,38.52,-0.8,2.3,3.12,12.18,24.71%,58.40%,"Cable TV","Consumer Discretionary",169327328000,0.92,31.7,03/23/20,47.74
DUK,90.42,4.73,9.25,5.06,17.85,10.01%,4.82%,"Utility - Electric Power",Utilities,64124772000,3.78,62.13,03/23/20,103.79
AAL,11.94,-2.34,2.48,4.91,2.55,-78.07%,7.31%,"Transportation - Airline",Transportation,4925242000,0.4,9.09,04/03/20,35.24
TGT,108.38,7.41,10.92,6.4,16.28,26.58%,7.57%,"Retail - Discount",Retail-Wholesale,52440704000,2.64,70.03,05/14/19,130.24
TFX,330.93,12.92,9.89,11.15,29.2,156.87%,41.07%,"Medical Instruments",Medical,14886943000,1.36,221.27,03/23/20,398.65
AVB,167.03,-26.62,21.47,5.64,17.92,-5.76%,37.96%,"REIT - Equity Trust Resident",Finance,22716036000,6.36,118.17,03/23/20,229.4
TMUS,89.62,4.25,3.55,4.49,19.13,151.15%,52.21%,"Wireless National",Utilities,73841912000,0,63.5,03/18/20,101.35
FTV,61.01,1.31,3.79,3.49,17.49,0.00%,15.51%,"Electronic Test Equipment","Computers and Technology",19989780000,0.28,37.31,03/18/20,89.48
DLR,144.88,1.39,5.23,2.16,22.27,110.90%,98.54%,"REIT - Equity Trust Other",Finance,36483148000,4.48,105,03/23/20,152.59
CDW,106.75,5.55,11.01,6.02,17.65,167.25%,49.34%,"IT Services","Computers and Technology",14831155000,1.52,73.39,03/23/20,146.09
MA,270.72,0.84,4.91,7.78,34.63,190.28%,78.22%,"Financial Transaction Services","Business Services",264685136000,1.6,199.99,03/23/20,347.25
COG,19.54,1.15,1.24,1.62,11.65,-42.54%,-4.91%,"Oil - US Exploration & Product",Oils-Energy,7564972000,0.4,13.06,02/28/20,27.65
SYY,48.32,1.31,3.37,3.72,13.33,24.04%,29.23%,"Food - Misc & Diversified","Consumer Staples",23925348000,1.8,26,03/18/20,85.98
PNW,81.83,0.28,7.52,4.78,17.2,24.88%,-0.58%,"Utility - Electric Power",Utilities,8955249000,3.13,60.05,03/18/20,105.51
KMX,64.39,-4.83,9.91,5.33,12.48,-10.53%,42.41%,"Retail - Wholesale Auto Parts",Retail-Wholesale,10227900000,0,37.59,03/18/20,103.18
MCO,237.76,24.5,8.41,8.29,29.15,114.97%,44.83%,"Finance - Misc Services",Finance,43261896000,2.24,164.19,03/23/20,287.25
UNH,270.5,-1.24,22.46,15.11,17.48,122.02%,85.60%,"Medical - HMO",Medical,249958480000,4.32,187.72,03/23/20,306.71
WHR,103.51,-12,10.94,16,6.55,-48.78%,2.75%,"Appliances - Household","Consumer Discretionary",6308541000,4.8,64,03/23/20,163.64
ETR,100.66,-2.35,7.58,5.37,19.16,23.69%,-12.94%,"Utility - Electric Power",Utilities,19657878000,3.72,75.19,03/23/20,135.55
ITW,156.06,-0.35,5.06,7.73,20.61,60.55%,-2.59%,"Machinery - General Industrial","Industrial Products",48240508000,4.28,115.94,03/23/20,190.85
VRSN,204.34,21.79,8.56,5.01,39.14,205.97%,21.93%,"Internet Software Services","Computers and Technology",23167180000,0,148.77,03/23/20,221.78
EBAY,35.74,1.77,4.58,2.29,14.77,39.45%,-39.67%,"Internet Commerce",Retail-Wholesale,27671774000,0.64,26.02,03/23/20,42
TWTR,27.94,-1.34,3.02,0.49,56.67,-46.46%,146.57%,"Internet - Software","Computers and Technology",21286028000,0,20,03/18/20,45.85
SBUX,73.67,3.79,5.92,2.87,25.74,38.43%,61.17%,"Retail - Restaurants",Retail-Wholesale,84224712000,1.64,50.02,03/18/20,99.72
VZ,58.14,4.03,1.5,4.81,11.94,13.27%,3.77%,"Wireless National",Utilities,234379392000,2.46,48.84,03/25/20,62.22
LMT,380.03,51.33,11.97,21.94,16.91,89.35%,31.17%,"Aerospace - Defense",Aerospace,104216912000,9.6,266.11,03/23/20,442.53
LB,14.07,-2.04,1.53,2.28,6.55,-84.97%,12.75%,"Retail - Apparel & Shoes",Retail-Wholesale,3791267000,1.2,8,03/17/20,28.01
UA,8.97,-0.51,0.97,0.34,27.5,0.00%,70.77%,"Textile - Apparel","Consumer Staples",3944441000,0,6.6,04/03/20,24.55
ISRG,507.94,36.85,7.59,11.55,43.62,193.25%,110.09%,"Medical Instruments",Medical,57736376000,0,360.5,03/23/20,619
NEE,242.38,20.97,8.02,8.38,29.27,124.85%,12.83%,"Utility - Electric Power",Utilities,115608976000,5.6,174.8,03/23/20,283.35
BAX,88.25,7.31,3.37,2.62,0,122.43%,-31.85%,"Medical Products",Medical,43624704000,0.88,69.1,03/16/20,95
HOLX,42.01,1.47,6.19,2.47,16.64,20.51%,33.06%,"Medical Instruments",Medical,10784850000,0,26.49,03/18/20,55.25
CTXS,143.76,30.04,-3.43,4.1,34,162.47%,-4.21%,"Computer - Software","Computers and Technology",17128898000,1.4,90.28,08/07/19,150.33
ANET,207.31,30.67,-0.17,8.74,24.02,204.38%,312.72%,"Communications Components","Computers and Technology",15454874000,0,156.63,03/23/20,331.27
VLO,50.95,1.1,4.9,5.46,9.18,-17.24%,-17.21%,"Oil - Refining and Marketing",Oils-Energy,20344050000,3.92,31,03/18/20,101.99
AIV,39.49,-6.6,3.93,3.19,15.99,-0.85%,-7.12%,"REIT - Equity Trust Resident",Finance,5711465000,1.64,24.53,03/24/20,55.68
ALXN,99.4,18.9,3.43,9.71,9.91,-46.39%,123.44%,"Medical - Biomedical",Medical,21441534000,0,72.67,03/16/20,139.95
IPGP,120.75,8.54,6.74,4.43,26.87,23.80%,70.76%,"Lasers - Systems & Components","Computers and Technology",6217082000,0,98.04,03/16/20,182.17
PLD,89.15,11.23,8.82,2.47,27.71,103.03%,89.15%,"REIT - Equity Trust Other",Finance,63864772000,2.32,59.82,03/23/20,99.79
EVRG,62.54,3.58,4.79,2.91,21.68,56.81%,97.86%,"Other Alt Energy",Oils-Energy,13769534000,2.02,42.01,03/23/20,76.57
PAYX,66.14,-5.39,0.88,3.01,22.11,30.31%,49.77%,Outsourcing,"Business Services",23011568000,2.48,47.87,03/18/20,90.54
ABMD,161.35,18.5,11.06,4.21,38.02,127.21%,318.99%,"Medical Instruments",Medical,7047401000,0,119.01,03/23/20,285.77
UPS,101.4,7.28,5.83,7.53,13.11,0.33%,27.24%,"Transportation - Air Freight",Transportation,84492288000,4.04,82,03/12/20,125.31
MU,47.62,4.63,1.25,2.31,19.97,58.12%,43.09%,"Semi Memory","Computers and Technology",51349628000,0,31.13,03/18/20,61.19
T,31.13,-3.34,1.69,3.58,8.58,-11.23%,36.80%,"Wireless National",Utilities,216857936000,2.08,26.08,03/23/20,39.7
TXN,110.95,4.99,2.07,5.12,21.03,96.73%,10.26%,"Semi General","Computers and Technology",100561192000,3.6,93.09,03/16/20,135.7
ADP,143.87,-0.62,4.23,5.77,24.7,64.15%,16.13%,Outsourcing,"Business Services",60242636000,3.64,103.11,03/18/20,182.32
SHW,504.39,5.09,45.8,21.09,23.34,73.09%,60.84%,"Paint & Related Products",Construction,44910520000,5.36,325.43,03/18/20,599.95
XLNX,85.92,9.33,1.22,3.53,23.54,94.26%,28.39%,"Semi Pro Logic Devices","Computers and Technology",20728124000,1.48,67.68,03/12/20,141.6
LH,144.68,-6.24,18.37,11.31,12.98,10.65%,92.21%,"Medical - Dental Suppliers",Medical,13638115000,0,98.02,03/19/20,196.36
MKTX,397.71,54.57,-1.39,5.4,74.69,338.75%,94.60%,"Securities Exchanges",Finance,14629929000,2.4,256.61,04/24/19,421.45
D,82.02,3.68,7.86,4.23,19.29,8.15%,33.26%,"Utility - Electric Power",Utilities,66646140000,3.76,57.79,03/23/20,90.89
NOC,348.79,34.67,16.84,21.22,15.86,109.45%,41.13%,"Aerospace - Defense",Aerospace,56687228000,5.28,263.31,03/23/20,385.01
MRK,82.84,6.16,2.6,5.19,15.89,39.83%,10.90%,"Large Cap Pharma",Medical,204271104000,2.44,65.25,03/23/20,92.64
MKC,153.19,18.21,1.2,5.31,29.06,96.06%,26.02%,"Food - Misc & Diversified","Consumer Staples",19762834000,2.48,112.22,03/23/20,174.58
WMT,129,14.97,3,4.94,24.66,56.94%,7.89%,"Retail - Supermarket",Retail-Wholesale,354884320000,2.16,98.85,05/09/19,129.79
WM,99.63,-5.66,8.37,4.43,22.54,83.73%,10.42%,"Waste Removal Svcs","Business Services",40985912000,2.18,85.34,03/25/20,126.79
MTD,711.77,38.86,8.9,22.81,31.89,114.49%,21.02%,"Industrial Scientific","Computers and Technology",16565597000,0,579.4,03/23/20,873.51
MLM,203.19,5.25,26.54,9.74,21.37,42.62%,60.22%,"Building - CMT & CNT & AG",Construction,12288657000,2.2,135.08,03/18/20,281.82
JNPR,22.48,2.19,1.15,1.24,17.48,-16.45%,-3.93%,"Wireless Equipment","Computers and Technology",7229302000,0.8,15.2,03/16/20,28.77
AVGO,267.63,33.44,15.22,16.85,15.09,117.51%,429.33%,"Electronics - Semiconductors","Computers and Technology",103913680000,13,155.67,03/18/20,331.58
MCHP,81.94,11.95,7.94,5.05,15.53,68.10%,177.00%,"Semi Analog & Mixed","Computers and Technology",19057642000,1.47,53.15,03/19/20,112.47
JKHY,168,7.06,0.62,3.66,46.49,141.84%,28.32%,"Electronic Misc Services","Computers and Technology",12514566000,1.72,123.64,03/23/20,174.93
HRL,48.51,6.1,-0.05,1.75,27.17,71.74%,1.94%,"Food - Meat Products","Consumer Staples",25329248000,0.93,37,05/23/19,51.53
CME,188.07,6.09,5.66,6.8,27.96,103.23%,56.40%,"Securities Exchanges",Finance,65473424000,3.4,131.8,03/19/20,225.36
ILMN,297.88,64.65,19.97,6.58,43.71,52.67%,90.34%,"Medical - Biomedical",Medical,42549152000,0,196.78,03/18/20,380.76
VMC,112.47,2.88,9.48,4.7,24.06,31.10%,64.62%,"Building - CMT & CNT & AG",Construction,14505493000,1.36,65.56,03/18/20,152.49
SPG,67.75,-21.84,13.87,6.81,5.66,-65.40%,18.16%,"REIT - Equity Trust Retail",Finance,20924928000,8.4,42.25,04/02/20,186.24
DHI,40.16,0.89,3.34,4.53,9.06,45.39%,119.23%,"Building - Residential & Comm",Construction,14152642000,0.7,25.51,03/18/20,62.54
TT,92.13,-11.29,5.11,6.37,14.38,30.86%,28.76%,"Technology Services","Business Services",21410794000,2.12,32.58,03/02/20,146.85
ALK,31.05,-6.89,4.39,6.43,4.92,-56.79%,63.58%,"Transportation - Airline",Transportation,3617483000,0,20.02,03/18/20,72.22
PAYC,228.51,1.81,46.58,2.94,75.51,557.40%,388.75%,"Internet - Software","Computers and Technology",12731333000,0,163.42,04/03/20,342
RTX,65.07,3.06,7.68,8.26,7.83,-9.78%,18.35%,"Aerospace - Defense Equipment",Aerospace,53554984000,2.94,40.72,03/18/20,93.47
ARE,155.36,7.69,17.76,3.09,22.67,56.32%,110.67%,"REIT - Equity Trust Other",Finance,18594832000,4.12,109.22,03/23/20,175.74
DAL,24.54,-13.84,2.2,7.33,3.33,-50.51%,16.46%,"Transportation - Airline",Transportation,14882185000,0,19.1,03/18/20,63.44
BF.B,62.83,9.62,5.38,1.79,35.13,62.88%,11.13%,"Beverages - Alcohol","Consumer Staples",28454052000,0.7,44.68,03/23/20,72.85
CINF,87.1,-3.47,9.7,4.21,19.85,57.23%,60.24%,"Insurance - Proprty & Casualty",Finance,13408010000,2.4,65.69,03/23/20,118.19
ES,91.4,2.87,9.31,3.45,26.12,72.44%,10.13%,"Utility - Electric Power",Utilities,28646392000,2.27,60.69,03/23/20,99.42
GRMN,81.99,4.64,6.54,4.45,17.67,68.48%,30.89%,"Electronics Products - Misc","Computers and Technology",14839262000,2.28,61.04,03/23/20,105.58
ESS,252.62,-23.17,39.96,6.67,18.49,5.63%,50.64%,"REIT - Equity Trust Resident",Finance,15868043000,8.31,175.81,03/23/20,334.17
LRCX,272.51,10.74,21.77,14.51,17.8,237.39%,109.53%,"Semi-Eqpt Wafer Fabrication","Computers and Technology",37664912000,4.6,171.04,06/03/19,344.32
SNPS,147.43,17.6,11.57,3.13,43.64,194.33%,63.34%,"Computer - Software","Computers and Technology",21094470000,0,104.9,03/23/20,166.87
AMAT,52.47,1.61,6.35,3.22,15.4,128.81%,61.02%,"Semi-Eqpt Wafer Fabrication","Computers and Technology",45805056000,0.84,36.64,03/18/20,69.44
WBA,46.38,0.23,3.79,5.79,7.6,-48.70%,79.16%,"Retail - Drug Stores",Retail-Wholesale,38694172000,1.83,39.4,04/02/20,64.5
CCI,165.78,10.81,17.15,1.97,28,82.66%,56.18%,"REIT - Equity Trust Other",Finance,65450432000,4.8,114.18,03/24/20,168.75
CL,73.11,4.03,2.63,2.83,24.7,0.46%,-9.17%,"Soap and Cleaning Products","Consumer Staples",59416036000,1.72,58.49,03/23/20,77.41
AMZN,2283.5,497.6,285.01,23.01,88.78,387.28%,215.24%,"Internet Commerce",Retail-Wholesale,1079784960000,0,1626.03,03/16/20,2292
ED,89.3,1.21,8.23,4.36,20.17,35.74%,-2.67%,"Utility - Electric Power",Utilities,28317470000,3.06,62.03,03/23/20,95.1
O,56.31,-15.61,9.5,1.4,17.02,8.45%,59.78%,"REIT - Equity Trust Retail",Finance,18385530000,2.8,38,03/19/20,84.92
ZBH,113.59,15.79,15.65,7.87,14.02,-9.04%,70.80%,"Medical Products",Medical,22295760000,0.96,74.37,03/18/20,161.11
STE,157.16,20.9,8.54,5.53,27.61,111.29%,71.50%,"Medical Instruments",Medical,12680392000,1.48,105.69,03/23/20,168.98
VNO,44.21,0.02,10.65,1.23,12.49,-51.04%,-26.98%,"REIT - Equity Trust Other",Finance,8043568000,2.64,27.64,03/23/20,70.45
BXP,105.68,-11.34,15,3.3,15.12,-27.06%,23.51%,"REIT - Equity Trust Other",Finance,15599067000,3.92,77.21,03/23/20,147.83
MCK,137.66,5.08,2.45,14.41,9.25,-42.84%,55.74%,"Medical - Dental Suppliers",Medical,23181368000,1.64,111.71,04/17/19,172.18
AAPL,287.05,9.1,24.6,12.66,21.17,109.74%,42.33%,"Computer - Mini","Computers and Technology",1195599872000,3.08,170.27,06/03/19,327.85
NVDA,283.95,42.63,15.07,4.58,57.41,"1,124.92%",133.22%,"Semi General","Computers and Technology",165279360000,0.64,132.6,06/03/19,316.32
HLT,70.01,-8.64,6.19,3.91,17.51,7.25%,-10.00%,"Hotels & Motels","Consumer Discretionary",18489134000,0,44.3,03/18/20,115.48
DRE,35.61,3.71,3.39,1.17,24.69,66.01%,-16.39%,"REIT - Equity Trust Other",Finance,12486828000,0.94,25.19,03/23/20,38.88
AKAM,100.5,14.8,2.74,3.55,26.87,25.68%,47.34%,"Internet - Services","Computers and Technology",15409548000,0,73.19,06/03/19,103.34
KMB,140.09,6.01,7.04,6.88,19.11,18.87%,-6.46%,"Consumer Prdts - Misc Staple","Consumer Staples",45315156000,4.28,110.66,03/24/20,149.23
AWK,133.61,5.28,12.05,3.61,36.5,129.47%,19.88%,"Utility - Water Supply",Utilities,23032984000,2,92,03/23/20,141.7
EFX,129.79,-10.95,15.91,5.61,22.14,23.28%,43.97%,"Financial Transaction Services","Business Services",14809719000,1.56,103.01,03/23/20,164.77
CPRI,14.41,0.44,3.63,4.4,3.04,-79.47%,58.21%,"Retail - Apparel & Shoes",Retail-Wholesale,1946226000,0,5.42,03/18/20,49.42
COTY,6.29,-1.47,1.3,0.63,9.56,-76.63%,90.01%,"Cosmetics & Toiletries","Consumer Staples",4403585000,0.5,3.02,03/18/20,14.14
NCLH,12.35,1.24,2.33,5.09,2.58,-77.90%,106.74%,"Leisure & Recreation Services","Consumer Discretionary",2421986000,0,7.03,03/18/20,59.78
HCA,112.54,8.23,18.93,10.5,10.29,33.28%,39.05%,"Medical - Hospitals",Medical,35068772000,1.72,58.38,03/18/20,151.97
CCL,12.51,-5.13,2.24,4.13,3.01,-75.20%,31.11%,"Leisure & Recreation Services","Consumer Discretionary",6068320000,2,7.8,04/02/20,56.04
MNST,64.41,2.04,6.36,2.03,29.81,25.96%,70.43%,"Beverages - Soft","Consumer Staples",31961418000,0,50.06,03/20/20,70.52
MGM,15.04,-0.41,2.12,0.74,19.66,-36.77%,27.95%,Gaming,"Consumer Discretionary",6853332000,0.6,5.9,03/18/20,34.63
AMD,54.93,11.04,7.42,0.48,100.79,"2,114.78%",22.25%,"Electronics - Semiconductors","Computers and Technology",59643200000,0,26.03,05/23/19,59.27
CBOE,100.51,5.56,5.47,4.74,19.71,62.99%,304.40%,"Securities Exchanges",Finance,10304689000,1.44,72.01,03/19/20,127.93
WYNN,74.48,1.91,17.7,2.6,27.17,-46.73%,21.67%,Gaming,"Consumer Discretionary",7450859000,4,35.84,03/18/20,153.41
FAST,34.54,0.44,2.35,1.38,24.36,55.03%,42.86%,"Building Prds Retail - Wsale",Retail-Wholesale,18535760000,1,26.72,03/23/20,39.31
ADSK,172.22,14.02,19.73,1.41,116.95,156.90%,30.34%,"Computer - Software","Computers and Technology",35325320000,0,125.38,03/18/20,211.58
UHS,107.55,2.58,11.17,9.99,10.46,-17.91%,41.08%,"Medical - Hospitals",Medical,8733531000,0.8,65.2,03/19/20,157.79
UAL,30.9,-10.75,6.87,12.1,2.6,-54.48%,11.20%,"Transportation - Airline",Transportation,7168264000,0,17.8,03/18/20,96.03
CMG,785.33,156.85,97.22,14.07,54.8,16.72%,35.98%,"Retail - Restaurants",Retail-Wholesale,20691378000,0,415,03/18/20,940.28
LYV,41.96,-0.79,7.55,-0.07,0,51.64%,68.17%,"Leisure & Recreation Services","Consumer Discretionary",8454667000,0,21.7,03/18/20,76.6
FRC,99.59,2.85,11.09,5.2,19.13,58.83%,130.75%,"Banks - West",Finance,15734915000,0.76,70.06,03/23/20,122.34
CDNS,76.32,13.86,6.91,3.53,20.3,276.78%,47.78%,"Computer - Software","Computers and Technology",20046022000,0,51.39,03/18/20,80.4
STZ,167.83,35.01,25.74,9.13,18.21,36.31%,38.41%,"Beverages - Alcohol","Consumer Staples",30209160000,3,104.28,03/23/20,214.48
NOW,302.09,14.54,32.26,0.57,487.82,272.66%,406.98%,"IT Services","Computers and Technology",53819688000,0,213.99,10/23/19,362.95
KLAC,161.73,16.45,13.32,8.72,17.22,158.26%,55.97%,"Electronics Products - Misc","Computers and Technology",23843454000,3.4,101.34,06/03/19,184.5
ADBE,340.99,5.2,21.57,7.07,45.08,318.93%,169.38%,"Computer - Software","Computers and Technology",154489488000,0,255.13,03/18/20,386.74
QRVO,89.83,6.15,7.34,5.39,15.42,20.84%,169.14%,"Semi Radio Frequency","Computers and Technology",9801990000,0,58.52,05/23/19,122.37
MAR,82.68,-12.8,12.22,6.01,13.53,-4.58%,52.02%,"Hotels & Motels","Consumer Discretionary",25317948000,1.92,46.56,03/18/20,153.39
CHD,72.14,8.88,3.31,2.48,27.58,62.24%,32.15%,"Soap and Cleaning Products","Consumer Staples",16737345000,0.96,47.98,03/16/20,80.99
QCOM,77.55,1.76,6.62,2.6,27.53,7.42%,-8.36%,"Wireless Equipment","Computers and Technology",83785056000,2.48,57.03,04/15/19,96.17
