Symbol,Last,"1M Chg","5D Chg","Earnings ttm","P/E ttm","5Y Return","5Y Rev%",Industry,Sector,"Market Cap",Dividend(a),"52W Low","52W Low Date","52W High"
ALB,56.93,-25.67,1.33,6.04,8.88,-10.30%,46.77%,"Chemical - Diversified","Basic Materials",5603012000,1.54,48.89,03/23/20,99.4
ALGN,176.74,-48.43,-3.18,4.96,30.66,184.03%,216.00%,"Medical - Dental Suppliers",Medical,12143711000,0,127.88,03/19/20,334.64
ALK,26.67,-18.54,-1.66,6.43,3.84,-61.39%,63.58%,"Transportation - Airline",Transportation,3026624000,0,20.02,03/18/20,72.22
ALL,93.52,-13.62,-1.12,10.45,8.21,19.34%,26.78%,"Insurance - Proprty & Casualty",Finance,27241928000,2.16,64.13,03/18/20,125.92
ALLE,94.49,-25.31,-0.52,4.89,17.26,37.23%,34.73%,"Protection - Safety","Industrial Products",7808744000,1.28,77.37,03/23/20,139.24
ALXN,95.91,3.93,8.65,9.71,9.3,-50.86%,123.44%,"Medical - Biomedical",Medical,19937916000,0,72.67,03/16/20,141.86
AMAT,46.15,-11.64,-1.15,3.22,13.43,87.91%,61.02%,"Semi-Eqpt Wafer Fabrication","Computers and Technology",38825932000,0.84,36.64,03/18/20,69.44
AMCR,8.22,-1.1,-0.06,0.42,0,0.00%,117.76%,"Containers - Paper Products","Industrial Products",12575729000,0.46,5.8,03/16/20,11.77
AMD,47.52,-1.07,-0.34,0.48,92.69,"1,443.12%",22.25%,"Electronics - Semiconductors","Computers and Technology",49866588000,0,26.03,05/23/19,59.27
AME,75.43,-13.09,1.71,4.19,16.97,33.20%,28.26%,"Electronic Test Equipment","Computers and Technology",16338955000,0.72,54.82,03/18/20,102.31
AMGN,211.58,0.93,3.1,14.83,14.09,25.73%,16.44%,"Medical - Biomedical",Medical,121152256000,6.4,166.3,05/15/19,244.99
AMP,102.58,-24.02,-6.57,16.25,5.79,-27.47%,5.70%,"Finance - Investment Mgmt",Finance,11106560000,3.88,80.01,03/18/20,180.85
AMT,235.18,-11.14,4.6,4.23,28.3,134.35%,84.88%,"REIT - Equity Trust Other",Finance,98680576000,4.04,174.32,03/23/20,258.62
AMZN,1997.59,96.5,33.64,23.01,83.39,398.26%,215.24%,"Internet Commerce",Retail-Wholesale,949207232000,0,1626.03,03/16/20,2185.95
ANET,207.6,16.82,1.87,8.74,22.21,198.30%,312.72%,"Communications Components","Computers and Technology",14885870000,0,156.63,03/23/20,331.27
ANSS,242.46,4.68,7.33,5.44,39.74,146.50%,61.95%,"Computer - Software","Computers and Technology",18755026000,0,174.25,06/03/19,299.06
ANTM,225.72,-56.47,-4.86,19.42,10.89,32.08%,41.07%,"Medical - HMO",Medical,51259452000,3.8,171.03,03/23/20,312.48
AON,173.15,-41.66,2.12,9.16,17.17,56.89%,-8.57%,"Insurance - Brokers",Finance,35696048000,1.76,143.93,03/23/20,238.19
AOS,38.22,-4.47,-0.38,2.23,16.12,10.40%,27.02%,"Machinery - Electrical","Industrial Products",5809864000,0.96,33.81,03/23/20,56.66
APA,5.87,-15.14,1.45,0,0,-92.07%,-53.71%,"Oil - US Exploration & Product",Oils-Energy,2029960000,1,3.8,03/18/20,38.12
APD,193.86,-35.85,-12.67,8.5,22.88,22.83%,-14.56%,"Chemical - Diversified","Basic Materials",41178516000,5.36,167.43,03/16/20,257.01
APH,75.34,-17.22,-0.49,3.74,18.39,14.91%,53.88%,"Electronics - Connectors","Computers and Technology",20396070000,1,63.05,03/18/20,110.24
APTV,49.93,-26.36,0.01,4.8,9.5,-39.19%,-15.66%,"Technology Services","Business Services",11048430000,0.88,29.22,03/18/20,99.04
ARE,137.68,-21.38,-6.97,3.09,18.88,36.82%,110.67%,"REIT - Equity Trust Other",Finance,15949772000,4.12,109.22,03/23/20,175.74
ARNC,7.3,0.38,N/A,2.12,7.58,0.00%,-40.63%,"Mining - Non Ferrous","Basic Materials",2995945000,0.08,5.8,04/01/20,15
ATO,103.63,-7.62,0.81,4.46,21.83,70.06%,-41.27%,"Utility - Gas Distribution",Utilities,11516427000,2.3,77.92,03/23/20,121.08
ATVI,61.6,1.63,3.13,2.07,29.36,161.69%,47.21%,"Toys & Game & Hobby","Consumer Discretionary",46137876000,0.37,41.84,05/24/19,64.53
AVB,145.07,-63.99,-7.03,5.64,14.49,-21.44%,37.96%,"REIT - Equity Trust Resident",Finance,18607982000,6.36,118.17,03/23/20,229.4
AVGO,252.44,-17.01,12.33,16.85,14.07,84.72%,429.33%,"Electronics - Semiconductors","Computers and Technology",93655032000,13,155.67,03/18/20,331.58
AVY,100.42,-20.4,-4.35,6.59,14.55,73.22%,11.69%,"Office Supply & Forms","Industrial Products",7797338000,2.32,76.96,03/23/20,141.09
AWK,121.52,-19.48,-5.2,3.61,32.59,109.15%,19.88%,"Utility - Water Supply",Utilities,20508088000,2,92,03/23/20,141.7
AXP,83.87,-24.37,-6.4,8.19,9.36,-7.53%,30.61%,"Finance - Misc Services",Finance,59471816000,1.72,67,03/18/20,138.13
AZO,875.1,-185.21,1.11,65.27,12.17,12.66%,25.21%,"Retail - Wholesale Auto Parts",Retail-Wholesale,18461148000,0,684.91,03/23/20,1274.41
BA,148.77,-113.56,-3.51,5.2,23.71,-19.34%,-15.65%,"Aerospace - Defense",Aerospace,70123680000,0,89,03/18/20,391
BAC,21.39,-4.32,-0.65,2.93,7.02,27.42%,19.34%,"Banks - Major Regional",Finance,174757184000,0.72,17.95,03/23/20,35.72
BAX,84.93,-0.45,2.74,2.62,0,112.29%,-31.85%,"Medical Products",Medical,41301436000,0.88,69.1,03/16/20,95
BBY,60.15,-13.67,0.4,6.13,8.61,38.62%,8.18%,"Retail - Consumer Electronics",Retail-Wholesale,13839394000,2.2,48.1,03/19/20,91.99
BDX,237.69,-1.43,14.82,11.63,20.06,58.32%,104.71%,"Medical - Dental Suppliers",Medical,61483056000,3.16,197.75,03/23/20,286.72
BEN,16.75,-4.9,-1.01,2.68,5.99,-69.82%,-32.00%,"Finance - Investment Mgmt",Finance,7756578000,1.08,15.29,03/23/20,35.82
BF.B,57.39,-4.86,0.76,1.79,30.53,48.08%,11.13%,"Beverages - Alcohol","Consumer Staples",26508026000,0.7,44.68,03/23/20,72.85
BIIB,311.39,-6.56,-4.74,33.64,9.05,-23.35%,48.18%,"Medical - Biomedical",Medical,52307972000,0,215.77,09/04/19,374.99
BK,35.24,-2.83,1.24,4.03,8.35,-17.40%,29.76%,"Banks - Major Regional",Finance,29870472000,1.24,26.4,03/18/20,53.6
BKNG,1356.68,-255.41,48.45,103.42,12.18,3.46%,78.47%,"Internet Commerce",Retail-Wholesale,50534184000,0,1107.29,03/23/20,2094
BKR,11.75,-4.33,0.79,0.83,12.48,-77.53%,-2.90%,"Oil - Field Services",Oils-Energy,10721734000,0.72,9.12,03/23/20,27.27
BLK,449.52,-0.89,-5.83,28.51,14.96,13.16%,31.21%,"Finance - Investment Mgmt",Finance,64728524000,14.52,323.98,03/18/20,576.81
BLL,65.62,-10.43,-0.37,2.54,25.42,71.69%,33.89%,"Containers - Metal & Glass","Industrial Products",20254054000,0.6,51.26,03/23/20,82.82
BMY,57.87,-2.44,3.48,4.67,11.82,-14.09%,64.65%,"Large Cap Pharma",Medical,125359528000,1.8,42.48,07/23/19,68.34
BR,98.61,-1.75,1.67,4.52,20.38,70.62%,70.53%,Outsourcing,"Business Services",10606649000,2.16,81.9,03/23/20,136.99
BRK.B,185.24,-20.74,2.06,9.78,18.38,24.28%,30.79%,"Insurance - Proprty & Casualty",Finance,434435136000,0,159.5,03/23/20,231.61
BSX,32.88,-4.72,1.24,1.59,19.53,72.21%,45.46%,"Medical Products",Medical,43519396000,0,24.1,03/23/20,46.62
BWA,24.73,-4.14,0.15,4.13,5.39,-65.27%,22.43%,"Auto - Truck Original Parts",Auto-Tires-Trucks,4400728000,0.68,17,03/18/20,46.6
BXP,90.72,-41.86,-2.24,3.3,11.8,-39.64%,23.51%,"REIT - Equity Trust Other",Finance,12881331000,3.92,77.21,03/23/20,147.83
C,41.12,-20.16,-2.96,7.58,5.18,-28.50%,14.22%,"Banks - Major Regional",Finance,78661824000,2.04,32,03/18/20,83.11
CAG,31.3,3.05,3.07,1.93,15.84,5.96%,-46.12%,"Food - Misc & Diversified","Consumer Staples",15188471000,0.85,22.83,03/13/20,35.59
CAH,49.35,-1.92,0.91,5.49,8.46,-48.51%,59.78%,"Medical - Dental Suppliers",Medical,13600052000,1.92,39.05,03/23/20,60.69
CARR,15.44,3.44,-0.46,N/A,N/A,0.00%,N/A,N/A,N/A,N/A,N/A,11.5,03/24/20,17.25
CAT,120.43,-0.98,8.72,11.06,10.56,38.83%,-2.51%,"Machinery - Construct & Mining","Industrial Products",63078016000,4.12,87.5,03/12/20,150.55
CB,110.76,-34.06,-3.28,10.12,10.47,-8.11%,78.32%,"Insurance - Proprty & Casualty",Finance,46598228000,3,87.35,03/18/20,167.74
CBOE,94.89,-21.88,1.86,4.74,19.49,56.60%,304.40%,"Securities Exchanges",Finance,9897184000,1.44,72.01,03/19/20,127.93
CBRE,39.78,-14.8,-1.25,3.71,9.88,-7.82%,164.03%,"Real Estate Operations",Finance,11885080000,0,29.17,03/23/20,64.75
CCI,148.75,-12.07,0.69,1.97,24.97,71.94%,56.18%,"REIT - Equity Trust Other",Finance,60686552000,4.8,114.18,03/24/20,168.75
CCL,10.21,-16.94,-2.59,4.4,1.81,-82.43%,31.11%,"Leisure & Recreation Services","Consumer Discretionary",4479825000,2,7.8,04/02/20,56.04
CDNS,69.42,4.69,2.51,3.53,18.68,235.41%,47.78%,"Computer - Software","Computers and Technology",17911140000,0,51.39,03/18/20,80.4
CDW,95.84,-15.74,-1.07,6.02,14.61,126.16%,49.34%,"IT Services","Computers and Technology",12405459000,1.52,73.39,03/23/20,146.09
CE,72.47,-19.78,-1.63,9.52,7.21,13.88%,-7.42%,"Chemical - Specialty","Basic Materials",8022141000,2.48,52.7,03/18/20,128.88
CERN,63.96,-9.4,-0.28,2.41,25.71,-16.97%,67.30%,"Medical Information Systems",Medical,18945398000,0.72,53.08,03/23/20,80.9
CF,27.5,-9.34,0.88,2.09,12.3,-54.71%,-3.23%,Fertilizers,"Basic Materials",5570727000,1.2,19.73,03/18/20,55.15
CFG,18.79,-9.19,-0.86,3.86,4.51,-32.54%,50.99%,"Finance - Savings & Loan",Finance,7240732000,1.56,14.12,03/18/20,41.29
CHD,68.86,-5.82,4.05,2.48,26.72,57.51%,32.15%,"Soap and Cleaning Products","Consumer Staples",16626747000,0.96,47.98,03/16/20,80.99
CHRW,72.39,6.31,7.2,4.18,16.49,-5.43%,13.66%,"Transportation - Services",Transportation,8950821000,2.04,56.94,03/16/20,91.96
CHTR,459.55,-37.17,8.77,7.61,57.25,126.16%,402.46%,"Cable TV","Consumer Discretionary",91087152000,0,345.67,03/18/20,546.54
CI,173.49,-22.03,-4.77,17.05,9.9,22.90%,339.84%,"Insurance - Multi Line",Finance,60935208000,0.04,118.5,03/18/20,224.64
CINF,77.41,-20.8,-2.33,4.21,17.32,32.72%,60.24%,"Insurance - Proprty & Casualty",Finance,11524333000,2.4,65.69,03/23/20,118.19
CL,70.5,-2.01,3.92,2.83,24.09,-2.86%,-9.17%,"Soap and Cleaning Products","Consumer Staples",57817132000,1.72,58.49,03/23/20,77.41
CLX,181.38,8.12,6.9,6.37,28.21,60.42%,11.14%,"Soap and Cleaning Products","Consumer Staples",22210252000,4.24,144.12,10/02/19,214.26
CMA,28.99,-15.82,-2.04,7.8,3.56,-40.04%,45.80%,"Banks - Major Regional",Finance,3837005000,2.72,24.28,03/19/20,80.62
CMCSA,36.23,-4.14,0.74,3.12,11.02,13.53%,58.40%,"Cable TV","Consumer Discretionary",154575520000,0.92,31.7,03/23/20,47.74
CME,182.44,-33.82,8.45,6.8,24.79,88.30%,56.40%,"Securities Exchanges",Finance,62269288000,3.4,131.8,03/19/20,225.36
CMG,689.99,-33.09,50.02,14.07,44.79,-10.54%,35.98%,"Retail - Restaurants",Retail-Wholesale,16966520000,0,415,03/18/20,940.28
CMI,142.12,-6.48,7.64,14.86,8.93,-3.13%,22.63%,"Engines - Internal Combustion",Auto-Tires-Trucks,20264294000,5.24,101.03,03/23/20,186.73
CMS,58.85,-9.04,-3.09,2.49,22.84,56.57%,-4.65%,"Utility - Electric Power",Utilities,15503547000,1.63,46.03,03/23/20,69.17
CNC,60.12,1.56,2.41,4.42,12.75,55.62%,350.72%,"Medical - HMO",Medical,32039878000,0,41.62,10/01/19,68.64
CNP,15.3,-6.25,-0.93,1.79,7.89,-35.26%,33.33%,"Utility - Electric Power",Utilities,6755146000,1.16,11.58,03/19/20,31.17
COF,49.42,-32.87,-4.45,12.08,3.64,-47.56%,41.46%,"Finance - Consumer Loans",Finance,19335186000,1.6,38,03/18/20,107.59
COG,18.28,1.91,0.77,1.62,10.31,-44.03%,-4.91%,"Oil - US Exploration & Product",Oils-Energy,6915294000,0.4,13.06,02/28/20,27.65
COO,296.68,-37.13,16.53,12.16,23.34,49.36%,54.47%,"Medical - Dental Suppliers",Medical,14915335000,0.06,236.68,03/18/20,365.68
COP,32.8,-12.53,3.51,3.59,9.43,-50.53%,-33.95%,"Oil - US Integrated",Oils-Energy,35580052000,1.68,20.84,03/18/20,68.22
COST,305.12,-6.22,14,8.41,34.66,92.91%,35.57%,"Retail - Discount",Retail-Wholesale,127462064000,2.6,233.05,05/31/19,325.26
COTY,5,-3.6,-0.41,0.63,7.08,-80.28%,90.01%,"Cosmetics & Toiletries","Consumer Staples",3498530000,0.5,3.02,03/18/20,14.14
CPB,47.61,-4.15,1.08,2.48,19.13,8.10%,-1.95%,"Food - Misc & Diversified","Consumer Staples",14945429000,1.4,35.27,05/31/19,57.54
CPRI,10.74,-12.19,-0.51,4.4,1.85,-86.80%,58.21%,"Retail - Apparel & Shoes",Retail-Wholesale,1274084000,0,5.42,03/18/20,50
CPRT,65.39,-14.8,-6.45,2.56,25.16,226.47%,75.50%,"Auction Valuation Services","Business Services",14442969000,0,55.69,03/23/20,104.88
CRM,147.55,-16.53,-2.3,1.07,125.53,98.57%,218.19%,"Computer - Software","Computers and Technology",120207448000,0,115.29,03/18/20,195.72
CSCO,41.43,1.75,1.11,2.95,13.49,39.30%,10.10%,"Computer - Networks","Computers and Technology",165648768000,1.44,32.4,03/16/20,58.26
CSX,61.27,-6.98,3.25,4.17,13.64,68.21%,-5.78%,"Transportation - Rail",Transportation,43930100000,1.04,46.81,03/23/20,80.73
CTAS,179.49,-92.83,-0.96,8.82,18.73,99.50%,51.42%,"Uniform & Related","Industrial Products",17039024000,2.55,154.33,03/23/20,304.81
CTL,9.43,-2.54,-0.41,1.32,6.67,-74.57%,24.24%,"Wireless National",Utilities,9925709000,1,8.16,03/23/20,15.3
CTSH,48.45,-9.79,1.07,4,11.07,-30.89%,63.53%,"Business Software Services","Computers and Technology",23810848000,0.88,40.01,03/23/20,74.78
CTVA,24.26,-1.04,0.17,1.1,0,0.00%,0.00%,"Agriculture Operations","Consumer Staples",16948782000,0.52,20.38,03/18/20,32.78
CTXS,147.14,29.23,1.23,4.1,34.76,178.23%,-4.21%,"Computer - Software","Computers and Technology",17292856000,1.4,90.28,08/07/19,150.33
CVS,56.22,-7.93,-3.46,7.08,7.83,-45.66%,84.24%,"Retail - Drug Stores",Retail-Wholesale,72667800000,2,51.72,05/17/19,77.03
CVX,80.39,-14.93,8.44,6.74,11.29,-29.74%,-30.88%,"Oil - International Integrated",Oils-Energy,141156096000,5.16,51.6,03/19/20,127.34
CXO,48.04,-9.96,6.96,3.05,15.3,-60.48%,72.62%,"Oil - US Exploration & Product",Oils-Energy,9398660000,0.8,33.13,03/18/20,124.53
D,74.11,-12.59,-2.7,4.23,16.8,-3.27%,33.26%,"Utility - Electric Power",Utilities,58282904000,3.76,57.79,03/23/20,90.89
DAL,22.32,-23.57,-6.35,7.33,3.09,-48.00%,16.46%,"Transportation - Airline",Transportation,14389313000,0,19.1,03/18/20,63.44
DD,35.39,-5.11,1.77,7.09,6.02,-53.66%,-63.02%,"Chemical - Diversified","Basic Materials",23564296000,1.2,28.33,03/23/20,83.66
DE,143.49,-20.55,2.26,10,13.94,52.15%,8.85%,"Machinery - Farm",N/A,42501784000,3.04,106.14,03/18/20,181.99
DFS,33.46,-29.12,-4.13,9.08,3.41,-50.78%,45.55%,"Finance - Consumer Loans",Finance,8796884000,1.76,23.25,03/19/20,92.98
DG,169.65,11.27,22.88,6.74,23.69,113.22%,46.77%,"Retail - Discount",Retail-Wholesale,40864828000,1.28,116.15,05/15/19,170.13
DGX,78.69,-33.33,-4.37,6.56,11.81,-3.80%,3.91%,"Medical - Outpatient & Hm Care",Medical,9787589000,2.12,73.02,04/03/20,118.58
DHI,36.85,-17.95,0.01,4.53,7.2,12.34%,119.23%,"Building - Residential & Comm",Construction,11774939000,0.7,25.51,03/18/20,62.54
DHR,141.94,-6.49,1.12,4.7,29.03,59.04%,-10.06%,"Conglomerates - Div Operations",Conglomerates,94185360000,0.72,119.6,03/23/20,169.19
DIS,99.58,-15.69,-0.22,5.56,17.44,-12.22%,42.52%,"Media Conglomerates","Consumer Discretionary",169494608000,1.76,79.07,03/18/20,153.41
DISCA,19.65,-5.79,-0.36,3.7,5.05,-44.43%,77.88%,"Broadcast - Radio & TV","Consumer Discretionary",9644784000,0,17.12,03/23/20,33.65
DISCK,18.08,-5.99,0.13,3.7,4.61,-47.08%,77.88%,"Broadcast - Radio & TV","Consumer Discretionary",8846305000,0,15.43,03/23/20,31.2
DISH,21.11,-8.1,0.38,2.6,7.29,-73.58%,-12.54%,"Cable TV","Consumer Discretionary",9927432000,0,17.09,03/18/20,44.65
DLR,139.5,11.26,-0.31,2.16,20.27,109.28%,98.54%,"REIT - Equity Trust Other",Finance,35388992000,4.48,105,03/23/20,143.61
DLTR,76.28,-3.96,-3.57,4.93,14.29,-15.24%,174.47%,"Retail - Discount",Retail-Wholesale,16633604000,0,60.2,03/18/20,119.71
DOV,84.73,-16.76,-0.91,5.94,13.57,37.97%,-7.95%,"Machinery - General Industrial","Industrial Products",11146337000,1.96,62.95,03/23/20,120.26
DOW,30.54,-8.43,1.89,2.55,0,0.00%,0.00%,"Chemical - Diversified","Basic Materials",20772758000,2.8,21.95,03/16/20,59.05
DRE,32.2,-1.75,-0.85,1.17,20.85,44.06%,-16.39%,"REIT - Equity Trust Other",Finance,10899269000,0.94,25.19,03/23/20,38.88
DRI,52.4,-35.75,-4.45,6.16,7.19,-33.88%,35.40%,"Retail - Restaurants",Retail-Wholesale,5575939000,0,26.15,03/18/20,128.41
DTE,96.04,-20.08,-3.39,6.3,14.15,6.61%,2.99%,"Utility - Electric Power",Utilities,16779670000,4.05,71.21,03/18/20,135.67
DUK,81.25,-17.8,-2.21,5.06,15.69,-2.34%,4.82%,"Utility - Electric Power",Utilities,55800880000,3.78,62.13,03/23/20,103.79
DVA,71.01,-10.83,-5.4,5.52,12.74,-20.00%,-10.99%,"Medical - Outpatient & Hm Care",Medical,8229311000,0,43.4,05/31/19,90.15
DVN,8.8,-4.57,2.45,1.38,5.64,-87.08%,-68.21%,"Oil - US Exploration & Product",Oils-Energy,3220183000,0.36,4.7,03/18/20,35.39
DXC,13.52,-5.51,-0.92,6.56,1.9,0.00%,59.66%,"IT Services","Computers and Technology",2960924000,0.84,7.9,03/18/20,67.09
EA,106.51,-1.16,8.82,4.18,24.47,76.23%,38.46%,"Toys & Game & Hobby","Consumer Discretionary",29787180000,0,85.69,03/16/20,114.13
EBAY,31.18,-5.21,-0.01,2.29,12.75,21.82%,-39.67%,"Internet Commerce",Retail-Wholesale,23412742000,0.64,26.02,03/23/20,42
ECL,157.39,-37.02,-4.01,5.82,26.14,26.56%,4.38%,"Chemical - Specialty","Basic Materials",42435320000,1.88,124.6,03/23/20,211.24
ED,81.05,-6.85,0.32,4.36,18.1,28.00%,-2.67%,"Utility - Electric Power",Utilities,26001072000,3.06,62.03,03/23/20,95.1
EFX,113.85,-40.33,-8.25,5.61,19.48,14.14%,43.97%,"Financial Transaction Services","Business Services",13004548000,1.56,103.01,03/23/20,164.77
EIX,53.17,-14.42,-3.14,4.69,10.99,-22.62%,-7.95%,"Utility - Electric Power",Utilities,17898628000,2.55,43.63,03/16/20,78.93
EL,160.5,-31.45,-4.73,5.97,24.99,84.66%,35.50%,"Cosmetics & Toiletries","Consumer Staples",55397772000,1.92,137.01,03/18/20,220.42
EMN,50.18,-7.6,2.57,7.12,6.37,-37.63%,-2.67%,"Chemical - Diversified","Basic Materials",6127461000,2.64,34.44,03/18/20,86.18
EMR,49.39,-12.75,2.76,3.52,13.56,-19.58%,-25.13%,"Machinery - Electrical","Industrial Products",27973372000,2,37.75,03/23/20,78.38
EOG,39.43,-15.87,4.45,4.98,7.69,-58.70%,-3.63%,"Oil - US Exploration & Product",Oils-Energy,23218174000,1.15,27,03/18/20,107.89
EQIX,652.22,43.55,7.35,6,27.4,160.67%,127.60%,"REIT - Equity Trust Retail",Finance,50515552000,10.64,440.72,04/26/19,658.98
EQR,60.11,-17.53,-2.47,2.59,15.59,-28.25%,3.30%,"REIT - Equity Trust Resident",Finance,20183526000,2.41,49.62,03/23/20,89.55
ES,82.09,-14.27,-1.56,3.45,22.98,48.63%,10.13%,"Utility - Electric Power",Utilities,24794720000,2.27,60.69,03/23/20,99.42
ESS,212.61,-82.05,-12.9,6.67,14.56,-14.10%,50.64%,"REIT - Equity Trust Resident",Finance,12629586000,8.31,175.81,03/23/20,334.17
ETFC,37.54,-4.66,2.23,4.13,8.29,21.38%,55.77%,"Finance - Investment Brokers",Finance,7578913000,0.56,25.76,03/18/20,57.3
ETN,77.4,-15.37,-0.92,5.68,12.96,3.73%,-5.15%,"Machinery - Electrical","Industrial Products",29314888000,2.92,56.42,03/23/20,105.78
ETR,93,-31.28,-7.07,5.37,16.42,6.77%,-12.94%,"Utility - Electric Power",Utilities,16744037000,3.72,75.19,03/23/20,135.55
EVRG,57.88,-11.96,-1.23,2.91,18.38,33.82%,97.86%,"Other Alt Energy",Oils-Energy,11740936000,2.02,42.01,03/23/20,76.57
EW,195.42,-10.43,-0.64,5.57,33.19,166.90%,87.18%,"Medical Instruments",Medical,39538888000,0,154.52,03/23/20,247.64
EXC,36.32,-8.85,-0.91,3.22,10.77,-1.89%,25.55%,"Utility - Electric Power",Utilities,31896208000,1.53,29.28,03/23/20,51.18
EXPD,69.21,-1.27,2.24,3.41,19.85,43.16%,24.54%,"Transportation - Services",Transportation,11272061000,1,52.55,03/23/20,81.64
EXPE,52.83,-39.02,-3.56,4.86,9.85,-50.89%,109.37%,"Internet Commerce",Retail-Wholesale,6818816000,1.36,40.76,03/18/20,144
EXR,99.88,-10.14,3.13,3.22,19.62,43.31%,102.18%,"REIT - Equity Trust Other",Finance,12459698000,3.6,72.7,03/23/20,124.46
F,4.53,-1.96,-0.5,1.22,3.57,-73.55%,8.21%,"Auto - Domestic",Auto-Tires-Trucks,16811302000,0,3.96,03/23/20,10.56
FANG,32.1,-16.46,8.51,6.49,4.48,-60.88%,699.64%,"Oil - US Exploration & Product",Oils-Energy,5000192000,1.5,14.55,03/18/20,114.14
FAST,32.18,-1.98,0.38,1.38,22.21,52.36%,42.86%,"Building Prds Retail - Wsale",Retail-Wholesale,17507590000,1,26.72,03/23/20,39.31
FB,165.55,-15.54,-0.4,6.44,24.56,87.93%,467.12%,"Internet - Services","Computers and Technology",439482208000,0,137.1,03/18/20,224.2
FBHS,40.62,-19.8,-3.89,3.61,10.65,-23.23%,43.63%,"Protection - Safety","Industrial Products",4948386000,0.96,33.9,03/23/20,73.28
FCX,7.19,-2.24,0.95,0.02,319.5,-65.46%,-32.82%,"Mining - Non Ferrous","Basic Materials",9170144000,0.2,4.82,03/19/20,14.68
