Symbol,Last,1M Chg,5D Chg,Earnings ttm,P/E ttm,5Y Return,5Y Rev%,Industry,Sector,Market Cap,Billions,Dividend(a),52W Low,52W Low Date,52W High,Low,High,Fair Value,Verdict,Delta,Potential Profit
ADI,96.25,-10.75,6.6,4.84,17.88,51.06%,109.13%,Semi Analog & Mixed,Computers and Technology,35275476000.00,35.28,2.48,79.07,3/18/2020,127.3,17.84935065,24.39120189,86.5392,Overvalued,-9.71,-11.22
ADM,35.98,-1.66,0.8,3.25,10.66,-25.89%,-20.38%,Agriculture Operations,Consumer Staples,19936902000.00,19.94,1.44,28.92,3/23/2020,47.2,19.62201223,23.77118644,34.645,Overvalued,-1.33,-3.85
ADP,136.96,-22.19,0.28,5.77,22.28,67.19%,16.13%,Outsourcing,Business Services,60294444000.00,60.29,3.64,103.11,3/18/2020,182.32,24.71524533,24.87933304,128.5556,Overvalued,-8.40,-6.54
ADS,35.57,-37.04,1.92,16.33,1.62,-89.43%,5.25%,Financial Transaction Services,Business Services,1484088000.00,1.48,2.52,20.51,3/19/2020,182.95,42.33904976,80.55752938,26.4546,Overvalued,-9.12,-34.46
ADSK,148.7,-24.72,-7.4,1.41,98.58,152.39%,30.34%,Computer - Software,Computers and Technology,33437440000.00,33.44,0,125.38,3/18/2020,211.58,15.68258238,29.71925513,138.9978,Overvalued,-9.70,-6.98
AEE,71.53,-13.82,-1.3,3.35,20.52,80.62%,-2.36%,Utility - Electric Power,Utilities,18330090000.00,18.33,1.98,58.74,3/23/2020,87.65,17.88060953,18.39132915,68.742,Overvalued,-2.79,-4.06
AEP,78.75,-18.95,-1.23,4.25,17.06,41.02%,-8.57%,Utility - Electric Power,Utilities,38888924000.00,38.89,2.8,65.14,3/23/2020,104.97,17.28253968,24.9785653,72.505,Overvalued,-6.25,-8.61
AES,13.23,-3.59,-0.37,1.37,8.93,3.50%,-40.58%,Utility - Electric Power,Utilities,9044184000.00,9.04,0.57,8.11,3/18/2020,21.23,38.69992441,37.68252473,12.2341,Overvalued,-1.00,-8.14
AFL,35.71,-5.07,1.47,4.44,7.3,10.10%,-1.85%,Insurance - Accident & Health,Finance,25446838000.00,25.45,1.12,23.07,3/18/2020,57.18,35.39624755,37.54809374,32.412,Overvalued,-3.30,-10.18
AGN,178.26,-13.69,1.16,17.64,9.96,-40.03%,23.17%,Medical - Generic Drugs,Medical,58611708000.00,58.61,2.96,114.27,6/17/2019,202.21,35.89700438,11.84412245,175.6944,Overvalued,-2.57,-1.46
AIG,23.26,-14.58,-0.99,4.6,4.45,-62.53%,-22.76%,Insurance - Multi Line,Finance,18796042000.00,18.80,1.28,16.07,3/18/2020,58.66,30.91143594,60.34776679,20.47,Overvalued,-2.79,-13.63
AIV,34.46,-15.35,-0.69,3.19,12.26,-5.18%,-7.12%,REIT - Equity Trust Resident,Finance,5289994000.00,5.29,1.64,24.53,3/24/2020,55.68,28.81601857,38.11063218,39.1094,Undervalued,4.65,11.89
AIZ,104.09,-15.6,0,8.49,11.63,70.60%,-2.84%,Insurance - Multi Line,Finance,6217509000.00,6.22,2.52,76.27,3/19/2020,142.61,26.72687098,27.01072856,98.7387,Overvalued,-5.35,-5.42
AJG,82.28,-18.56,0.77,3.66,20.84,72.49%,55.52%,Insurance - Brokers,Finance,15587591000.00,15.59,1.8,65.09,3/18/2020,109.46,20.89207584,24.83098849,76.2744,Overvalued,-6.01,-7.87
AKAM,95.23,4.61,3.74,3.55,26.86,36.01%,47.34%,Internet - Services,Computers and Technology,15830441000.00,15.83,0,73.19,6/3/2019,103.34,23.14396724,7.847880782,95.353,Undervalued,0.12,0.13
ALB,57,-25.6,0.63,6.04,8.73,-3.59%,46.77%,Chemical - Diversified,Basic Materials,6052741000.00,6.05,1.54,48.89,3/23/2020,99.4,14.22807018,42.65593561,52.7292,Overvalued,-4.27,-8.10
ALGN,174.55,-50.62,0.6,4.96,31.09,231.10%,216.00%,Medical - Dental Suppliers,Medical,13918804000.00,13.92,0,127.88,3/19/2020,334.64,26.73732455,47.83946928,154.2064,Overvalued,-20.34,-13.19
ALK,29.03,-16.18,0.56,6.43,3.84,-57.65%,63.58%,Transportation - Airline,Transportation,3269342000.00,3.27,0,20.02,3/18/2020,72.22,31.03685842,59.80337857,24.6912,Overvalued,-4.34,-17.57
ALL,92.53,-14.61,0.8,10.45,8.23,31.96%,26.78%,Insurance - Proprty & Casualty,Finance,29637796000.00,29.64,2.16,64.13,3/18/2020,125.92,30.6927483,26.51683609,86.0035,Overvalued,-6.53,-7.59
ALLE,92.75,-27.05,0.73,4.89,17.19,59.88%,34.73%,Protection - Safety,Industrial Products,8779726000.00,8.78,1.28,77.37,3/23/2020,139.24,16.58221024,33.38839414,84.0591,Overvalued,-8.69,-10.34
ALXN,94.72,2.74,4.93,9.71,9.25,-47.11%,123.44%,Medical - Biomedical,Medical,21301612000.00,21.30,0,72.67,3/16/2020,141.86,23.27913851,33.22994502,89.8175,Overvalued,-4.90,-5.46
AMAT,47.56,-10.23,1.74,3.22,13.13,114.75%,61.02%,Semi-Eqpt Wafer Fabrication,Computers and Technology,42379776000.00,42.38,0.84,36.64,3/18/2020,69.44,22.96047098,31.50921659,42.2786,Overvalued,-5.28,-12.49
AMCR,8.13,-1.19,0.01,0.42,0,0.00%,117.76%,Containers - Paper Products,Industrial Products,13185267000.00,13.19,0.46,5.8,3/16/2020,11.77,28.65928659,30.92608326,0,Overvalued,-8.13,#DIV/0!
AMD,47.56,-1.03,2.08,0.48,88.73,1741.86%,22.25%,Electronics - Semiconductors,Computers and Technology,55638888000.00,55.64,0,26.03,5/23/2019,59.27,45.26913373,19.75704404,42.5904,Overvalued,-4.97,-11.67
AME,75.79,-12.73,3.77,4.19,17.01,45.87%,28.26%,Electronic Test Equipment,Computers and Technology,17287802000.00,17.29,0.72,54.82,3/18/2020,102.31,27.66855786,25.92121982,71.2719,Overvalued,-4.52,-6.34
AMGN,208.78,-1.87,6.05,14.83,13.85,29.34%,16.44%,Medical - Biomedical,Medical,124791368000.00,124.79,6.4,166.3,5/15/2019,244.99,20.34677651,14.78019511,205.3955,Overvalued,-3.38,-1.65
AMP,103.48,-23.12,1,16.25,5.56,-20.60%,5.70%,Finance - Investment Mgmt,Finance,12614160000.00,12.61,3.88,80.01,3/18/2020,180.85,22.68071125,42.78131048,90.35,Overvalued,-13.13,-14.53
AMT,227.77,-18.55,10.02,4.23,28.56,144.72%,84.88%,REIT - Equity Trust Other,Finance,104163808000.00,104.16,4.04,174.32,3/23/2020,258.62,23.46665496,11.92869848,120.8088,Overvalued,-106.96,-88.54
AMZN,2011.6,110.51,61.88,23.01,82.86,431.90%,215.24%,Internet Commerce,Retail-Wholesale,994512128000.00,994.51,0,1626.03,3/16/2020,2185.95,19.16732949,7.975937236,1906.6086,Overvalued,-104.99,-5.51
ANET,209.14,18.36,6.59,8.74,22.27,219.53%,312.72%,Communications Components,Computers and Technology,15877039000.00,15.88,0,156.63,3/23/2020,331.27,25.10758344,36.86720802,194.6398,Overvalued,-14.50,-7.45
ANSS,239.65,1.87,7.18,5.44,40.13,180.85%,61.95%,Computer - Software,Computers and Technology,20830710000.00,20.83,0,174.25,6/3/2019,299.06,27.28979762,19.86557881,218.3072,Overvalued,-21.34,-9.78
ANTM,224.05,-58.14,-2.99,19.42,10.47,48.03%,41.07%,Medical - HMO,Medical,56912364000.00,56.91,3.8,171.03,3/23/2020,312.48,23.66436063,28.29941116,203.3274,Overvalued,-20.72,-10.19
AON,175.92,-38.89,10.88,9.16,16.83,80.05%,-8.57%,Insurance - Brokers,Finance,40098424000.00,40.10,1.76,143.93,3/23/2020,238.19,18.184402,26.14299509,154.1628,Overvalued,-21.76,-14.11
AOS,39.66,-3.03,1.85,2.23,16.09,18.73%,27.02%,Machinery - Electrical,Industrial Products,6190494000.00,6.19,0.96,33.81,3/23/2020,56.66,14.75037821,30.00352983,35.8807,Overvalued,-3.78,-10.53
APA,6.52,-14.18,2.34,0,0,-91.66%,-53.71%,Oil - US Exploration & Product,Oils-Energy,2214845000.00,2.21,1,3.8,3/18/2020,38.12,41.71779141,82.89611752,0,Overvalued,-6.52,#DIV/0!
APD,202.03,-27.68,2.42,8.5,21.95,29.37%,-14.56%,Chemical - Diversified,Basic Materials,42780636000.00,42.78,5.36,167.43,3/16/2020,257.01,17.12616938,21.39216373,186.575,Overvalued,-15.46,-8.28
APH,75.71,-16.85,2.83,3.74,18.29,29.99%,53.88%,Electronics - Connectors,Computers and Technology,22458930000.00,22.46,1,63.05,3/18/2020,110.24,16.72170123,31.32256894,68.4046,Overvalued,-7.31,-10.68
APTV,53.5,-22.79,4.26,4.8,9.02,-28.65%,-15.66%,Technology Services,Business Services,12743084000.00,12.74,0.88,29.22,3/18/2020,99.04,45.38317757,45.98142165,43.296,Overvalued,-10.20,-23.57
ARE,138.27,-20.79,1.21,3.09,18.68,48.23%,110.67%,REIT - Equity Trust Other,Finance,16893334000.00,16.89,4.12,109.22,3/23/2020,175.74,21.00961886,21.32127006,57.7212,Overvalued,-80.55,-139.55
ARNC,7.3,0.38,N/A,0,0,0.00%,0.00%,N/A,N/A,795853000.00,0.80,0,5.8,4/1/2020,15,20.54794521,51.33333333,0,Overvalued,-7.30,#DIV/0!
ATO,98.42,-12.83,-0.81,4.46,21.11,91.80%,-41.27%,Utility - Gas Distribution,Utilities,12674673000.00,12.67,2.3,77.92,3/23/2020,121.08,20.82909978,18.71489924,94.1506,Overvalued,-4.27,-4.53
ATVI,59.87,-0.1,0.39,2.07,28.98,170.06%,47.21%,Toys & Game & Hobby,Consumer Discretionary,47384012000.00,47.38,0.37,41.84,5/24/2019,64.53,30.11524971,7.221447389,59.9886,Undervalued,0.12,0.20
AVB,147.35,-61.71,0.18,5.64,14.16,-13.81%,37.96%,REIT - Equity Trust Resident,Finance,20416428000.00,20.42,6.36,118.17,3/23/2020,229.4,19.80318968,35.76721883,79.8624,Overvalued,-67.49,-84.50
AVGO,253.27,-16.18,16.17,16.85,13.9,107.17%,429.33%,Electronics - Semiconductors,Computers and Technology,100923240000.00,100.92,13,155.67,3/18/2020,331.58,38.53594978,23.61722661,234.215,Overvalued,-19.06,-8.14
AVY,104.16,-16.66,2.29,6.59,14.2,96.63%,11.69%,Office Supply & Forms,Industrial Products,8364583000.00,8.36,2.32,76.96,3/23/2020,141.09,26.11367127,26.17478205,93.578,Overvalued,-10.58,-11.31
AWK,118.27,-22.73,-1.29,3.61,31.39,126.72%,19.88%,Utility - Water Supply,Utilities,21992082000.00,21.99,2,92,3/23/2020,141.7,22.21188805,16.53493296,113.3179,Overvalued,-4.95,-4.37
AXP,87.58,-20.66,1.97,8.19,8.99,8.47%,30.61%,Finance - Misc Services,Finance,67770400000.00,67.77,1.72,67,3/18/2020,138.13,23.49851564,36.59596033,73.6281,Overvalued,-13.95,-18.95
AZO,899.64,-160.67,53.64,65.27,12.11,28.05%,25.21%,Retail - Wholesale Auto Parts,Retail-Wholesale,20435326000.00,20.44,0,684.91,3/23/2020,1274.41,23.86843626,29.40733359,790.4197,Overvalued,-109.22,-13.82
BA,141.58,-120.75,-7.56,5.2,23.95,-0.55%,-15.65%,Aerospace - Defense,Aerospace,83780120000.00,83.78,0,89,3/18/2020,391,37.13801384,63.79028133,124.54,Overvalued,-17.04,-13.68
BAC,22.14,-3.57,0.91,2.93,6.84,37.47%,19.34%,Banks - Major Regional,Finance,186622864000.00,186.62,0.72,17.95,3/23/2020,35.72,18.92502258,38.01791713,20.0412,Overvalued,-2.10,-10.47
BAX,82.51,-2.87,1.32,2.62,0,123.53%,-31.85%,Medical Products,Medical,43081932000.00,43.08,0.88,69.1,3/16/2020,95,16.25257545,13.14736842,0,Overvalued,-82.51,#DIV/0!
BBY,61.75,-12.07,4.75,6.13,8.72,64.98%,8.18%,Retail - Consumer Electronics,Retail-Wholesale,15565437000.00,15.57,2.2,48.1,3/19/2020,91.99,22.10526316,32.87313838,53.4536,Overvalued,-8.30,-15.52
BDX,237.55,-1.57,7.78,11.63,19.5,67.94%,104.71%,Medical - Dental Suppliers,Medical,64455112000.00,64.46,3.16,197.75,3/23/2020,286.72,16.7543675,17.14913504,226.785,Overvalued,-10.77,-4.75
BEN,16.64,-5.01,-0.05,2.68,5.82,-67.27%,-32.00%,Finance - Investment Mgmt,Finance,8323042000.00,8.32,1.08,15.29,3/23/2020,35.82,8.112980769,53.5455053,15.5976,Overvalued,-1.04,-6.68
BF.B,58.65,-3.6,3.14,1.79,30.97,55.09%,11.13%,Beverages - Alcohol,Consumer Staples,27440398000.00,27.44,0.7,44.68,3/23/2020,72.85,23.81926684,19.49210707,55.4363,Overvalued,-3.21,-5.80
BIIB,301.21,-16.74,-15.17,33.64,8.93,-19.40%,48.18%,Medical - Biomedical,Medical,54201792000.00,54.20,0,215.77,9/4/2019,374.99,28.36559211,19.67519134,300.4052,Overvalued,-0.80,-0.27
BK,34.8,-3.27,1.12,4.03,8.37,-12.99%,29.76%,Banks - Major Regional,Finance,31189200000.00,31.19,1.24,26.4,3/18/2020,53.6,24.13793103,35.07462687,33.7311,Overvalued,-1.07,-3.17
BKNG,1376.37,-235.72,31.05,103.42,11.9,14.24%,78.47%,Internet Commerce,Retail-Wholesale,55707996000.00,55.71,0,1107.29,3/23/2020,2094,19.54997566,34.27077364,1230.698,Overvalued,-145.67,-11.84
BKR,12.41,-3.67,1.91,0.83,12.53,-74.78%,-2.90%,Oil - Field Services,Oils-Energy,12113498000.00,12.11,0.72,9.12,3/23/2020,27.27,26.51087832,54.49211588,10.3999,Overvalued,-2.01,-19.33
BLK,443.12,-7.29,3.15,28.51,14.66,23.02%,31.21%,Finance - Investment Mgmt,Finance,69597832000.00,69.60,14.52,323.98,3/18/2020,576.81,26.88662213,23.17747612,417.9566,Overvalued,-25.16,-6.02
BLL,65.86,-10.19,1.2,2.54,24.48,82.79%,33.89%,Containers - Metal & Glass,Industrial Products,21378012000.00,21.38,0.6,51.26,3/23/2020,82.82,22.16823565,20.47814538,62.1792,Overvalued,-3.68,-5.92
BMY,56.9,-3.41,1.16,4.67,11.89,-11.45%,64.65%,Large Cap Pharma,Medical,130642104000.00,130.64,1.8,42.48,7/23/2019,68.34,25.3427065,16.73983026,55.5263,Overvalued,-1.37,-2.47
BR,100.76,0.4,5.93,4.52,20.44,87.51%,70.53%,Outsourcing,Business Services,11320724000.00,11.32,2.16,81.9,3/23/2020,136.99,18.71774514,26.44718593,92.3888,Overvalued,-8.37,-9.06
BRK.B,185.25,-20.73,2.42,9.78,18.24,31.66%,30.79%,Insurance - Proprty & Casualty,Finance,451243520000.00,451.24,0,159.5,3/23/2020,231.61,13.90013495,20.01640689,178.3872,Overvalued,-6.86,-3.85
BSX,33.69,-3.91,1.06,1.59,19.6,78.70%,45.46%,Medical Products,Medical,45906892000.00,45.91,0,24.1,3/23/2020,46.62,28.46542001,27.73487773,31.164,Overvalued,-2.53,-8.11
BWA,24.67,-4.2,0.3,4.13,5.16,-59.27%,22.43%,Auto - Truck Original Parts,Auto-Tires-Trucks,5111790000.00,5.11,0.68,17,3/18/2020,46.6,31.09039319,47.06008584,21.3108,Overvalued,-3.36,-15.76
BXP,92.66,-39.92,0.43,3.3,11.85,-33.59%,23.51%,REIT - Equity Trust Other,Finance,14072667000.00,14.07,3.92,77.21,3/23/2020,147.83,16.67386143,37.31989447,39.105,Overvalued,-53.56,-136.95
C,41.25,-20.03,-0.87,7.58,4.95,-22.52%,14.22%,Banks - Major Regional,Finance,86278312000.00,86.28,2.04,32,3/18/2020,83.11,22.42424242,50.36698352,37.521,Overvalued,-3.73,-9.94
CAG,30.45,2.2,1.11,1.89,16.51,7.83%,-46.12%,Food - Misc & Diversified,Consumer Staples,15232270000.00,15.23,0.85,22.83,3/13/2020,35.59,25.02463054,14.44225906,31.2039,Undervalued,0.75,2.42
CAH,47.88,-3.39,-0.06,5.49,8.49,-44.89%,59.78%,Medical - Dental Suppliers,Medical,14399540000.00,14.40,1.92,39.05,3/23/2020,60.69,18.44193818,21.10726644,46.6101,Overvalued,-1.27,-2.72
CARR,15.25,3.25,-2,N/A,N/A,0.00%,N/A,N/A,N/A,N/A,#VALUE!,N/A,11.5,3/24/2020,17.25,24.59016393,11.5942029,#VALUE!,#VALUE!,#VALUE!,#VALUE!
CAT,121.92,0.51,5.88,11.06,10.37,44.61%,-2.51%,Machinery - Construct & Mining,Industrial Products,66246496000.00,66.25,4.12,87.5,3/12/2020,150.55,28.2316273,19.01693789,114.6922,Overvalued,-7.23,-6.30
CB,112.03,-32.79,0.34,10.12,10.16,0.56%,78.32%,Insurance - Proprty & Casualty,Finance,50196656000.00,50.20,3,87.35,3/18/2020,167.74,22.02981344,33.21211399,102.8192,Overvalued,-9.21,-8.96
CBOE,93.5,-23.27,4.25,4.74,18.91,63.60%,304.40%,Securities Exchanges,Finance,10479176000.00,10.48,1.44,72.01,3/19/2020,127.93,22.98395722,26.91315563,89.6334,Overvalued,-3.87,-4.31
CBRE,42.05,-12.53,4.34,3.71,9.57,3.54%,164.03%,Real Estate Operations,Finance,13317985000.00,13.32,0,29.17,3/23/2020,64.75,30.63020214,35.05791506,35.5047,Overvalued,-6.55,-18.44
CCI,146.54,-14.28,2.14,1.97,24.84,73.29%,56.18%,REIT - Equity Trust Other,Finance,61990968000.00,61.99,4.8,114.18,3/24/2020,168.75,22.08270779,13.16148148,48.9348,Overvalued,-97.61,-199.46
CCL,11.3,-15.85,-1.87,4.4,1.93,-78.28%,31.11%,Leisure & Recreation Services,Consumer Discretionary,5387399000.00,5.39,2,7.8,4/2/2020,56.04,30.97345133,79.83583155,8.492,Overvalued,-2.81,-33.07
CDNS,69.05,4.32,3.01,3.53,18.11,276.67%,47.78%,Computer - Software,Computers and Technology,19449262000.00,19.45,0,51.39,3/18/2020,80.4,25.5756698,14.11691542,63.9283,Overvalued,-5.12,-8.01
CDW,98.63,-12.95,5.36,6.02,14.43,153.34%,49.34%,IT Services,Computers and Technology,13683268000.00,13.68,1.52,73.39,3/23/2020,146.09,25.5905911,32.48682319,86.8686,Overvalued,-11.76,-13.54
CE,75.84,-16.41,2.45,9.52,7.05,7.87%,-7.42%,Chemical - Specialty,Basic Materials,8664151000.00,8.66,2.48,52.7,3/18/2020,128.88,30.51160338,41.15456238,67.116,Overvalued,-8.72,-13.00
CERN,64.26,-9.1,1.27,2.41,25.84,-10.93%,67.30%,Medical Information Systems,Medical,19459574000.00,19.46,0.72,53.08,3/23/2020,80.9,17.39807034,20.56860321,62.2744,Overvalued,-1.99,-3.19
CF,28.96,-7.88,1.76,2.09,12.33,-52.79%,-3.23%,Fertilizers,Basic Materials,5944703000.00,5.94,1.2,19.73,3/18/2020,55.15,31.87154696,47.48866727,25.7697,Overvalued,-3.19,-12.38
CFG,19.53,-8.45,0.72,3.86,4.39,-25.20%,50.99%,Finance - Savings & Loan,Finance,8031485000.00,8.03,1.56,14.12,3/18/2020,41.29,27.70097286,52.70041172,16.9454,Overvalued,-2.58,-15.25
CHD,67.01,-7.67,2.83,2.48,27.28,61.91%,32.15%,Soap and Cleaning Products,Consumer Staples,16924136000.00,16.92,0.96,47.98,3/16/2020,80.99,28.39874646,17.2613903,67.6544,Undervalued,0.64,0.95
CHRW,71.84,5.76,5.64,4.18,16.3,5.57%,13.66%,Transportation - Services,Transportation,9507702000.00,9.51,2.04,56.94,3/16/2020,91.96,20.74053452,21.87907786,68.134,Overvalued,-3.71,-5.44
CHTR,451.75,-44.97,15.44,7.61,57,146.09%,402.46%,Cable TV,Consumer Discretionary,96494008000.00,96.49,0,345.67,3/18/2020,546.54,23.48201439,17.3436528,433.77,Overvalued,-17.98,-4.15
CI,177.17,-18.35,-0.01,17.05,9.61,32.30%,339.84%,Insurance - Multi Line,Finance,64524232000.00,64.52,0.04,118.5,3/18/2020,224.64,33.1150872,21.13158832,163.8505,Overvalued,-13.32,-8.13
CINF,79.88,-18.33,4.43,4.21,16.87,47.28%,60.24%,Insurance - Proprty & Casualty,Finance,12559464000.00,12.56,2.4,65.69,3/23/2020,118.19,17.76414622,32.41390981,71.0227,Overvalued,-8.86,-12.47
CL,69.04,-3.47,2.68,2.83,23.89,1.76%,-9.17%,Soap and Cleaning Products,Consumer Staples,60279616000.00,60.28,1.72,58.49,3/23/2020,77.41,15.28099652,10.81255652,67.6087,Overvalued,-1.43,-2.12
CLX,181.5,8.24,8.25,6.37,27.87,66.01%,11.14%,Soap and Cleaning Products,Consumer Staples,22690636000.00,22.69,4.24,144.12,10/2/2019,214.26,20.59504132,15.28983478,177.5319,Overvalued,-3.97,-2.24
CMA,30.68,-14.13,1.34,7.8,3.51,-36.98%,45.80%,Banks - Major Regional,Finance,4068572000.00,4.07,2.72,24.28,3/19/2020,80.62,20.86049544,61.94492682,27.378,Overvalued,-3.30,-12.06
CMCSA,36.94,-3.43,2.56,3.12,10.88,24.03%,58.40%,Cable TV,Consumer Discretionary,164956432000.00,164.96,0.92,31.7,3/23/2020,47.74,14.18516513,22.62253875,33.9456,Overvalued,-2.99,-8.82
CME,176.81,-39.45,3.9,6.8,25.55,102.91%,56.40%,Securities Exchanges,Finance,65387408000.00,65.39,3.4,131.8,3/19/2020,225.36,25.45670494,21.54330848,173.74,Overvalued,-3.07,-1.77
CMG,704.3,-18.78,49.9,14.07,43.43,0.88%,35.98%,Retail - Restaurants,Retail-Wholesale,19159636000.00,19.16,0,415,3/18/2020,940.28,41.07624592,25.09677968,611.0601,Overvalued,-93.24,-15.26
CMI,145.84,-2.76,10.52,14.86,8.9,6.19%,22.63%,Engines - Internal Combustion,Auto-Tires-Trucks,21051098000.00,21.05,5.24,101.03,3/23/2020,186.73,30.72545255,21.89792749,132.254,Overvalued,-13.59,-10.27
CMS,57.34,-10.55,-1.41,2.49,21.91,70.58%,-4.65%,Utility - Electric Power,Utilities,16725641000.00,16.73,1.63,46.03,3/23/2020,69.17,19.72445065,17.10279023,54.5559,Overvalued,-2.78,-5.10
CNC,60.15,1.59,0.74,4.42,12.35,76.43%,350.72%,Medical - HMO,Medical,35279076000.00,35.28,0,41.62,10/1/2019,68.64,30.80631754,12.36888112,54.587,Overvalued,-5.56,-10.19
CNP,15.47,-6.08,0.02,1.79,7.51,-26.79%,33.33%,Utility - Electric Power,Utilities,7690010000.00,7.69,1.16,11.58,3/19/2020,31.17,25.14544279,50.3689445,13.4429,Overvalued,-2.03,-15.08
COF,52.91,-29.38,2.49,12.08,3.5,-39.73%,41.46%,Finance - Consumer Loans,Finance,22605744000.00,22.61,1.6,38,3/18/2020,107.59,28.17992818,50.82256715,42.28,Overvalued,-10.63,-25.14
COG,18.38,2.01,1.19,1.62,10.71,-44.39%,-4.91%,Oil - US Exploration & Product,Oils-Energy,7285970000.00,7.29,0.4,13.06,2/28/2020,27.65,28.9445049,33.52622061,17.3502,Overvalued,-1.03,-5.94
COO,292.64,-41.17,16.97,12.16,23,64.53%,54.47%,Medical - Dental Suppliers,Medical,15821945000.00,15.82,0.06,236.68,3/18/2020,365.68,19.1224713,19.97374754,279.68,Overvalued,-12.96,-4.63
COP,33.27,-12.06,2.47,3.59,9.17,-51.54%,-33.95%,Oil - US Integrated,Oils-Energy,35321008000.00,35.32,1.68,20.84,3/18/2020,68.22,37.36098587,51.23131047,32.9203,Overvalued,-0.35,-1.06
COST,303.63,-7.71,18.5,8.41,34.32,111.05%,35.57%,Retail - Discount,Retail-Wholesale,134734880000.00,134.73,2.6,233.05,5/31/2019,325.26,23.24539736,6.650064564,288.6312,Overvalued,-15.00,-5.20
COTY,5.56,-3.04,0.4,0.63,7.3,-80.06%,90.01%,Cosmetics & Toiletries,Consumer Staples,3802750000.00,3.80,0.5,3.02,3/18/2020,14.14,45.68345324,60.67892504,4.599,Overvalued,-0.96,-20.90
CPB,46.74,-5.02,0.58,2.48,19.97,3.07%,-1.95%,Food - Misc & Diversified,Consumer Staples,14366079000.00,14.37,1.4,35.27,5/31/2019,57.54,24.54000856,18.76955162,49.5256,Undervalued,2.79,5.62
CPRI,12.79,-10.14,2,4.4,1.94,-83.02%,58.21%,Retail - Apparel & Shoes,Retail-Wholesale,1604180000.00,1.60,0,5.42,3/18/2020,50,57.62314308,74.42,8.536,Overvalued,-4.25,-49.84
CPRT,69.9,-10.29,1.38,2.56,24.14,253.46%,75.50%,Auction Valuation Services,Business Services,15281970000.00,15.28,0,55.69,3/23/2020,104.88,20.32904149,33.35240275,61.7984,Overvalued,-8.10,-13.11
CRM,145.07,-19.01,1.09,1.07,125.52,124.21%,218.19%,Computer - Software,Computers and Technology,132057256000.00,132.06,0,115.29,3/18/2020,195.72,20.52802096,25.87880646,134.3064,Overvalued,-10.76,-8.01
CSCO,40.64,0.96,1.33,2.95,13.24,48.39%,10.10%,Computer - Networks,Computers and Technology,175699648000.00,175.70,1.44,32.4,3/16/2020,58.26,20.27559055,30.24373498,39.058,Overvalued,-1.58,-4.05
CSX,61.15,-7.1,3.85,4.17,13.61,83.99%,-5.78%,Transportation - Rail,Transportation,47412320000.00,47.41,1.04,46.81,3/23/2020,80.73,23.45053148,24.25368512,56.7537,Overvalued,-4.40,-7.75
