Symbol,Last,1M Chg,5D Chg,Earnings ttm,P/E ttm,5Y Return,5Y Rev%,Industry,Sector,Market Cap,,,Billions,Dividend(a),52W Low,52W Low Date,52W High,low,high,fair value,verdict,delta,potential profit
CTL,10.25,-0.61,-0.4,1.32,7.39,-71.85%,24.24%,Wireless National,Utilities,11167785000.00,,,11.167785,1,8.16,3/23/2020,15.3,20.3902439,33.00653595,9.7548,Overvalued,-0.4952,-5.076475171
FISV,100.63,9.74,1.41,3.81,25.13,153.89%,101.09%,Financial Transaction Services,Business Services,68059688000.00,,,68.059688,0,73.5,3/19/2020,125.05,26.96015105,19.52818872,95.7453,Overvalued,-4.8847,-5.101764786
DGX,95.4,9.19,5.63,6.56,13.83,25.84%,3.91%,Medical - Outpatient & Hm Care,Medical,12731607000.00,,,12.731607,2.24,73.02,4/3/2020,118.58,23.4591195,19.54798448,90.7248,Overvalued,-4.6752,-5.153166499
DLR,149.2,10.96,0.91,2.16,21.31,123.62%,98.54%,REIT - Equity Trust Other,Finance,38684424000.00,,,38.684424,4.48,105,3/23/2020,152.59,29.62466488,2.221639688,46.0296,Overvalued,-103.1704,-224.1392495
CF,28.29,4.14,-2.72,2.09,12.88,-51.96%,-3.23%,Fertilizers,Basic Materials,6115478000.00,,,6.115478,1.2,19.73,3/18/2020,55.15,30.25804171,48.70353581,26.9192,Overvalued,-1.3708,-5.092276145
YUM,84.17,18.68,3.8,3.55,22.57,34.32%,-57.85%,Retail - Restaurants,Retail-Wholesale,25326752000.00,,,25.326752,1.88,54.95,3/23/2020,119.72,34.71545681,29.69428667,80.1235,Overvalued,-4.0465,-5.050328555
FRC,100.02,6.42,0.52,5.2,18.52,70.07%,130.75%,Banks - West,Finance,16848368000.00,,,16.848368,0.76,70.06,3/23/2020,122.34,29.9540092,18.24423737,96.304,Overvalued,-3.716,-3.858614388
EMN,55.1,14.33,-4.61,7.12,7.34,-26.99%,-2.67%,Chemical - Diversified,Basic Materials,7487759000.00,,,7.487759,2.64,34.44,3/18/2020,84.27,37.49546279,34.61492821,52.2608,Overvalued,-2.8392,-5.432752656
LKQ,20.93,1.24,-1.6,2.36,8.41,-18.16%,85.55%,Auto - Truck Replacement Parts,Auto-Tires-Trucks,6430144000.00,,,6.430144,0,13.31,3/23/2020,36.63,36.40707119,42.86104286,19.8476,Overvalued,-1.0824,-5.453556097
TFX,346.68,83.84,21.12,11.15,29.6,177.39%,41.07%,Medical Instruments,Medical,16075895000.00,,,16.075895,1.36,221.27,3/23/2020,398.65,36.17457021,13.03649818,330.04,Overvalued,-16.64,-5.041813114
ADSK,180.94,26.02,16.04,1.41,121.28,188.86%,30.34%,Computer - Software,Computers and Technology,39720128000.00,,,39.720128,0,125.38,3/18/2020,211.58,30.70631148,14.48151999,171.0048,Overvalued,-9.9352,-5.809895395
RL,72.68,-0.83,-7.73,8.25,8.31,-46.74%,-15.26%,Textile - Apparel,Consumer Staples,5359568000.00,,,5.359568,2.75,59.82,4/3/2020,133.63,17.6940011,45.61101549,68.5575,Overvalued,-4.1225,-6.013200598
ROK,168.59,13.43,0.95,8.56,18.57,50.35%,1.08%,Industrial Robotics,Computers and Technology,19587458000.00,,,19.587458,4.08,115.38,3/23/2020,209.6,31.56177709,19.56583969,158.9592,Overvalued,-9.6308,-6.058661594
SEE,29.5,9.51,-1.3,2.81,9.9,-34.06%,-38.18%,Containers - Paper Products,Industrial Products,4562795000.00,,,4.562795,0.64,17.06,3/19/2020,46.88,42.16949153,37.07337884,27.819,Overvalued,-1.681,-6.042632733
UHS,107.79,27.03,3.28,9.99,10.18,-12.14%,41.08%,Medical - Hospitals,Medical,9346578000.00,,,9.346578,0.8,65.2,3/19/2020,157.79,39.5120141,31.68768617,101.6982,Overvalued,-6.0918,-5.990076521
ESS,260.84,24.77,13.88,6.67,18.42,14.90%,50.64%,REIT - Equity Trust Resident,Finance,17260302000.00,,,17.260302,8.31,175.81,3/23/2020,334.17,32.59852783,21.94392076,122.8614,Overvalued,-137.9786,-112.3042713
CCL,12.56,-0.15,0.14,4.13,2.87,-72.92%,31.11%,Leisure & Recreation Services,Consumer Discretionary,6627661000.00,,,6.627661,2,7.8,4/2/2020,56.04,37.89808917,77.58743754,11.8531,Overvalued,-0.7069,-5.963840683
BEN,16.34,-3.82,-0.47,2.68,5.75,-68.45%,-32.00%,Finance - Investment Mgmt,Finance,8119314000.00,,,8.119314,1.08,14.91,4/16/2020,35.8,8.751529988,54.3575419,15.41,Overvalued,-0.93,-6.03504218
WY,20.1,1.15,-0.91,0.38,49.92,-37.83%,-11.47%,Building Products - Wood,Construction,14984932000.00,,,14.984932,1.36,13.1,3/23/2020,31.58,34.82587065,36.3521216,18.9696,Overvalued,-1.1304,-5.959008097
TEL,67.44,4.38,-3.73,5.46,11.66,-2.03%,-3.34%,Electronics - Misc Components,Computers and Technology,22504932000.00,,,22.504932,1.84,48.62,3/19/2020,101,27.90628707,33.22772277,63.6636,Overvalued,-3.7764,-5.931804045
SRE,124.44,26.06,-6.09,6.07,19.35,13.63%,-1.87%,Utility - Gas Distribution,Utilities,36385388000.00,,,36.385388,4.18,88,3/23/2020,161.87,29.28318869,23.12349416,117.4545,Overvalued,-6.9855,-5.947409422
DD,38.36,2.35,-2.42,5.4,6.71,-47.20%,-63.02%,Chemical - Diversified,Basic Materials,28148376000.00,,,28.148376,1.2,28.33,3/23/2020,83.09,26.14702815,53.83319292,36.234,Overvalued,-2.126,-5.867417343
ALK,29.93,-2.6,-1.68,6.43,4.39,-56.18%,63.58%,Transportation - Airline,Transportation,3668969000.00,,,3.668969,0,20.02,3/18/2020,72.22,33.11059138,58.55718637,28.2277,Overvalued,-1.7023,-6.030601147
PAYX,67.5,6.71,0.96,3.01,21.19,37.11%,49.77%,Outsourcing,Business Services,24213262000.00,,,24.213262,2.48,47.87,3/18/2020,90.54,29.08148148,25.4473161,63.7819,Overvalued,-3.7181,-5.829396741
RTX,66.07,11.3,1.36,8.26,7.56,-3.59%,18.35%,Aerospace - Defense Equipment,Aerospace,57227520000.00,,,57.22752,2.94,40.72,3/18/2020,93.47,38.36839715,29.31421847,62.4456,Overvalued,-3.6244,-5.804091882
LYB,52.19,10.47,-6.74,9.58,5.16,-48.24%,-23.86%,Chemical - Diversified,Basic Materials,17411524000.00,,,17.411524,4.2,33.71,3/16/2020,98.91,35.4090822,47.23485997,49.4328,Overvalued,-2.7572,-5.577673124
MOS,11.45,1.78,-1.52,0.16,67.69,-74.55%,-1.65%,Fertilizers,Basic Materials,4336848000.00,,,4.336848,0.2,6.5,3/18/2020,27.36,43.23144105,58.1505848,10.8304,Overvalued,-0.6196,-5.720933668
IQV,131.57,23.88,3.04,5.81,21.42,90.43%,103.08%,Technology Services,Business Services,25303016000.00,,,25.303016,0,81.79,3/18/2020,169.14,37.83537281,22.21236845,124.4502,Overvalued,-7.1198,-5.721003261
SPG,56.12,-2.74,-12.05,6.81,4.41,-70.26%,18.16%,REIT - Equity Trust Retail,Finance,17983260000.00,,,17.98326,8.4,42.25,4/2/2020,180.06,24.71489665,68.83261135,30.0321,Overvalued,-26.0879,-86.86671928
AIG,24.5,2.25,-2.04,4.6,5.04,-57.01%,-22.76%,Insurance - Multi Line,Finance,21398838000.00,,,21.398838,1.28,16.07,3/18/2020,58.66,34.40816327,58.23389021,23.184,Overvalued,-1.316,-5.676328502
AME,80.31,14.41,2.08,4.19,18.14,53.47%,28.26%,Electronic Test Equipment,Computers and Technology,18406248000.00,,,18.406248,0.72,54.82,3/18/2020,102.31,31.7395094,21.50327436,76.0066,Overvalued,-4.3034,-5.661876732
NRG,31.37,7.8,0.61,3.46,8.58,22.88%,-38.11%,Utility - Electric Power,Utilities,7859503000.00,,,7.859503,1.2,19.54,3/18/2020,41.78,37.71118903,24.91622786,29.6868,Overvalued,-1.6832,-5.669860005
DOW,33.42,6.82,-3.14,2.55,0,0.00%,0.00%,Chemical - Diversified,Basic Materials,24820364000.00,,,24.820364,2.8,21.95,3/16/2020,58.61,34.32076601,42.97901382,0,Overvalued,-33.42,#DIV/0!
AVB,170.37,-11.22,3.01,5.64,17.26,-0.53%,37.96%,REIT - Equity Trust Resident,Finance,23977022000.00,,,23.977022,6.36,118.17,3/23/2020,229.4,30.63919704,25.73234525,97.3464,Overvalued,-73.0236,-75.01417618
CPRI,12.93,4.78,-0.45,4.4,2.78,-79.63%,58.21%,Retail - Apparel & Shoes,Retail-Wholesale,1931290000.00,,,1.93129,0,5.42,3/18/2020,49.42,58.08197989,73.83650344,12.232,Overvalued,-0.698,-5.706344016
TPR,15.22,2.03,-0.48,2.53,5.7,-64.31%,25.40%,Retail - Apparel & Shoes,Retail-Wholesale,4201162000.00,,,4.201162,1.35,10.18,4/2/2020,36.06,33.11432326,57.79256794,14.421,Overvalued,-0.799,-5.54053117
HOLX,43.79,12.32,2.68,2.47,16.79,28.83%,33.06%,Medical Instruments,Medical,11529995000.00,,,11.529995,0,26.49,3/18/2020,55.25,39.5067367,20.74208145,41.4713,Overvalued,-2.3187,-5.591095529
DISH,22.52,1.64,-0.55,2.6,8.21,-67.79%,-12.54%,Cable TV,Consumer Discretionary,11779019000.00,,,11.779019,0,17.09,3/18/2020,44.65,24.11190053,49.56326988,21.346,Overvalued,-1.174,-5.499859458
WFC,28.38,-1.25,-4.82,4.35,8.51,-48.12%,17.59%,Banks - Major Regional,Finance,116057112000.00,,,116.057112,2.04,25.1,3/23/2020,54.75,11.55743481,48.16438356,37.0185,Undervalued,8.6385,23.33562948
LOW,97.1,23.31,1.79,5.72,16.16,32.72%,28.32%,Building Prds Retail - Wsale,Retail-Wholesale,73305544000.00,,,73.305544,2.2,60,3/19/2020,126.73,38.20803296,23.38041506,92.4352,Overvalued,-4.6648,-5.046562349
EW,228.41,52.01,12.97,5.57,39.05,230.24%,87.18%,Medical Instruments,Medical,47765784000.00,,,47.765784,0,154.52,3/23/2020,247.64,32.34972199,7.765304474,217.5085,Overvalued,-10.9015,-5.011988037
MLM,198.87,26.21,-9.32,9.74,19.24,43.56%,60.22%,Building - CMT & CNT & AG,Construction,12369515000.00,,,12.369515,2.2,135.08,3/18/2020,281.82,32.0762307,29.43368107,187.3976,Overvalued,-11.4724,-6.121956738
WRB,56.99,3.8,-1.33,3.32,16.46,71.79%,10.85%,Insurance - Proprty & Casualty,Finance,10453220000.00,,,10.45322,0.44,43.05,3/23/2020,79.92,24.46043165,28.69119119,54.6472,Overvalued,-2.3428,-4.287136395
D,81.51,1.03,-0.08,4.23,18.46,10.84%,33.26%,Utility - Electric Power,Utilities,68305384000.00,,,68.305384,3.76,57.79,3/23/2020,90.89,29.10072384,10.32016724,78.0858,Overvalued,-3.4242,-4.385176306
GRMN,82.11,8.18,3.46,4.45,17.68,77.77%,30.89%,Electronics Products - Misc,Computers and Technology,15657309000.00,,,15.657309,2.28,61.04,3/23/2020,105.58,25.66069906,22.22958894,78.676,Overvalued,-3.434,-4.364736387
V,169.54,11.65,-4.15,5.61,28.95,151.24%,80.89%,Financial Transaction Services,Business Services,332723264000.00,,,332.723264,1.2,133.93,3/23/2020,214.17,21.00389289,20.83858617,162.4095,Overvalued,-7.1305,-4.39044514
FOX,26.23,2.44,0.59,2.31,10.88,0.00%,0.00%,Broadcast - Radio & TV,Consumer Discretionary,15917202000.00,,,15.917202,0.46,19.13,3/23/2020,38.91,27.06824247,32.58802364,25.1328,Overvalued,-1.0972,-4.36560988
CDW,108.82,21.54,2.56,6.02,17.32,179.96%,49.34%,IT Services,Computers and Technology,15480515000.00,,,15.480515,1.52,73.39,3/23/2020,146.09,32.55835324,25.51167089,104.2664,Overvalued,-4.5536,-4.367274597
IFF,125.12,15.64,-2.25,5.86,20.46,8.00%,66.42%,Consumer Prdts - Misc Staple,Consumer Staples,13363067000.00,,,13.363067,3,92.14,3/23/2020,152.95,26.35869565,18.19548872,119.8956,Overvalued,-5.2244,-4.357457655
PPL,26.39,0.84,-0.31,2.46,10.28,-23.68%,-32.44%,Utility - Electric Power,Utilities,20262612000.00,,,20.262612,1.66,18.12,3/23/2020,36.83,31.33762789,28.34645669,25.2888,Overvalued,-1.1012,-4.354496852
VNO,42.05,6.72,-1.43,1.23,11.58,-51.09%,-26.98%,REIT - Equity Trust Other,Finance,8035923000.00,,,8.035923,2.64,27.64,3/23/2020,70.45,34.26872771,40.31227821,14.2434,Overvalued,-27.8066,-195.2244548
GD,138.19,6.6,-2.82,11.98,11.06,3.05%,27.54%,Aerospace - Defense,Aerospace,40104536000.00,,,40.104536,4.4,100.55,3/23/2020,193.76,27.23786092,28.67981007,132.4988,Overvalued,-5.6912,-4.295284184
PGR,82.5,5.21,2.11,6.72,13.05,207.15%,101.24%,Insurance - Proprty & Casualty,Finance,48287168000.00,,,48.287168,0.4,62.18,3/23/2020,84.96,24.63030303,2.895480226,87.696,Undervalued,5.196,5.925013684
REG,38.66,-9.02,-5.46,1.46,9.46,-41.42%,110.66%,REIT - Equity Trust Retail,Finance,6483901000.00,,,6.483901,2.38,31.8,4/3/2020,70.26,17.7444387,44.97580416,13.8116,Overvalued,-24.8484,-179.9096412
ADM,37.19,1.93,-0.39,3.25,10.97,-22.86%,-20.38%,Agriculture Operations,Consumer Staples,20722566000.00,,,20.722566,1.44,28.92,3/23/2020,47.2,22.23716053,21.20762712,35.6525,Overvalued,-1.5375,-4.312460557
CPRT,72.1,2.57,-2.89,2.56,27.01,287.95%,75.50%,Auction Valuation Services,Business Services,16850130000.00,,,16.85013,0,55.69,3/23/2020,104.88,22.76005548,31.25476735,69.1456,Overvalued,-2.9544,-4.272723066
AVY,109.36,2.65,-5.67,6.59,15.88,110.67%,11.69%,Office Supply & Forms,Industrial Products,9109250000.00,,,9.10925,2.32,76.96,3/23/2020,141.09,29.62692026,22.4891913,104.6492,Overvalued,-4.7108,-4.50151554
CMG,820.27,295.86,49.27,14.07,55.92,28.67%,35.98%,Retail - Restaurants,Retail-Wholesale,22810070000.00,,,22.81007,0,415,3/18/2020,940.28,49.40690261,12.76321947,786.7944,Overvalued,-33.4756,-4.254682036
ACN,175.09,17.38,-2.83,7.67,21.9,87.46%,35.58%,Consulting,Business Services,111299808000.00,,,111.299808,3.2,137.15,3/23/2020,216.39,21.66885602,19.0859097,167.973,Overvalued,-7.117,-4.236990469
ILMN,316.36,90.6,28.74,6.58,46.12,66.87%,90.34%,Medical - Biomedical,Medical,46504916000.00,,,46.504916,0,196.78,3/18/2020,380.76,37.79871033,16.91354134,303.4696,Overvalued,-12.8904,-4.247674232
ETR,101.27,1.65,-1.64,5.37,18.09,27.96%,-12.94%,Utility - Electric Power,Utilities,20336636000.00,,,20.336636,3.72,75.19,3/23/2020,135.55,25.75293769,25.28956105,97.1433,Overvalued,-4.1267,-4.248054163
DTE,105.85,17.47,-5.4,6.3,16.12,27.82%,2.99%,Utility - Electric Power,Utilities,20384804000.00,,,20.384804,4.05,71.21,3/18/2020,135.67,32.72555503,21.97980394,101.556,Overvalued,-4.294,-4.228209067
NKE,89.91,20.07,3.12,2.96,29.16,78.13%,40.71%,Shoes and Related Apparel,Consumer Staples,140023312000.00,,,140.023312,0.98,60,3/18/2020,105.62,33.26659993,14.87407688,86.3136,Overvalued,-3.5964,-4.166666667
HPE,9.71,1.44,-0.82,1.8,5.18,0.00%,-47.15%,Computer - Integrated Systems,Computers and Technology,12509801000.00,,,12.509801,0.48,7.43,3/18/2020,17.59,23.48094748,44.79818078,9.324,Overvalued,-0.386,-4.13985414
APH,84.22,12.89,2.31,3.74,21.62,49.94%,53.88%,Electronics - Connectors,Computers and Technology,24916066000.00,,,24.916066,1,63.05,3/18/2020,110.24,25.13654714,23.6030479,80.8588,Overvalued,-3.3612,-4.156875937
CBOE,102,13.46,8.58,4.74,20.66,78.17%,304.40%,Securities Exchanges,Finance,11264369000.00,,,11.264369,1.44,72.01,3/19/2020,127.93,29.40196078,20.26889705,97.9284,Overvalued,-4.0716,-4.157731567
IVZ,9.07,-1.11,-0.79,2.55,3.42,-77.78%,18.85%,Finance - Investment Mgmt,Finance,4112374000.00,,,4.112374,1.24,7.38,3/23/2020,22.18,18.63285557,59.10730388,8.721,Overvalued,-0.349,-4.001834652
LW,59.92,6.79,1.52,3.25,17.71,0.00%,33.44%,Food - Misc & Diversified,Consumer Staples,8750657000.00,,,8.750657,0.92,39.06,3/18/2020,96.32,34.81308411,37.79069767,57.5575,Overvalued,-2.3625,-4.104591061
AFL,36.48,6.33,-1.6,4.44,7.89,13.66%,-1.85%,Insurance - Accident & Health,Finance,26357200000.00,,,26.3572,1.12,23.07,3/18/2020,57.18,36.75986842,36.20146905,35.0316,Overvalued,-1.4484,-4.134552804
UNP,149.89,21.26,1.16,8.39,17.16,39.42%,-9.50%,Transportation - Rail,Transportation,101708464000.00,,,101.708464,3.88,105.08,3/18/2020,188.96,29.89525652,20.67633362,143.9724,Overvalued,-5.9176,-4.110232239
GLW,20.72,-0.84,-0.46,1.75,11.34,-7.99%,18.40%,Communications Components,Computers and Technology,15801486000.00,,,15.801486,0.88,17.44,3/23/2020,35.19,15.83011583,41.11963626,19.845,Overvalued,-0.875,-4.409171076
BKNG,1470.87,102.61,50.23,103.42,13.61,19.28%,78.47%,Internet Commerce,Retail-Wholesale,60396864000.00,,,60.396864,0,1107.29,3/23/2020,2094,24.7187039,29.75787966,1407.5462,Overvalued,-63.3238,-4.498878971
ALL,104.92,16.98,4.58,10.45,9.56,47.88%,26.78%,Insurance - Proprty & Casualty,Finance,33250616000.00,,,33.250616,2.16,64.13,3/18/2020,125.92,38.8772398,16.6772554,99.902,Overvalued,-5.018,-5.022922464
TT,89.91,-3.3,-1.69,6.37,13.46,31.01%,28.76%,Technology Services,Business Services,21434634000.00,,,21.434634,2.12,32.58,3/2/2020,146.85,63.76376376,38.77425945,85.7402,Overvalued,-4.1698,-4.86329633
RJF,63.67,-12.85,-5.77,7.5,8.09,11.58%,61.58%,Finance - Investment Brokers,Finance,8868212000.00,,,8.868212,1.48,54.21,3/23/2020,102.45,14.85786084,37.85261103,60.675,Overvalued,-2.995,-4.936135146
HRB,14.36,-3.01,-0.63,2.16,6.33,-55.49%,2.33%,Consumer Services - Misc,Consumer Discretionary,2763941000.00,,,2.763941,1.04,11.29,3/23/2020,29.62,21.37883008,51.51924375,13.6728,Overvalued,-0.6872,-5.026037096
PPG,93.31,10.69,-3.86,6.21,14.32,-16.43%,-1.39%,Chemical - Diversified,Basic Materials,22012762000.00,,,22.012762,2.04,69.77,3/19/2020,134.36,25.22773551,30.55224769,88.9272,Overvalued,-4.3828,-4.928525805
LEN,42.93,7.96,-1.87,6.29,6.5,-9.03%,186.12%,Building - Residential & Comm,Construction,13559784000.00,,,13.559784,0.5,25.42,3/18/2020,71.38,40.78732821,39.85710283,40.885,Overvalued,-2.045,-5.001834414
ALXN,103.48,21.12,7.25,9.71,10.15,-42.54%,123.44%,Medical - Biomedical,Medical,22982910000.00,,,22.98291,0,72.67,3/16/2020,137.52,29.77386935,24.75276323,98.5565,Overvalued,-4.9235,-4.995611654
ALB,61.47,-5.59,-5.55,6.04,9.7,4.19%,46.77%,Chemical - Diversified,Basic Materials,6535429000.00,,,6.535429,1.54,48.89,3/23/2020,99.4,20.46526761,38.15895372,58.588,Overvalued,-2.882,-4.919096061
KSS,18.48,1.48,-1.43,4.89,3.6,-75.22%,5.00%,Retail - Regional Dept Stores,Retail-Wholesale,2868946000.00,,,2.868946,2.82,10.89,4/3/2020,75.91,41.07142857,75.65538137,17.604,Overvalued,-0.876,-4.976141786
RE,196.35,-1.68,-15.95,21.35,8.77,7.71%,42.15%,Insurance - Proprty & Casualty,Finance,9878565000.00,,,9.878565,6.2,168.16,3/23/2020,294.31,14.35701553,33.28463185,187.2395,Overvalued,-9.1105,-4.865693403
EFX,127.97,-6.03,3.75,5.61,21.75,29.93%,43.97%,Financial Transaction Services,Business Services,15608629000.00,,,15.608629,1.56,103.01,3/23/2020,164.77,19.50457138,22.33416277,122.0175,Overvalued,-5.9525,-4.87839859
SBUX,77.1,18.12,3.22,2.87,25.61,48.73%,61.17%,Retail - Restaurants,Retail-Wholesale,90492264000.00,,,90.492264,1.64,50.02,3/18/2020,99.72,35.1232166,22.68351384,73.5007,Overvalued,-3.5993,-4.896960165
FDX,124.85,29.89,2.56,11.98,9.94,-26.54%,52.95%,Transportation - Air Freight,Transportation,32617062000.00,,,32.617062,2.6,88.69,3/17/2020,199.32,28.96275531,37.36203091,119.0812,Overvalued,-5.7688,-4.844425484
NSC,160.67,21.08,1.37,10.34,14.82,52.60%,-2.82%,Transportation - Rail,Transportation,44573872000.00,,,44.573872,3.76,112.62,3/23/2020,219.88,29.90601855,26.92832454,153.2388,Overvalued,-7.4312,-4.849424558
VFC,57.5,-3.18,-1.71,3.39,16.18,-21.98%,12.75%,Textile - Apparel,Consumer Staples,22696400000.00,,,22.6964,1.92,45.07,3/23/2020,100.25,21.6173913,42.64339152,54.8502,Overvalued,-2.6498,-4.830976004
MAR,84.26,9.02,2.95,6.01,13.38,2.96%,52.02%,Hotels & Motels,Consumer Discretionary,27318356000.00,,,27.318356,1.92,46.56,3/18/2020,153.39,44.7424638,45.068127,80.4138,Overvalued,-3.8462,-4.783009881
AAL,11.57,-4.01,-0.94,4.91,2.25,-78.05%,7.31%,Transportation - Airline,Transportation,4929503000.00,,,4.929503,0.4,9.09,4/3/2020,34.99,21.43474503,66.93340955,11.0475,Overvalued,-0.5225,-4.729576827
MAA,113.5,0.33,-3.15,2.87,17.03,47.92%,65.88%,REIT - Equity Trust Resident,Finance,12970779000.00,,,12.970779,4,82,3/23/2020,148.88,27.75330396,23.76410532,48.8761,Overvalued,-64.6239,-132.2198375
HD,209.42,35.78,7.89,10.25,19.5,84.19%,32.52%,Building Prds Retail - Wsale,Retail-Wholesale,224941360000.00,,,224.94136,6,140.63,3/18/2020,247.36,32.84786553,15.33796895,199.875,Overvalued,-9.545,-4.775484678
PEG,54.62,11.54,1.67,3.28,15.91,29.16%,-7.44%,Utility - Electric Power,Utilities,27590036000.00,,,27.590036,1.96,34.75,3/23/2020,63.88,36.37861589,14.49592987,52.1848,Overvalued,-2.4352,-4.666492925
