Symbol,Last,1M Chg,5D Chg,Earnings ttm,P/E ttm,5Y Return,5Y Rev%,Industry,Sector,Market Cap,Billions,Dividend(a),52W Low,52W Low Date,52W High,Low,High,Fair Value,Verdict,Delta,Potential Profit
HBAN,6.83,-5.75,-1.47,1.27,5.8,-38.19%,91.33%,Banks - Midwest,Finance,6961095000.00,6.96,0.6,6.82,4/3/2020,15.63,0.146412884,56.30198337,7.366,Undervalued,0.54,7.28
DVA,65.52,-12.04,-7.57,5.52,12.74,-20.00%,-10.99%,Medical - Outpatient & Hm Care,Medical,8229311000.00,8.23,0,43.4,5/31/2019,90.15,33.76068376,27.32113145,70.3248,Undervalued,4.80,6.83
AAL,9.39,-8.46,-4.65,4.91,2.05,-80.33%,7.31%,Transportation - Airline,Transportation,4000694000.00,4.00,0.4,9.09,4/3/2020,35.24,3.194888179,73.35414302,10.0655,Undervalued,0.68,6.71
PBCT,9.51,-4.99,-2.07,1.38,7.38,-36.89%,67.38%,Finance - Savings & Loan,Finance,4124858000.00,4.12,0.71,9.37,4/3/2020,17.66,1.472134595,46.14949037,10.1844,Undervalued,0.67,6.62
AKAM,95.36,5.08,4.75,3.55,26.23,33.46%,47.34%,Internet - Services,Computers and Technology,15437068000.00,15.44,0,72.33,4/4/2019,103.34,24.15058725,7.722082446,93.1165,Overvalued,-2.24,-2.41
HOG,15.04,-14.21,-2.76,3.34,4.82,-75.94%,-13.92%,Auto - Domestic,Auto-Tires-Trucks,2298232000.00,2.30,1.52,14.31,3/23/2020,41.4,4.853723404,63.67149758,16.0988,Undervalued,1.06,6.58
ALGN,154.2,-70.36,-22.84,4.96,30.66,184.03%,216.00%,Medical - Dental Suppliers,Medical,12143711000.00,12.14,0,127.88,3/19/2020,334.64,17.06874189,53.92063113,152.0736,Overvalued,-2.13,-1.40
HPQ,14.48,-6.27,-2.38,2.36,6.56,-0.79%,-47.28%,Computer - Mini,Computers and Technology,20702982000.00,20.70,0.7,12.54,3/19/2020,23.93,13.39779006,39.49017969,15.4816,Undervalued,1.00,6.47
ALL,85.96,-23.24,-2.5,10.45,8.21,19.34%,26.78%,Insurance - Proprty & Casualty,Finance,27241928000.00,27.24,2.16,64.13,3/18/2020,125.92,25.39553281,31.73443456,85.7945,Overvalued,-0.17,-0.19
TJX,40.96,-19.65,-5.84,2.68,16.34,19.54%,43.46%,Retail - Discount,Retail-Wholesale,49057708000.00,49.06,0.92,32.72,3/23/2020,64.95,20.1171875,36.9361047,43.7912,Undervalued,2.83,6.47
DXC,11.67,-10.55,-2.57,6.56,1.9,0.00%,59.66%,IT Services,Computers and Technology,2960924000.00,2.96,0.84,7.9,3/18/2020,67.09,32.3050557,82.60545536,12.464,Undervalued,0.79,6.37
ADS,26.49,-53.19,-9.98,16.33,1.73,-91.19%,5.25%,Financial Transaction Services,Business Services,1261666000.00,1.26,2.52,20.51,3/19/2020,182.95,22.57455644,85.52063405,28.2509,Undervalued,1.76,6.23
AMCR,7.84,-1.75,0.04,0.42,0,0.00%,117.76%,Containers - Paper Products,Industrial Products,12575729000.00,12.58,0.46,5.8,3/16/2020,11.77,26.02040816,33.38997451,0,Overvalued,-7.84,#DIV/0!
LKQ,17.35,-11.38,-4.01,2.36,7.84,-32.86%,85.55%,Auto - Truck Replacement Parts,Auto-Tires-Trucks,5329018000.00,5.33,0,13.31,3/23/2020,36.63,23.28530259,52.63445263,18.5024,Undervalued,1.15,6.23
AME,71.29,-16.03,0.28,4.19,16.97,33.20%,28.26%,Electronic Test Equipment,Computers and Technology,16338955000.00,16.34,0.72,54.82,3/18/2020,102.31,23.10281947,30.31961685,71.1043,Overvalued,-0.19,-0.26
AMGN,205.41,0.99,7.14,14.83,14.09,25.73%,16.44%,Medical - Biomedical,Medical,121152256000.00,121.15,6.4,166.3,5/15/2019,244.99,19.03996884,16.15576146,208.9547,Undervalued,3.54,1.70
MAR,59.08,-55.2,-19.77,6.01,10.48,-26.44%,52.02%,Hotels & Motels,Consumer Discretionary,19154622000.00,19.15,1.92,46.56,3/18/2020,153.39,21.1916046,61.48379947,62.9848,Undervalued,3.90,6.20
AMT,222.8,-19.85,4.32,4.23,28.3,134.35%,84.88%,REIT - Equity Trust Other,Finance,98680576000.00,98.68,4.04,174.32,3/23/2020,258.62,21.75942549,13.85043693,119.709,Overvalued,-103.09,-86.12
AMZN,1906.59,-2.4,6.49,23.01,83.39,398.26%,215.24%,Internet Commerce,Retail-Wholesale,949207232000.00,949.21,0,1626.03,3/16/2020,2185.95,14.71527701,12.77979826,1918.8039,Undervalued,12.21,0.64
ANET,194.64,2.89,3.35,8.74,22.21,198.30%,312.72%,Communications Components,Computers and Technology,14885870000.00,14.89,0,156.63,3/23/2020,331.27,19.52836005,41.24430223,194.1154,Overvalued,-0.52,-0.27
ANSS,218.3,-30.77,-4.72,5.44,39.74,146.50%,61.95%,Computer - Software,Computers and Technology,18755026000.00,18.76,0,174.25,6/3/2019,299.06,20.17865323,27.00461446,216.1856,Overvalued,-2.11,-0.98
ANTM,203.3,-53.08,-19.66,19.42,10.89,32.08%,41.07%,Medical - HMO,Medical,51259452000.00,51.26,3.8,171.03,3/23/2020,312.48,15.87309395,34.93983615,211.4838,Undervalued,8.18,3.87
AON,154.14,-60.66,-11.28,9.16,17.17,56.89%,-8.57%,Insurance - Brokers,Finance,35696048000.00,35.70,1.76,143.93,3/23/2020,238.19,6.623848449,35.28695579,157.2772,Undervalued,3.14,1.99
AES,12.24,-5.19,-1.21,1.37,9.52,-7.27%,-40.58%,Utility - Electric Power,Utilities,8127813000.00,8.13,0.57,8.11,3/18/2020,21.23,33.74183007,42.34573716,13.0424,Undervalued,0.80,6.15
APA,5.38,-19.61,0.52,0,0,-92.07%,-53.71%,Oil - US Exploration & Product,Oils-Energy,2029960000.00,2.03,1,3.8,3/18/2020,38.12,29.36802974,85.88667366,0,Overvalued,-5.38,#DIV/0!
APD,186.6,-40.76,-6.57,8.5,22.88,22.83%,-14.56%,Chemical - Diversified,Basic Materials,41178516000.00,41.18,5.36,167.43,3/16/2020,257.01,10.2733119,27.39582117,194.48,Undervalued,7.88,4.05
LEG,22.72,-16.42,-5.23,2.57,9.42,-49.81%,25.65%,Furniture,Consumer Discretionary,3002153000.00,3.00,1.6,22.03,3/23/2020,55.42,3.036971831,59.00396969,24.2094,Undervalued,1.49,6.15
PNC,85.19,-40.3,-14.94,11.4,7.96,-8.87%,32.82%,Banks - Major Regional,Finance,36523252000.00,36.52,4.6,79.41,3/23/2020,161.79,6.784833901,47.34532419,90.744,Undervalued,5.55,6.12
ARE,129.99,-27.76,-13.48,3.09,18.88,36.82%,110.67%,REIT - Equity Trust Other,Finance,15949772000.00,15.95,4.12,109.22,3/23/2020,175.74,15.97815217,26.03277569,58.3392,Overvalued,-71.65,-122.82
FITB,13.44,-11,-3.71,2.77,5.16,-29.45%,50.55%,Banks - Major Regional,Finance,9557627000.00,9.56,1.08,11.1,3/19/2020,31.64,17.41071429,57.52212389,14.2932,Undervalued,0.85,5.97
ROST,74.75,-34.47,-7.8,4.58,17.34,44.50%,45.26%,Retail - Discount,Retail-Wholesale,26826428000.00,26.83,1.14,56.3,3/18/2020,124.16,24.68227425,39.79542526,79.4172,Undervalued,4.67,5.88
AVB,132.22,-76.51,-28.05,5.64,14.49,-21.44%,37.96%,REIT - Equity Trust Resident,Finance,18607982000.00,18.61,6.36,118.17,3/23/2020,229.4,10.62622901,42.36268527,81.7236,Overvalued,-50.50,-61.79
AVGO,234.26,-39.99,3.57,16.85,14.07,84.72%,429.33%,Electronics - Semiconductors,Computers and Technology,93655032000.00,93.66,13,155.67,3/18/2020,331.58,33.54819431,29.35038301,237.0795,Undervalued,2.82,1.19
LVS,37.92,-17.98,-4.18,3.26,12.35,-36.04%,-5.79%,Gaming,Consumer Discretionary,28958934000.00,28.96,3.16,33.3,3/18/2020,74.29,12.1835443,48.95679095,40.261,Undervalued,2.34,5.81
AWK,113.32,-18.1,-7.45,3.61,32.59,109.15%,19.88%,Utility - Water Supply,Utilities,20508088000.00,20.51,2,92,3/23/2020,141.7,18.81397812,20.02822865,117.6499,Undervalued,4.33,3.68
NRG,26.21,-7.09,-3.34,3.46,8.03,6.67%,-38.11%,Utility - Electric Power,Utilities,6566706000.00,6.57,1.2,19.54,3/18/2020,42.8,25.44830217,38.76168224,27.7838,Undervalued,1.57,5.66
AZO,790.56,-234.15,-61.07,65.27,12.17,12.66%,25.21%,Retail - Wholesale Auto Parts,Retail-Wholesale,18461148000.00,18.46,0,684.91,3/23/2020,1274.41,13.36394455,37.96658846,794.3359,Undervalued,3.78,0.48
BA,124.52,-156.1,-37.48,5.2,23.71,-19.34%,-15.65%,Aerospace - Defense,Aerospace,70123680000.00,70.12,0,89,3/18/2020,398.66,28.52553807,68.76536397,123.292,Overvalued,-1.23,-1.00
AEP,72.5,-22.95,-10.9,4.25,18.07,28.57%,-8.57%,Utility - Electric Power,Utilities,35875392000.00,35.88,2.8,65.14,3/23/2020,104.97,10.15172414,30.93264742,76.7975,Undervalued,4.30,5.60
BAX,81.42,-4.49,1.63,2.62,0,112.29%,-31.85%,Medical Products,Medical,41301436000.00,41.30,0.88,69.1,3/16/2020,95,15.13141734,14.29473684,0,Overvalued,-81.42,#DIV/0!
BBY,53.48,-23.07,-8.99,6.13,8.61,38.62%,8.18%,Retail - Consumer Electronics,Retail-Wholesale,13839394000.00,13.84,2.2,48.1,3/19/2020,91.99,10.05983545,41.86324601,52.7793,Overvalued,-0.70,-1.33
BDX,226.73,-12.77,10.15,11.63,20.06,58.32%,104.71%,Medical - Dental Suppliers,Medical,61483056000.00,61.48,3.16,197.75,3/23/2020,286.72,12.78172275,20.92285156,233.2978,Undervalued,6.57,2.82
EXC,32.75,-11.44,-2.75,3.22,10.77,-1.89%,25.55%,Utility - Electric Power,Utilities,31896208000.00,31.90,1.53,29.28,3/23/2020,51.18,10.59541985,36.01016022,34.6794,Undervalued,1.93,5.56
BF.B,55.44,-8.37,0.94,1.79,30.53,48.08%,11.13%,Beverages - Alcohol,Consumer Staples,26508026000.00,26.51,0.7,44.68,3/23/2020,72.85,19.40836941,23.89842141,54.6487,Overvalued,-0.79,-1.45
BIIB,300.51,-15.27,3.76,33.64,9.05,-23.35%,48.18%,Medical - Biomedical,Medical,52307972000.00,52.31,0,215.77,9/4/2019,374.99,28.19872883,19.86186298,304.442,Undervalued,3.93,1.29
BK,33.75,-5.08,1.21,4.03,8.35,-17.40%,29.76%,Banks - Major Regional,Finance,29870472000.00,29.87,1.24,26.4,3/18/2020,53.6,21.77777778,37.03358209,33.6505,Overvalued,-0.10,-0.30
BKNG,1230.68,-452.34,-24.47,103.42,12.18,3.46%,78.47%,Internet Commerce,Retail-Wholesale,50534184000.00,50.53,0,1107.29,3/23/2020,2094,10.0261644,41.22827125,1259.6556,Undervalued,28.98,2.30
BKR,10.4,-6.13,-1.48,0.83,12.48,-77.53%,-2.90%,Oil - Field Services,Oils-Energy,10721734000.00,10.72,0.72,9.12,3/23/2020,27.27,12.30769231,61.86285295,10.3584,Overvalued,-0.04,-0.40
BLK,418.07,-64,-16.27,28.51,14.96,13.16%,31.21%,Finance - Investment Mgmt,Finance,64728524000.00,64.73,14.52,323.98,3/18/2020,576.81,22.50580046,27.52032732,426.5096,Undervalued,8.44,1.98
IPG,13.58,-7.63,-1.63,1.94,7.41,-37.73%,35.61%,Advertising Marketing Services,Business Services,5266650000.00,5.27,1.02,11.63,3/23/2020,25.2,14.35935199,46.11111111,14.3754,Undervalued,0.80,5.53
BMY,55.53,-3.67,2.74,4.67,11.82,-14.09%,64.65%,Large Cap Pharma,Medical,125359528000.00,125.36,1.8,42.48,7/23/2019,68.34,23.50081037,18.74451273,55.1994,Overvalued,-0.33,-0.60
BR,92.39,-10.13,0.82,4.52,20.38,70.62%,70.53%,Outsourcing,Business Services,10606649000.00,10.61,2.16,81.9,3/23/2020,136.99,11.35404265,32.55712096,92.1176,Overvalued,-0.27,-0.30
BRK.B,178.34,-30.47,-1.32,9.78,18.38,24.28%,30.79%,Insurance - Proprty & Casualty,Finance,434435136000.00,434.44,0,159.5,3/23/2020,231.61,10.56409106,22.99987047,179.7564,Undervalued,1.42,0.79
BSX,31.17,-6.06,0.56,1.59,19.53,72.21%,45.46%,Medical Products,Medical,43519396000.00,43.52,0,24.1,3/23/2020,46.62,22.68206609,33.14028314,31.0527,Overvalued,-0.12,-0.38
NTAP,37.34,-8.57,-2.89,3.58,11.04,5.27%,-2.83%,Computer - Storage Devices,Computers and Technology,8258750000.00,8.26,1.92,34.66,3/23/2020,78.35,7.17728977,52.34205488,39.5232,Undervalued,2.18,5.52
BXP,83.04,-49.86,-10.78,3.3,11.8,-39.64%,23.51%,REIT - Equity Trust Other,Finance,12881331000.00,12.88,3.92,77.21,3/23/2020,147.83,7.020712909,43.82736928,38.94,Overvalued,-44.10,-113.25
TSCO,79.5,-13.64,-3.6,4.68,17.98,-8.91%,46.22%,Retail - Misc & Diversified,Retail-Wholesale,9223988000.00,9.22,1.4,63.89,3/17/2020,114.25,19.63522013,30.41575492,84.1464,Undervalued,4.65,5.52
CAG,31.21,3.54,3.29,1.93,15.84,5.96%,-46.12%,Food - Misc & Diversified,Consumer Staples,15188471000.00,15.19,0.85,22.83,3/13/2020,35.59,26.85036847,12.30682776,30.5712,Overvalued,-0.64,-2.09
CAH,46.61,-6.35,2.23,5.49,8.46,-48.51%,59.78%,Medical - Dental Suppliers,Medical,13600052000.00,13.60,1.92,39.05,3/23/2020,60.69,16.21969534,23.19986818,46.4454,Overvalued,-0.16,-0.35
CAT,114.67,-9.71,9.23,11.06,10.56,38.83%,-2.51%,Machinery - Construct & Mining,Industrial Products,63078016000.00,63.08,4.12,87.5,3/12/2020,150.55,23.69407866,23.83261375,116.7936,Undervalued,2.12,1.82
CB,102.82,-43.36,-5.59,10.12,10.47,-8.11%,78.32%,Insurance - Proprty & Casualty,Finance,46598228000.00,46.60,3,87.35,3/18/2020,167.74,15.04571095,38.70275426,105.9564,Undervalued,3.14,2.96
HP,15.46,-20.03,-1.38,1.58,10.35,-78.85%,-24.77%,Oil & Gas - Drilling,Oils-Energy,1683254000.00,1.68,2.84,12.4,3/20/2020,64.8,19.79301423,76.14197531,16.353,Undervalued,0.89,5.46
ETR,83.38,-38.51,-13.96,5.37,16.42,6.77%,-12.94%,Utility - Electric Power,Utilities,16744037000.00,16.74,3.72,75.19,3/23/2020,135.55,9.8224994,38.48764294,88.1754,Undervalued,4.80,5.44
CCI,145.62,-12.51,8.73,1.97,24.97,71.94%,56.18%,REIT - Equity Trust Other,Finance,60686552000.00,60.69,4.8,114.18,3/24/2020,168.75,21.59044087,13.70666667,49.1909,Overvalued,-96.43,-196.03
CCL,8.49,-23.34,-5.92,4.4,1.81,-82.43%,31.11%,Leisure & Recreation Services,Consumer Discretionary,4479825000.00,4.48,2,7.8,4/2/2020,56.04,8.127208481,84.85010707,7.964,Overvalued,-0.53,-6.60
MPC,20.06,-25.11,-3.09,4.83,4.39,-60.05%,26.72%,Oil - Refining and Marketing,Oils-Energy,13029050000.00,13.03,2.32,15.26,3/19/2020,69.65,23.92821535,71.1988514,21.2037,Undervalued,1.14,5.39
XRAY,35.45,-11.76,-2.48,2.45,15.29,-31.43%,37.86%,Medical - Dental Suppliers,Medical,7850013000.00,7.85,0.4,31.58,3/23/2020,60.87,10.9167842,41.76113028,37.4605,Undervalued,2.01,5.37
DGX,73.34,-35.31,-9.74,6.56,11.81,-3.80%,3.91%,Medical - Outpatient & Hm Care,Medical,9787589000.00,9.79,2.12,73.02,4/3/2020,118.58,0.436323971,38.15145893,77.4736,Undervalued,4.13,5.34
CERN,62.27,-8.83,2.26,2.41,25.71,-16.97%,67.30%,Medical Information Systems,Medical,18945398000.00,18.95,0.72,53.08,3/23/2020,80.9,14.75831058,23.02843016,61.9611,Overvalued,-0.31,-0.50
CF,25.77,-12.37,0.22,2.09,12.3,-54.71%,-3.23%,Fertilizers,Basic Materials,5570727000.00,5.57,1.2,19.73,3/18/2020,55.15,23.43810633,53.27289211,25.707,Overvalued,-0.06,-0.25
ES,75.06,-17.34,-5.9,3.45,22.98,48.63%,10.13%,Utility - Electric Power,Utilities,24794720000.00,24.79,2.27,60.69,3/23/2020,99.42,19.14468425,24.50211225,79.281,Undervalued,4.22,5.32
CHD,67.65,-5.41,5.68,2.48,26.72,57.51%,32.15%,Soap and Cleaning Products,Consumer Staples,16626747000.00,16.63,0.96,47.98,3/16/2020,80.99,29.07612712,16.47116928,66.2656,Overvalued,-1.38,-2.09
PPL,21.77,-9.27,-3.65,2.46,9.34,-36.06%,-32.44%,Utility - Electric Power,Utilities,16715312000.00,16.72,1.66,18.12,3/23/2020,36.83,16.76619201,40.89057833,22.9764,Undervalued,1.21,5.25
CHTR,433.8,-61.23,-5.9,7.61,57.25,126.16%,402.46%,Cable TV,Consumer Discretionary,91087152000.00,91.09,0,343.95,4/4/2019,546.54,20.71230982,20.62795038,435.6725,Undervalued,1.87,0.43
CI,163.84,-25.41,2.55,17.05,9.9,22.90%,339.84%,Insurance - Multi Line,Finance,60935208000.00,60.94,0.04,118.5,3/18/2020,224.64,27.67333984,27.06552707,168.795,Undervalued,4.96,2.94
URI,91.07,-37.57,0.92,19.61,4.9,-5.10%,64.49%,Building & Construction - Misc,Construction,6746284000.00,6.75,0,58.85,3/18/2020,170.04,35.3793785,46.44201364,96.089,Undervalued,5.02,5.22
SNA,95.52,-48.62,-12.33,12.27,8.21,-35.62%,13.80%,Tools - Hand Held,Consumer Discretionary,5223702000.00,5.22,4.32,90.72,3/23/2020,174,5.025125628,45.10344828,100.7367,Undervalued,5.22,5.18
CLX,177.54,9.67,4.35,6.37,28.21,60.42%,11.14%,Soap and Cleaning Products,Consumer Staples,22210252000.00,22.21,4.24,144.12,10/2/2019,214.26,18.823927,17.13805657,179.6977,Undervalued,2.16,1.20
FE,37.95,-7.97,-0.65,2.59,15.44,4.69%,-26.67%,Utility - Electric Power,Utilities,20520096000.00,20.52,1.56,32,3/23/2020,52.51,15.67852437,27.7280518,39.9896,Undervalued,2.04,5.10
GPC,58.26,-28.1,-6.2,5.7,10.77,-37.54%,26.40%,Auto - Truck Replacement Parts,Auto-Tires-Trucks,8469955000.00,8.47,3.16,49.68,3/23/2020,115.2,14.72708548,49.42708333,61.389,Undervalued,3.13,5.10
CME,173.74,-42.33,2.4,6.8,24.79,88.30%,56.40%,Securities Exchanges,Finance,62269288000.00,62.27,3.4,131.8,3/19/2020,225.36,24.13951882,22.9055733,168.572,Overvalued,-5.17,-3.07
CMG,611.01,-125.06,-24.02,14.07,44.79,-10.54%,35.98%,Retail - Restaurants,Retail-Wholesale,16966520000.00,16.97,0,415,3/18/2020,940.28,32.07967136,35.01829242,630.1953,Undervalued,19.19,3.04
CMI,132.27,-19.88,0.61,14.86,8.93,-3.13%,22.63%,Engines - Internal Combustion,Auto-Tires-Trucks,20264294000.00,20.26,5.24,101.03,3/23/2020,186.73,23.61835639,29.1651047,132.6998,Undervalued,0.43,0.32
APTV,43.29,-37.28,-7.99,4.8,9.5,-39.19%,-15.66%,Technology Services,Business Services,11048430000.00,11.05,0.88,29.22,3/18/2020,99.04,32.5017325,56.29038772,45.6,Undervalued,2.31,5.07
WMB,13.65,-5.33,-0.26,0.98,14.67,-73.17%,7.39%,Oil - Production & Pipeline,Oils-Energy,16559142000.00,16.56,1.6,8.41,3/19/2020,29.28,38.38827839,53.38114754,14.3766,Undervalued,0.73,5.05
PNW,68.19,-26.3,-9.44,4.78,15.01,6.91%,-0.58%,Utility - Electric Power,Utilities,7667216000.00,7.67,3.13,60.05,3/18/2020,105.51,11.9372342,35.37105488,71.7478,Undervalued,3.56,4.96
HAS,66.94,-8.5,1.3,4.07,17.3,4.25%,10.36%,Toys & Game & Hobby,Consumer Discretionary,9162546000.00,9.16,2.72,41.33,3/18/2020,126.87,38.25814162,47.23732955,70.411,Undervalued,3.47,4.93
COG,17.35,2.56,1.11,1.62,10.31,-44.03%,-4.91%,Oil - US Exploration & Product,Oils-Energy,6915294000.00,6.92,0.4,13.06,2/28/2020,27.65,24.72622478,37.25135624,16.7022,Overvalued,-0.65,-3.88
COO,279.68,-50.3,6.45,12.16,23.34,49.36%,54.47%,Medical - Dental Suppliers,Medical,14915335000.00,14.92,0.06,236.68,3/18/2020,365.68,15.37471396,23.5178298,283.8144,Undervalued,4.13,1.46
IVZ,7.81,-6.48,-1.56,2.55,3.22,-80.47%,18.85%,Finance - Investment Mgmt,Finance,3541085000.00,3.54,1.24,7.38,3/23/2020,22.18,5.505761844,64.78809739,8.211,Undervalued,0.40,4.88
COST,288.65,-14.08,4.32,8.41,34.66,92.91%,35.57%,Retail - Discount,Retail-Wholesale,127462064000.00,127.46,2.6,233.05,5/31/2019,325.26,19.26208211,11.2556109,291.4906,Undervalued,2.84,0.97
COTY,4.6,-4.26,-1.71,0.63,7.08,-80.28%,90.01%,Cosmetics & Toiletries,Consumer Staples,3498530000.00,3.50,0.5,3.02,3/18/2020,14.14,34.34782609,67.46817539,4.4604,Overvalued,-0.14,-3.13
CPB,49.53,1.65,5.34,2.48,19.13,8.10%,-1.95%,Food - Misc & Diversified,Consumer Staples,14945429000.00,14.95,1.4,35.27,5/31/2019,57.54,28.79063194,13.92075078,47.4424,Overvalued,-2.09,-4.40
CPRI,8.53,-15.87,-3.14,4.4,1.85,-86.80%,58.21%,Retail - Apparel & Shoes,Retail-Wholesale,1274084000.00,1.27,0,5.42,3/18/2020,50,36.45955451,82.94,8.14,Overvalued,-0.39,-4.79
HRB,11.94,-8.88,-3.14,2.16,5.81,-62.44%,2.33%,Consumer Services - Misc,Consumer Discretionary,2298152000.00,2.30,1.04,11.29,3/23/2020,29.62,5.443886097,59.68939905,12.5496,Undervalued,0.61,4.86
CRM,134.31,-35.06,-11.69,1.07,125.53,98.57%,218.19%,Computer - Software,Computers and Technology,120207448000.00,120.21,0,115.29,3/18/2020,195.72,14.16126871,31.37645616,134.3171,Undervalued,0.01,0.01
OMC,49.59,-19.6,-2.39,6.06,8.6,-36.92%,-2.38%,Advertising Marketing Services,Business Services,10754484000.00,10.75,2.6,46.37,3/23/2020,85.05,6.493244606,41.69312169,52.116,Undervalued,2.53,4.85
CNP,13.44,-9.66,-2.86,1.79,7.89,-35.26%,33.33%,Utility - Electric Power,Utilities,6755146000.00,6.76,1.16,11.58,3/19/2020,31.17,13.83928571,56.88161694,14.1231,Undervalued,0.68,4.84
CTAS,164.23,-108.14,-17.34,8.82,18.73,99.50%,51.42%,Uniform & Related,Industrial Products,17039024000.00,17.04,2.55,154.33,3/23/2020,304.81,6.028131279,46.1205341,165.1986,Undervalued,0.97,0.59
CTL,9.11,-3.34,0.05,1.32,6.67,-74.57%,24.24%,Wireless National,Utilities,9925709000.00,9.93,1,8.16,3/23/2020,15.3,10.42810099,40.45751634,8.8044,Overvalued,-0.31,-3.47
