Symbol,Last,"1M Chg","5D Chg","Earnings ttm","P/E ttm","5Y Return","5Y Rev%",Industry,Sector,"Market Cap",Dividend(a),"52W Low","52W Low Date","52W High"
DFS,37.22,-25.36,5.69,9.08,3.68,-40.76%,45.55%,"Finance - Consumer Loans",Finance,10791830000,1.76,23.25,03/19/20,92.98
XOM,43.85,-3.84,6.32,2.37,17.08,-52.56%,-35.69%,"Oil - International Integrated",Oils-Energy,174535568000,3.48,30.11,03/23/20,83.49
UPS,98.79,4.79,8.4,7.53,12.71,-2.59%,27.24%,"Transportation - Air Freight",Transportation,79762032000,4.04,82,03/12/20,125.31
EW,207.05,1.2,34.42,5.57,35.08,178.30%,87.18%,"Medical Instruments",Medical,40722520000,0,154.52,03/23/20,247.64
QRVO,87.02,-7.34,12.44,5.39,15.33,16.81%,169.14%,"Semi Radio Frequency","Computers and Technology",9468816000,0,58.52,05/23/19,122.37
AEE,76.01,-9.34,8.28,3.35,22.18,73.91%,-2.36%,"Utility - Electric Power",Utilities,17649096000,1.98,58.74,03/23/20,87.65
CVX,85.98,-9.34,17.42,6.74,11.93,-25.84%,-30.88%,"Oil - International Integrated",Oils-Energy,152074976000,5.16,51.6,03/19/20,127
HSIC,52.37,-5.32,3.8,3.51,13.43,-9.08%,-3.72%,"Medical - Dental Suppliers",Medical,7069177000,0,41.85,03/23/20,73.99
TEL,69.06,-9.63,9.94,5.46,12.02,-6.79%,-3.34%,"Electronics - Misc Components","Computers and Technology",21704044000,1.84,48.62,03/19/20,101
FCX,8.03,-1.4,1.72,0.02,359.5,-63.28%,-32.82%,"Mining - Non Ferrous","Basic Materials",11012878000,0.2,4.82,03/19/20,14.68
MLM,196.77,-41.98,10.65,9.74,18.17,32.22%,60.22%,"Building - CMT & CNT & AG",Construction,11532939000,2.2,135.08,03/18/20,281.82
CCL,11.99,-15.16,3.19,4.4,2.47,-75.96%,31.11%,"Leisure & Recreation Services","Consumer Discretionary",5962784000,2,7.8,04/02/20,56.04
WRK,30.69,0.61,3.98,3.73,7.77,0.00%,224.79%,"Paper & Related Products","Basic Materials",7479717000,1.86,21.5,03/16/20,44.39
AIV,36.54,-13.27,4.22,3.19,14.21,-8.01%,-7.12%,"REIT - Equity Trust Resident",Finance,5132128000,1.64,24.53,03/24/20,55.68
XEL,62.8,-7.35,4.72,2.64,23.16,72.33%,-1.34%,"Utility - Electric Power",Utilities,31076146000,1.72,46.58,03/23/20,72.14
DRE,33.42,-0.53,3.24,1.17,22.36,53.91%,-16.39%,"REIT - Equity Trust Other",Finance,11610171000,0.94,25.19,03/23/20,38.88
SNA,116.42,-25.35,12.16,12.27,8.64,-24.86%,13.80%,"Tools - Hand Held","Consumer Discretionary",6006274000,4.32,90.72,03/23/20,174
AWK,125.35,-15.65,12.55,3.61,33.66,120.65%,19.88%,"Utility - Water Supply",Utilities,21409236000,2,92,03/23/20,141.7
MET,33.47,-5.71,5.57,6.11,5.01,-29.96%,-5.04%,"Insurance - Multi Line",Finance,28921848000,1.76,22.85,03/23/20,53.28
BAC,23.45,-2.26,3.68,2.93,7.3,42.29%,19.34%,"Banks - Major Regional",Finance,193166432000,0.72,17.95,03/23/20,35.72
HPE,10.23,-1.76,0.65,1.8,5.46,0.00%,-47.15%,"Computer - Integrated Systems","Computers and Technology",12445384000,0.48,7.43,03/18/20,17.59
GPN,149.29,-30.27,16.18,5.81,24.74,182.85%,77.09%,"Financial Transaction Services","Business Services",42339056000,0.78,105.54,03/23/20,209.62
AVY,110.21,-10.61,14.28,6.59,15.24,103.96%,11.69%,"Office Supply & Forms","Industrial Products",8676111000,2.32,76.96,03/23/20,141.09
BDX,250,10.88,24.6,11.63,20.44,67.84%,104.71%,"Medical - Dental Suppliers",Medical,64417148000,3.16,197.75,03/23/20,286.72
FITB,16.69,-5.51,3.24,2.77,5.58,-16.13%,50.55%,"Banks - Major Regional",Finance,11278569000,1.08,11.1,03/19/20,31.64
HLT,70.09,-20.36,7.05,3.91,16.32,8.38%,-10.00%,"Hotels & Motels","Consumer Discretionary",18264402000,0,44.3,03/18/20,115.48
CAT,127.4,5.99,16.05,11.06,10.89,46.40%,-2.51%,"Machinery - Construct & Mining","Industrial Products",67066120000,4.12,87.5,03/12/20,150.55
PYPL,105.06,-5.83,13.68,2.35,43.26,0.00%,121.46%,"Internet - Software","Computers and Technology",117624032000,0,82.07,03/23/20,124.45
FLT,220.31,-28.85,47.09,11.24,18.34,34.66%,120.85%,"Financial Transaction Services","Business Services",17970844000,0,168.51,03/23/20,329.85
L,37.97,-6.21,5.34,3.56,10.03,-13.31%,4.23%,"Insurance - Multi Line",Finance,10269379000,0.25,28.52,03/23/20,56.88
VMC,112.97,-14.47,5.85,4.7,21.95,31.72%,64.62%,"Building - CMT & CNT & AG",Construction,14305335000,1.36,65.56,03/18/20,152.49
LUV,34.3,-11.43,2.26,4.28,7.17,-21.58%,20.55%,"Transportation - Airline",Transportation,16951790000,0.72,29.15,03/18/20,58.83
AMCR,8.51,-0.81,0.65,0.42,0,0.00%,117.76%,"Containers - Paper Products","Industrial Products",13040902000,0.46,5.8,03/16/20,11.77
NUE,39.05,-0.56,3.15,4.23,8.87,-19.59%,7.03%,"Steel - Producers","Basic Materials",11233320000,1.61,27.52,03/18/20,60.08
ACN,171.73,-7.02,17.05,7.67,21.65,77.64%,35.58%,Consulting,"Business Services",104326488000,3.2,137.15,03/23/20,216.39
SRE,122.05,-19.82,18.34,6.07,18.79,9.37%,-1.87%,"Utility - Gas Distribution",Utilities,34113492000,4.18,88,03/23/20,161.87
WM,95.62,-21.51,7.19,4.43,20.61,72.90%,10.42%,"Waste Removal Svcs","Business Services",38732220000,2.18,85.34,03/25/20,126.79
MA,270.95,-16.06,42.34,7.78,34.18,198.03%,78.22%,"Financial Transaction Services","Business Services",260403360000,1.6,199.99,03/23/20,347.25
GLW,20.57,-4.31,1.46,1.75,11.26,-12.38%,18.40%,"Communications Components","Computers and Technology",15008362000,0.88,17.44,03/23/20,35.34
ES,83.35,-13.01,7.36,3.45,23.79,59.40%,10.13%,"Utility - Electric Power",Utilities,26353886000,2.27,60.69,03/23/20,99.42
DOV,89.6,-11.89,9.62,5.94,14.26,46.74%,-7.95%,"Machinery - General Industrial","Industrial Products",12320622000,1.96,62.95,03/23/20,120.26
CVS,59.41,-4.74,1.07,7.08,7.94,-43.35%,84.24%,"Retail - Drug Stores",Retail-Wholesale,74167576000,2,51.72,05/17/19,77.03
NOW,274.05,-43.19,0.98,0.57,473.6,257.96%,406.98%,"IT Services","Computers and Technology",49794032000,0,213.99,10/23/19,362.95
SCHW,36.49,2.36,3.53,2.72,13.26,15.50%,76.97%,"Finance - Investment Brokers",Finance,44977420000,0.72,28,03/16/20,51.65
PNR,32.69,-5.59,5.33,2.38,12.96,-50.78%,-57.99%,"Machinery - Thermal Processing","Industrial Products",5246975000,0.76,22.01,03/23/20,47.43
MTD,740.99,25.44,84.75,22.81,30.8,121.34%,21.02%,"Industrial Scientific","Computers and Technology",17014280000,0,579.4,03/23/20,873.51
KMI,14.83,-4.5,2.1,0.95,14.73,-67.65%,-18.59%,"Oil - Production & Pipeline",Oils-Energy,32163894000,1,9.42,03/19/20,22.58
COG,19.19,2.82,2.55,1.62,11.28,-44.08%,-4.91%,"Oil - US Exploration & Product",Oils-Energy,7325827000,0.4,13.06,02/28/20,27.65
EBAY,33.01,-3.38,4.23,2.29,13.62,34.61%,-39.67%,"Internet Commerce",Retail-Wholesale,25172082000,0.64,26.02,03/23/20,42
DISCA,21.58,-3.86,2.13,3.7,5.31,-36.98%,77.88%,"Broadcast - Radio & TV","Consumer Discretionary",10858261000,0,17.12,03/23/20,33.65
DAL,23.23,-22.66,-0.64,7.33,3.05,-50.29%,16.46%,"Transportation - Airline",Transportation,14242091000,0,19.1,03/18/20,63.44
XYL,69.09,-12.13,9.32,3.02,21.59,88.36%,34.04%,"Machinery - General Industrial","Industrial Products",11928961000,1.04,54.62,03/23/20,89.34
RSG,78.24,-17.28,5.53,3.34,22.19,90.45%,17.19%,"Waste Removal Svcs","Business Services",23923710000,1.62,65.37,03/23/20,100.91
BF.B,61.22,-1.03,7.75,1.79,32.06,58.50%,11.13%,"Beverages - Alcohol","Consumer Staples",28042854000,0.7,44.68,03/23/20,72.85
TXT,27.89,-8.08,3.03,3.75,7.29,-40.59%,-1.79%,"Aerospace - Defense",Aerospace,6059910000,0.08,20.26,03/23/20,58
TAP,45.62,-2.42,7.77,4.54,9.45,-43.45%,155.15%,"Beverages - Alcohol","Consumer Staples",9419021000,2.28,34.01,03/23/20,64.32
ETN,80.14,-12.63,7,5.68,13.63,10.20%,-5.15%,"Machinery - Electrical","Industrial Products",31335044000,2.92,56.42,03/23/20,105.78
EXC,37.59,-7.58,4.11,3.22,11.28,8.49%,25.55%,"Utility - Electric Power",Utilities,34856956000,1.53,29.28,03/23/20,51.18
BIIB,316.95,-1,23.68,33.64,9.26,-22.04%,48.18%,"Medical - Biomedical",Medical,52429816000,0,215.77,09/04/19,374.99
WAB,52.53,-8.99,6.41,4.19,11.72,-47.49%,169.34%,"Transportation - Equip & Lease",Transportation,9572129000,0.48,35.07,03/18/20,81.75
TJX,49.11,-9.45,4.49,2.68,17.21,43.08%,43.46%,"Retail - Discount",Retail-Wholesale,55908544000,0.92,32.72,03/23/20,64.95
HOG,18.85,-7.34,1.56,3.34,5.01,-70.43%,-13.92%,"Auto - Domestic",Auto-Tires-Trucks,2738319000,1.52,14.31,03/23/20,41.4
APH,79.62,-12.94,10.1,3.74,20.14,30.62%,53.88%,"Electronics - Connectors","Computers and Technology",22569228000,1,63.05,03/18/20,110.24
AXP,92.08,-16.16,14.24,8.19,10.24,13.27%,30.61%,"Finance - Misc Services",Finance,70768232000,1.72,67,03/18/20,138.13
CFG,20.53,-7.45,3.23,3.86,4.87,-22.25%,50.99%,"Finance - Savings & Loan",Finance,8347786000,1.56,14.12,03/18/20,41.29
CI,186.22,-9.3,13.15,17.05,10.18,35.11%,339.84%,"Insurance - Multi Line",Finance,65892888000,0.04,118.5,03/18/20,224.64
MDT,99.28,0.22,15.17,5.55,16.95,23.49%,79.69%,"Medical Products",Medical,126592080000,2.16,72.13,03/18/20,122.15
ALL,97.25,-9.89,10.85,10.45,8.95,30.56%,26.78%,"Insurance - Proprty & Casualty",Finance,29324052000,2.16,64.13,03/18/20,125.92
WEC,92.2,-12.52,8.68,3.58,25.5,77.15%,50.55%,"Utility - Electric Power",Utilities,27682576000,2.53,68.01,03/23/20,109.53
LKQ,22,-5.52,2.87,2.36,8.5,-16.97%,85.55%,"Auto - Truck Replacement Parts",Auto-Tires-Trucks,6431680000,0,13.31,03/23/20,36.63
WHR,99.68,-21.44,19.08,16,5.78,-49.94%,2.75%,"Appliances - Household","Consumer Discretionary",5948770000,4.8,64,03/23/20,163.64
ROST,89.05,-13.46,7.96,4.58,19.03,68.94%,45.26%,"Retail - Discount",Retail-Wholesale,30183624000,1.14,56.3,03/18/20,124.16
LW,57.75,-25.62,6.75,3.25,15.94,0.00%,33.44%,"Food - Misc & Diversified","Consumer Staples",8046749000,0.92,39.06,03/18/20,96.32
ZION,29.44,-5.84,4.12,4.34,6.21,2.37%,37.41%,"Banks - West",Finance,4598925000,1.36,23.58,03/23/20,52.48
AMGN,219.19,8.54,21.38,14.83,14.27,27.63%,16.44%,"Medical - Biomedical",Medical,123139904000,6.4,166.3,05/15/19,244.99
PPL,25.81,-5.7,2.91,2.46,9.72,-26.13%,-32.44%,"Utility - Electric Power",Utilities,18880548000,1.66,18.12,03/23/20,36.83
DHR,145.13,-3.3,16.43,4.7,30.2,64.21%,-10.06%,"Conglomerates - Div Operations",Conglomerates,96380584000,0.72,119.6,03/23/20,169.19
SLB,17.28,-6.57,4.69,1.47,10.66,-82.26%,-32.24%,"Oil - Field Services",Oils-Energy,22802962000,2,11.87,03/19/20,48.88
ED,83.83,-4.07,6.22,4.36,18.59,31.15%,-2.67%,"Utility - Electric Power",Utilities,26675296000,3.06,62.03,03/23/20,95.1
TSCO,90.7,-0.78,6.7,4.68,18.79,-0.59%,46.22%,"Retail - Misc & Diversified",Retail-Wholesale,10035002000,1.4,63.89,03/17/20,114.25
DISH,21.78,-7.43,3.08,2.6,8.12,-70.01%,-12.54%,"Cable TV","Consumer Discretionary",10863686000,0,17.09,03/18/20,44.65
PNC,99.5,-14.73,12.15,11.4,8.36,4.39%,32.82%,"Banks - Major Regional",Finance,40694764000,4.6,79.41,03/23/20,161.79
GWW,270.4,-14.23,33.88,17.29,14.53,7.77%,15.26%,"Industrial Services","Industrial Products",13843877000,5.76,200.61,03/23/20,346.6
ROK,167.8,-11.05,24.12,8.56,18.39,42.53%,1.08%,"Industrial Robotics","Computers and Technology",18598734000,4.08,115.38,03/23/20,209.6
MHK,85.09,-33.48,18.17,10.02,7.32,-54.16%,27.77%,"Textile - Home Furnishings","Consumer Discretionary",5818414000,0,56.62,03/23/20,156.6
HIG,38.7,-12.26,5.24,5.65,6.01,-11.89%,11.42%,"Insurance - Multi Line",Finance,13226664000,1.3,19.04,03/18/20,62.75
PLD,86.18,0.3,12.92,2.47,24.24,88.78%,89.15%,"REIT - Equity Trust Other",Finance,59829336000,2.32,59.82,03/23/20,99.79
TGT,104.63,-1.32,9.36,6.4,15.24,22.79%,7.57%,"Retail - Discount",Retail-Wholesale,49224528000,2.64,70.03,05/14/19,130.24
SYF,16.82,-11.43,2.31,4.29,3.61,-47.18%,52.91%,"Finance - Misc Services",Finance,9889250000,0.88,12.15,03/18/20,38.18
DHI,39.65,-15.15,6.97,4.53,8.13,29.25%,119.23%,"Building - Residential & Comm",Construction,13386941000,0.7,25.51,03/18/20,62.54
AVB,160.73,-48.33,22.71,5.64,15.53,-12.45%,37.96%,"REIT - Equity Trust Resident",Finance,20737304000,6.36,118.17,03/23/20,229.4
LVS,46.55,-8.31,6.25,3.26,12.48,-22.59%,-5.79%,Gaming,"Consumer Discretionary",32611270000,3.16,33.3,03/18/20,74.29
KMX,63.22,-21.78,10.86,5.33,10.22,-17.84%,42.41%,"Retail - Wholesale Auto Parts",Retail-Wholesale,9477963000,0,37.59,03/18/20,103.18
OKE,26.45,-34.76,7.25,3.07,7.6,-50.99%,-16.65%,"Utility - Gas Distribution",Utilities,10035386000,3.74,12.16,03/18/20,78.48
PAYC,202.58,-65.13,15.14,2.94,61.85,517.80%,388.75%,"Internet - Software","Computers and Technology",10946533000,0,163.42,04/03/20,342
HAL,8.75,-4.32,2.15,1.24,6.38,-82.85%,-31.83%,"Oil - Field Services",Oils-Energy,7074485000,0.72,4.25,03/18/20,32.3
TWTR,27.86,-5.6,4.54,0.49,50.88,-49.45%,146.57%,"Internet - Software","Computers and Technology",20034370000,0,20,03/18/20,45.85
UHS,106.99,-18.98,19.07,9.99,9.66,-17.86%,41.08%,"Medical - Hospitals",Medical,8531494000,0.8,65.2,03/19/20,157.79
CNP,16.82,-4.73,2.7,1.79,8.55,-25.98%,33.33%,"Utility - Electric Power",Utilities,7775454000,1.16,11.58,03/19/20,31.17
PSX,63.7,-5.6,14.19,8.07,7.12,-24.84%,-33.45%,"Oil - Refining and Marketing",Oils-Energy,25764720000,3.6,40.04,03/18/20,119.92
GM,23.13,-5.56,3.87,4.82,4.06,-41.87%,-11.99%,"Auto - Domestic",Auto-Tires-Trucks,30437740000,1.52,14.32,03/18/20,41.9
VNO,40.48,-11.87,6.82,1.23,9.66,-56.42%,-26.98%,"REIT - Equity Trust Other",Finance,7123778000,2.64,27.64,03/23/20,70.45
ALB,61.82,-20.78,6.98,6.04,9.43,-3.47%,46.77%,"Chemical - Diversified","Basic Materials",6060183000,1.54,48.89,03/23/20,99.4
SBAC,302.06,16.49,41.59,1.29,32.68,131.03%,31.94%,"REIT - Equity Trust Other",Finance,30966278000,1.86,193.91,04/18/19,309.85
MCHP,79.52,-7.44,16.73,5.05,14.65,49.07%,177.00%,"Semi Analog & Mixed","Computers and Technology",17567716000,1.47,53.15,03/19/20,112.47
KEY,11.33,-3.54,1.88,1.8,5.53,-25.83%,76.83%,"Banks - Major Regional",Finance,10135350000,0.74,7.45,03/19/20,20.52
RTX,62.62,-63.86,-28.75,8.26,6.04,-49.82%,18.35%,"Conglomerates - Div Operations",Conglomerates,50029688000,2.94,48.05,04/03/20,158.44
HBAN,8.81,-2.31,1.36,1.27,5.9,-26.82%,91.33%,"Banks - Midwest",Finance,8286047000,0.6,6.82,04/03/20,15.63
FBHS,47.29,-13.13,7.91,3.61,11.25,-2.70%,43.63%,"Protection - Safety","Industrial Products",6098167000,0.96,33.9,03/23/20,73.28
LEG,28.77,-8.99,4.35,2.57,9.86,-38.98%,25.65%,Furniture,"Consumer Discretionary",3512533000,1.6,22.03,03/23/20,55.42
CNC,65.15,6.59,9.03,4.42,13.6,76.52%,350.72%,"Medical - HMO",Medical,35296680000,0,41.62,10/01/19,68.64
FDX,125.54,-2.14,12.06,11.98,9.93,-30.98%,52.95%,"Transportation - Air Freight",Transportation,30291936000,2.6,88.69,03/17/20,199.32
AMAT,51.46,-6.33,8.16,3.22,14.33,121.31%,61.02%,"Semi-Eqpt Wafer Fabrication","Computers and Technology",43674588000,0.84,36.64,03/18/20,69.44
NVR,2934.65,-910.58,524.65,221.25,12.16,104.75%,66.24%,"Building - Residential & Comm",Construction,10004447000,0,2043.01,03/18/20,4071.13
UDR,38.66,-9.65,5.68,0.6,16.91,9.73%,40.85%,"REIT - Equity Trust Resident",Finance,10541996000,1.37,29.2,03/23/20,51.25
CE,81.98,-10.27,13.93,9.52,7.61,12.89%,-7.42%,"Chemical - Specialty","Basic Materials",9067051000,2.48,52.7,03/18/20,128.88
DVN,9.41,-3.96,2.62,1.38,6.38,-86.79%,-68.21%,"Oil - US Exploration & Product",Oils-Energy,3346992000,0.36,4.7,03/18/20,35.39
ESS,234.12,-60.54,33.8,6.67,15.91,-3.52%,50.64%,"REIT - Equity Trust Resident",Finance,14202494000,8.31,175.81,03/23/20,334.17
ZBH,111.28,-12.82,21.65,7.87,12.44,-11.08%,70.80%,"Medical Products",Medical,21034634000,0.96,74.37,03/18/20,161.11
MPC,24.31,-14.84,3.44,4.83,4.78,-54.40%,26.72%,"Oil - Refining and Marketing",Oils-Energy,14620336000,2.32,15.26,03/19/20,69.65
MAR,82.53,-28.13,13.38,6.01,11.75,-4.92%,52.02%,"Hotels & Motels","Consumer Discretionary",23933550000,1.92,46.56,03/18/20,153.39
WELL,51.59,-22.37,10.99,3.23,10.19,-41.00%,53.17%,"REIT - Equity Trust Other",Finance,18228688000,3.48,24.27,03/18/20,93.17
TDG,328.25,-174.86,55.71,18.66,15.48,30.56%,120.12%,"Aerospace - Defense Equipment",Aerospace,15377850000,0,200.06,03/18/20,673.51
ADS,40.71,-31.9,9.67,16.33,1.91,-87.93%,5.25%,"Financial Transaction Services","Business Services",1694128000,2.52,20.51,03/19/20,182.95
DXC,15.8,-3.23,3.84,6.56,2.06,0.00%,59.66%,"IT Services","Computers and Technology",3529259000,0.84,7.9,03/18/20,67.09
FANG,37.48,-11.08,12.41,6.49,4.95,-60.02%,699.64%,"Oil - US Exploration & Product",Oils-Energy,5224955000,1.5,14.55,03/18/20,114.14
WYNN,69.07,-24.96,15.07,2.6,21.82,-51.51%,21.67%,Gaming,"Consumer Discretionary",6542348000,4,35.84,03/18/20,153.41
GPS,7.85,-5.34,1.96,1.98,3.33,-82.85%,-0.32%,"Retail - Apparel & Shoes",Retail-Wholesale,2587975000,0.97,5.26,04/02/20,26.85
WY,19.46,-7.14,3.34,0.38,45,-45.20%,-11.47%,"Building Products - Wood",Construction,12890024000,1.36,13.1,03/23/20,31.58
APTV,60.2,-16.09,14.28,4.8,10.4,-23.54%,-15.66%,"Technology Services","Business Services",13654216000,0.88,29.22,03/18/20,99.04
OXY,15.56,-11.3,4.82,1.62,8.3,-82.81%,5.60%,"Oil - US Integrated",Oils-Energy,12389914000,3.16,9,03/18/20,68.18
UAL,27.51,-24.59,1.86,12.1,1.99,-60.19%,11.20%,"Transportation - Airline",Transportation,6069841000,0,17.8,03/18/20,96.03
RCL,37.56,-27.45,11.79,9.54,3.1,-57.55%,35.63%,"Leisure & Recreation Services","Consumer Discretionary",7011950000,3.12,19.25,03/18/20,135.32
FTI,8.81,-3.79,2.25,0.6,12.95,-79.98%,68.83%,"Oil - Field Services",Oils-Energy,3526256000,0,4.49,03/18/20,28.57
PEAK,26.68,-7.04,5.39,0.1,13.14,-44.70%,-11.87%,"REIT - Equity Trust Other",Finance,12084604000,1.48,18.63,03/18/20,37.93
AMT,249.25,2.93,42.28,4.23,30.15,137.01%,84.88%,"REIT - Equity Trust Other",Finance,100881840000,4.04,174.32,03/23/20,258.62
HES,39.18,-10.54,7.2,-0.92,0,-54.63%,-39.51%,"Oil - US Integrated",Oils-Energy,10725255000,1,26.06,03/18/20,74.11
REG,40.89,-19.55,5.35,1.46,8.97,-43.70%,110.66%,"REIT - Equity Trust Retail",Finance,6166918000,2.38,31.8,04/03/20,70.26
NLSN,14.9,-1.46,3.05,1.67,7.89,-69.62%,3.34%,"Business Information","Business Services",4787460000,0.24,11.62,04/02/20,27.28
AAL,11.33,-4.64,0.64,4.91,1.93,-78.79%,7.31%,"Transportation - Airline",Transportation,4354323000,0.4,9.09,04/03/20,35.24
PHM,25.52,-15.98,4.72,3.6,6.03,3.79%,75.41%,"Building - Residential & Comm",Construction,6217525000,0.48,17.12,03/23/20,47.37
LNC,32.56,-5.56,8.71,9.13,2.96,-48.20%,27.33%,"Insurance - Life",Finance,5747844000,1.6,16.11,03/23/20,67.52
LEN,43.36,-19.19,8.63,6.29,6.24,-19.18%,186.12%,"Building - Residential & Comm",Construction,12400585000,0.5,25.42,03/18/20,71.38
ANTM,247.02,-35.17,32.72,19.42,11.62,46.94%,41.07%,"Medical - HMO",Medical,56491296000,3.8,171.03,03/23/20,312.48
