Symbol,Last,"1M Chg","5D Chg","Earnings ttm","P/E ttm","5Y Return","5Y Rev%",Industry,Sector,"Market Cap",Dividend(a),"52W Low","52W Low Date","52W High"
MSI,155.38,18.77,9.14,7.43,20.56,160.48%,34.11%,"Wireless Equipment","Computers and Technology",27065916000,2.56,120.77,03/23/20,187.49
ISRG,518.33,124.14,23.8,11.55,43.97,212.10%,110.09%,"Medical Instruments",Medical,61449028000,0,360.5,03/23/20,619
PAYX,66.46,14.49,2.31,3.01,21.19,37.11%,49.77%,Outsourcing,"Business Services",24213262000,2.48,47.87,03/18/20,90.54
MET,32.55,8.17,-1.77,6.11,5.07,-26.91%,-5.04%,"Insurance - Multi Line",Finance,30277276000,1.76,22.85,03/23/20,53.28
MYL,15.86,0.61,-0.2,4.42,3.51,-78.82%,48.98%,"Medical - Generic Drugs",Medical,8315612000,0,12.75,03/16/20,28.45
KMB,139.72,21.44,7.01,6.88,20.31,27.14%,-6.46%,"Consumer Prdts - Misc Staple","Consumer Staples",48466832000,4.28,110.66,03/24/20,149.23
ETFC,39.25,10.27,-0.91,4.13,9.47,41.53%,55.77%,"Finance - Investment Brokers",Finance,8812227000,0.56,25.76,03/18/20,57.3
NBL,6.86,2.83,-0.36,-0.34,0,-86.23%,-13.00%,"Oil - US Exploration & Product",Oils-Energy,3371028000,0.48,2.73,03/18/20,28.4
HSY,144.58,26.85,1.93,5.79,25.12,54.77%,7.61%,"Food - Confectionery","Consumer Staples",30719694000,3.09,109.88,03/23/20,162.2
XRX,17.83,1.38,-0.36,4.31,3.92,-42.65%,-53.60%,"Office Supply & Forms","Industrial Products",3855737000,1,15.01,03/19/20,39.47
ICE,89.4,16.41,4.22,3.87,22.76,102.34%,68.24%,"Securities Exchanges",Finance,49642076000,1.2,63.51,03/23/20,101.93
BBY,69.79,18.14,1.45,6.13,10.6,98.93%,8.18%,"Retail - Consumer Electronics",Retail-Wholesale,18217902000,2.2,48.1,03/19/20,91.99
ADP,139.82,27.76,0.29,5.77,23.73,65.98%,16.13%,Outsourcing,"Business Services",60911856000,3.64,103.11,03/18/20,182.32
AFL,36.15,9.42,-1.13,4.44,7.89,13.66%,-1.85%,"Insurance - Accident & Health",Finance,26357200000,1.12,23.07,03/18/20,57.18
HSIC,53.15,8.14,1.45,3.51,14.98,-4.04%,-3.72%,"Medical - Dental Suppliers",Medical,7657432000,0,41.85,03/23/20,73.99
BIIB,339.41,60.64,16.47,33.64,10.06,-7.42%,48.18%,"Medical - Biomedical",Medical,59625620000,0,215.77,09/04/19,374.99
IPGP,117.94,8.86,0.95,4.43,26.07,25.98%,70.76%,"Lasers - Systems & Components","Computers and Technology",6326554000,0,98.04,03/16/20,182.17
PNR,31.36,7.58,-0.1,2.38,12.81,-48.54%,-57.99%,"Machinery - Thermal Processing","Industrial Products",5307324000,0.76,22.01,03/23/20,47.43
CAH,50.74,7.41,1.71,5.49,9.12,-43.94%,59.78%,"Medical - Dental Suppliers",Medical,14948094000,1.92,39.05,03/23/20,60.69
KMX,64.56,20.29,1.96,5.33,11.08,-6.79%,42.41%,"Retail - Wholesale Auto Parts",Retail-Wholesale,10655970000,0,37.59,03/18/20,103.18
HPQ,15.36,1.41,-0.18,2.36,6.46,2.66%,-47.28%,"Computer - Mini","Computers and Technology",22189938000,0.7,12.54,03/19/20,23.93
CDNS,77.84,22.76,6.29,3.53,22.26,314.17%,47.78%,"Computer - Software","Computers and Technology",22035214000,0,51.39,03/18/20,80.46
CTL,10.14,1.04,0.04,1.32,7.39,-71.85%,24.24%,"Wireless National",Utilities,11167785000,1,8.16,03/23/20,15.3
NRG,31.03,7.72,1.05,3.46,8.58,22.88%,-38.11%,"Utility - Electric Power",Utilities,7859503000,1.2,19.54,03/18/20,41.78
TMUS,89.94,15.39,3.77,4.49,20.1,165.20%,52.21%,"Wireless National",Utilities,77972328000,0,63.5,03/18/20,101.35
IRM,24.67,1.96,-1.57,0.85,10.59,-31.57%,36.72%,"REIT - Equity Trust Other",Finance,7193846000,2.47,21,04/02/20,36.52
PAYC,222.36,29.55,6.01,2.94,70.31,583.65%,388.75%,"Internet - Software","Computers and Technology",13239762000,0,163.42,04/03/20,342
HRL,49.92,4.8,2.82,1.75,28.69,84.18%,1.94%,"Food - Meat Products","Consumer Staples",27163064000,0.93,37,05/23/19,51.53
FFIV,122.66,22.52,1.96,7.98,15.33,0.75%,29.47%,"Internet - Software","Computers and Technology",7546385000,0,79.78,03/18/20,168.94
OMC,53.92,4.41,-1.83,6.06,8.75,-29.59%,-2.38%,"Advertising Marketing Services","Business Services",11834486000,2.6,46.37,03/23/20,85.05
CHD,72.67,6.92,4.57,2.48,29.29,75.22%,32.15%,"Soap and Cleaning Products","Consumer Staples",18076826000,0.96,47.98,03/16/20,80.99
SPGI,279.17,70.38,10.73,9.53,28.81,166.02%,32.63%,"Business Information","Business Services",68086952000,2.68,186.05,03/18/20,312.94
COTY,5.68,1.2,-0.11,0.63,9.08,-76.80%,90.01%,"Cosmetics & Toiletries","Consumer Staples",4373163000,0.5,3.02,03/18/20,14.14
STX,50.83,10.1,-0.08,3.97,12.75,-11.78%,-24.29%,"Computer - Storage Devices","Computers and Technology",13431405000,2.6,39.02,03/23/20,64.17
RF,9.4,1.14,-1.27,1.55,5.71,-0.63%,24.88%,"Banks - Southeast",Finance,9114382000,0.62,6.94,03/19/20,17.54
HOLX,43.24,12.19,2.28,2.47,16.79,28.83%,33.06%,"Medical Instruments",Medical,11529995000,0,26.49,03/18/20,55.25
CMA,29.62,0.69,-3.16,7.8,3.34,-34.33%,45.80%,"Banks - Major Regional",Finance,4210320000,2.72,24.28,03/19/20,79.74
BLK,470.8,116.08,18.41,28.51,16.1,27.85%,31.21%,"Finance - Investment Mgmt",Finance,73832352000,14.52,323.98,03/18/20,576.81
TEL,66.58,11.02,-2.54,5.46,11.66,-2.03%,-3.34%,"Electronics - Misc Components","Computers and Technology",22504932000,1.84,48.62,03/19/20,101
AMCR,8.64,1.34,-0.26,0.42,0,0.00%,117.76%,"Containers - Paper Products","Industrial Products",14083532000,0.46,5.8,03/16/20,11.77
EOG,41.17,6.28,-2.12,4.98,7.33,-56.74%,-3.63%,"Oil - US Exploration & Product",Oils-Energy,24353180000,1.5,27,03/18/20,107.89
NTRS,79.33,14.77,-4.22,6.62,11.78,9.44%,52.80%,"Banks - Major Regional",Finance,16741359000,2.8,60.67,03/23/20,110.48
DISCA,21.7,2.94,-0.29,3.7,5.8,-32.31%,77.88%,"Broadcast - Radio & TV","Consumer Discretionary",11630474000,0,17.12,03/23/20,33.65
KMI,14.69,2.34,-0.26,0.95,14.85,-66.24%,-18.59%,"Oil - Production & Pipeline",Oils-Energy,33907992000,1,9.42,03/19/20,22.58
LIN,185,33.7,-1.11,7.35,24.92,0.00%,130.00%,"Oil - Field Services",Oils-Energy,102742776000,0,146.71,03/16/20,227.85
HON,135.7,23.2,-2.24,8.16,16.22,34.95%,-8.92%,"Conglomerates - Div Operations",Conglomerates,98566832000,3.6,101.08,03/23/20,184.06
HII,192.26,32.94,-2.33,14.02,13.73,40.41%,27.91%,"Aerospace - Defense",Aerospace,7980274000,4.12,147.14,03/23/20,279.71
MMM,143.67,18.78,-2.73,8.96,16.17,-7.88%,0.99%,"Conglomerates - Div Operations",Conglomerates,84221976000,5.88,114.04,03/23/20,219.75
PLD,88.5,25.68,2.09,2.47,26.65,111.98%,89.15%,"REIT - Equity Trust Other",Finance,66680704000,2.32,59.82,03/23/20,99.79
PRGO,50.86,8.73,0.49,4.03,12.62,-73.11%,5.07%,"Medical Products",Medical,7060907000,0.9,40.01,04/02/20,63.86
INTC,59.18,13.35,0.48,4.89,12.43,88.15%,28.81%,"Semi General","Computers and Technology",258372368000,1.32,42.86,05/23/19,69.29
LH,145.61,38.37,5.16,11.31,12.25,17.01%,92.21%,"Medical - Dental Suppliers",Medical,14421736000,0,98.02,03/19/20,196.36
COP,34.57,7.73,0.27,3.59,8.65,-47.77%,-33.95%,"Oil - US Integrated",Oils-Energy,37970080000,1.68,20.84,03/18/20,67.42
GPC,73.18,17.83,1.89,5.7,12.89,-18.85%,26.40%,"Auto - Truck Replacement Parts",Auto-Tires-Trucks,10852767000,3.16,49.68,03/23/20,108.58
MSFT,175.06,37.71,9.55,5.4,32.79,273.09%,44.93%,"Computer - Software","Computers and Technology",1358440064000,2.04,119.01,06/03/19,190.7
TAP,43.49,6.55,-1.53,4.54,9.51,-40.93%,155.15%,"Beverages - Alcohol","Consumer Staples",9602945000,2.28,34.01,03/23/20,64.32
ADI,100.91,15.83,1.24,4.84,21.04,64.40%,109.13%,"Semi Analog & Mixed","Computers and Technology",37853016000,2.48,79.07,03/18/20,127.3
UAA,9.65,1.48,-0.16,0.34,27.47,-76.14%,70.77%,"Textile - Apparel","Consumer Staples",4450486000,0,7.39,04/03/20,27.72
LOW,95.13,28.77,-0.07,5.72,16.16,32.72%,28.32%,"Building Prds Retail - Wsale",Retail-Wholesale,73305544000,2.2,60,03/19/20,126.73
GWW,274.51,60.73,0.15,17.29,16.19,13.40%,15.26%,"Industrial Services","Industrial Products",15040248000,5.76,200.61,03/23/20,346.6
AAPL,276.93,47.78,3.77,12.66,22.65,117.07%,42.33%,"Computer - Mini","Computers and Technology",1237385728000,3.08,170.27,06/03/19,327.85
WM,98.2,-0.11,1.45,4.43,22.02,90.41%,10.42%,"Waste Removal Svcs","Business Services",42477080000,2.18,85.34,03/25/20,126.79
RJF,62.36,0.94,-5.07,7.5,8.09,11.58%,61.58%,"Finance - Investment Brokers",Finance,8868212000,1.48,54.21,03/23/20,102.45
FOX,25.69,5.64,0.29,2.31,10.88,0.00%,0.00%,"Broadcast - Radio & TV","Consumer Discretionary",15917202000,0.46,19.13,03/23/20,38.91
CMI,146.1,29.62,-0.35,14.86,9.76,9.29%,22.63%,"Engines - Internal Combustion",Auto-Tires-Trucks,22096838000,5.24,101.03,03/23/20,186.73
FANG,30.86,12.27,-2.22,6.49,4.32,-60.52%,699.64%,"Oil - US Exploration & Product",Oils-Energy,4989112000,1.5,14.55,03/18/20,114.14
ALL,102.72,28.85,4.72,10.45,9.56,47.88%,26.78%,"Insurance - Proprty & Casualty",Finance,33250616000,2.16,64.13,03/18/20,125.92
AMT,248.68,53.29,-1.08,4.23,32.28,166.53%,84.88%,"REIT - Equity Trust Other",Finance,112525968000,4.32,174.32,03/23/20,260.43
ITW,155.21,29.43,3.28,7.73,19.83,67.58%,-2.59%,"Machinery - General Industrial","Industrial Products",50352004000,4.28,115.94,03/23/20,190.85
GD,135.25,21.26,-1.7,11.98,11.06,3.05%,27.54%,"Aerospace - Defense",Aerospace,40104536000,4.4,100.55,03/23/20,193.76
MS,38.36,8.69,-1.22,4.97,8.29,4.63%,20.84%,"Finance - Investment Brokers",Finance,61588208000,1.4,27.2,03/18/20,57.57
COST,312.08,21.66,12.46,8.41,38.24,114.64%,35.57%,"Retail - Discount",Retail-Wholesale,140387120000,2.6,233.05,05/31/19,325.26
WAT,194.33,20.87,6.68,9.07,21.27,59.88%,20.97%,"Industrial Scientific","Computers and Technology",12276826000,0,154.39,03/23/20,245.68
DG,179,38.87,7.43,6.74,26.73,137.71%,46.77%,"Retail - Discount",Retail-Wholesale,45803392000,1.44,116.15,05/15/19,183.95
PSA,193.32,22.1,-8.11,7.29,18.08,1.49%,29.67%,"REIT - Equity Trust Other",Finance,34336452000,8,155.37,03/23/20,266.76
HD,206.05,53.9,7.26,10.25,19.5,84.19%,32.52%,"Building Prds Retail - Wsale",Retail-Wholesale,224941360000,6,140.63,03/18/20,247.36
CVS,62.34,7.64,3.38,7.08,8.84,-37.63%,84.24%,"Retail - Drug Stores",Retail-Wholesale,82631584000,2,51.72,05/17/19,77.03
NWS,9.02,0.31,-0.56,0.33,26.36,-40.57%,17.49%,"Movie & TV Production & Dist","Consumer Discretionary",5394390000,0.2,7.88,04/02/20,15.36
RTX,64.98,16.29,3.15,8.26,7.56,-3.59%,18.35%,"Aerospace - Defense Equipment",Aerospace,57227520000,2.94,40.72,03/18/20,93.47
OTIS,45.39,0.39,-0.61,0,0,0.00%,0.00%,"Building & Construction - Misc",Construction,19988072000,0,38,03/25/20,50.25
EW,224.6,58.15,17.41,5.57,39.05,230.24%,87.18%,"Medical Instruments",Medical,47765784000,0,154.52,03/23/20,247.64
HUM,367.33,136.72,19.07,17.84,21.15,104.88%,33.79%,"Medical - HMO",Medical,49360204000,2.5,208.25,03/23/20,384.99
GS,180.4,41.99,1.22,21,9.62,-7.32%,5.84%,"Finance - Investment Brokers",Finance,63097440000,5,130.85,03/19/20,250.46
IT,104.17,20.93,-1.61,3.91,25.35,26.94%,110.01%,Consulting,"Business Services",9441141000,0,76.91,03/18/20,171.77
EFX,125.81,20.16,4.39,5.61,21.75,29.93%,43.97%,"Financial Transaction Services","Business Services",15608629000,1.56,103.01,03/23/20,164.77
DXC,15.07,3.4,-0.52,6.56,2.07,0.00%,59.66%,"IT Services","Computers and Technology",3889543000,0.84,7.9,03/18/20,67.09
ADSK,177.87,29.85,16.95,1.41,121.28,188.86%,30.34%,"Computer - Software","Computers and Technology",39720128000,0,125.38,03/18/20,211.58
WMT,129.85,15.88,4.55,4.94,26.79,65.48%,7.89%,"Retail - Supermarket",Retail-Wholesale,374200448000,2.16,98.85,05/09/19,133.38
MTD,707.63,62.51,16.85,22.81,30.51,123.84%,21.02%,"Industrial Scientific","Computers and Technology",17288142000,0,579.4,03/23/20,873.51
CL,72.16,10.08,2.67,2.83,25.74,6.14%,-9.17%,"Soap and Cleaning Products","Consumer Staples",62776304000,1.72,58.49,03/23/20,77.41
MDT,101.54,24.08,2.02,5.55,17.24,33.14%,79.69%,"Medical Products",Medical,138479360000,2.16,72.13,03/18/20,122.15
ETN,77.89,12.96,-0.5,5.68,13.35,15.57%,-5.15%,"Machinery - Electrical","Industrial Products",32610498000,2.92,56.42,03/23/20,105.78
ANTM,263.2,71.61,22.67,19.42,14,73.59%,41.07%,"Medical - HMO",Medical,67527328000,3.8,171.03,03/23/20,312.48
QRVO,84.77,13.92,0.04,5.39,16.11,23.03%,169.14%,"Semi Radio Frequency","Computers and Technology",9980144000,0,58.52,05/23/19,122.37
JKHY,166.67,32.34,3.55,3.66,45.19,151.53%,28.32%,"Electronic Misc Services","Computers and Technology",13016316000,1.72,123.64,03/23/20,174.93
VIAC,15.52,3.55,-0.54,4.45,3.29,-74.81%,101.45%,"Movie & TV Production & Dist","Consumer Discretionary",9697077000,0.96,10.1,03/18/20,53.71
FDX,122.64,11.58,-0.89,11.98,9.94,-26.54%,52.95%,"Transportation - Air Freight",Transportation,32617062000,2.6,88.69,03/17/20,198.31
TXN,111.53,13.93,3.86,5.12,21.76,107.47%,10.26%,"Semi General","Computers and Technology",106052976000,3.6,93.09,03/16/20,135.7
AOS,40.35,5.6,0.72,2.23,17.89,23.38%,27.02%,"Machinery - Electrical","Industrial Products",6653728000,0.96,33.81,03/23/20,56.5
FMC,84.56,19.24,-2.07,6.08,13.71,47.00%,14.17%,"Chemical - Diversified","Basic Materials",11144869000,1.76,56.77,03/18/20,108.77
NVDA,287.05,81.3,17.2,4.58,64.35,"1,226.92%",133.22%,"Semi General","Computers and Technology",179041920000,0.64,132.6,06/03/19,316.32
SWK,110.48,31.03,-3.57,8.39,12.72,12.78%,27.37%,"Machinery - Tools & Related","Industrial Products",17333972000,2.76,70,03/23/20,173.67
DE,137.3,25.67,-2.5,10,12.99,56.65%,8.85%,"Machinery - Farm","Industrial Products",43423828000,3.04,106.14,03/18/20,181.99
DVA,77.52,12.53,3.93,5.52,13.89,-6.85%,-10.99%,"Medical - Outpatient & Hm Care",Medical,9816896000,0,43.4,05/31/19,90.15
GL,75.6,14.19,-4.11,6.74,10.8,37.73%,14.21%,"Finance - Misc Services",Finance,8296419000,0.75,56.74,03/23/20,111.43
ABBV,83.99,15.17,3.69,8.94,9.16,26.31%,66.66%,"Large Cap Pharma",Medical,123228352000,4.72,62.55,03/23/20,97.86
CAG,33.88,7.83,1.92,1.89,17.71,15.01%,-46.12%,"Food - Misc & Diversified","Consumer Staples",16356013000,0.85,22.83,03/13/20,35.59
AKAM,106.24,23.87,11.05,3.55,29.81,39.09%,47.34%,"Internet - Services","Computers and Technology",17054268000,0,73.19,06/03/19,108.25
IDXX,267.34,84.05,12.95,4.88,53.51,223.27%,61.99%,"Medical Instruments",Medical,22628486000,0,168.65,03/23/20,296.25
BDX,263.44,43.32,15.38,11.63,22.49,81.11%,104.71%,"Medical - Dental Suppliers",Medical,70884624000,3.16,197.75,03/23/20,286.72
AMZN,2393.61,547.52,224.74,23.01,104.66,433.59%,215.24%,"Internet Commerce",Retail-Wholesale,1182407936000,0,1626.03,03/16/20,2461
TSCO,93.43,17.52,3.76,4.68,19.49,1.91%,46.22%,"Retail - Misc & Diversified",Retail-Wholesale,10757838000,1.4,63.89,03/17/20,114.25
EMR,50.92,6.83,-0.27,3.52,13.46,-12.33%,-25.13%,"Machinery - Electrical","Industrial Products",30922444000,2,37.75,03/23/20,78.38
TTWO,125.35,25.2,5.35,2.92,43.43,396.17%,13.52%,"Toys & Game & Hobby","Consumer Discretionary",14114483000,0,89.89,04/22/19,135.7
AMGN,236.6,48.35,18.33,14.83,15.57,39.94%,16.44%,"Medical - Biomedical",Medical,138106672000,6.4,166.3,05/15/19,244.99
HAL,7.63,2.58,-0.22,1.24,5.38,-84.21%,-31.83%,"Oil - Field Services",Oils-Energy,6620001000,0.72,4.25,03/18/20,32.09
ZION,29.27,3.69,-0.81,4.34,6.21,5.32%,37.41%,"Banks - West",Finance,4769498000,1.36,23.58,03/23/20,52.48
AMD,56.97,17.36,6.03,0.48,118.65,"2,360.87%",22.25%,"Electronics - Semiconductors","Computers and Technology",66270224000,0,26.03,05/23/19,59.27
HAS,75.68,29.57,1.46,4.07,17.94,5.01%,10.36%,"Toys & Game & Hobby","Consumer Discretionary",10302926000,2.72,41.33,03/18/20,126.87
CBOE,102.96,23.27,9.65,4.74,20.66,78.17%,304.40%,"Securities Exchanges",Finance,11264369000,1.44,72.01,03/19/20,127.93
SIVB,174.67,24.03,4.26,21.73,7.43,34.89%,141.15%,"Banks - West",Finance,8953199000,0,127.39,03/16/20,270.95
NEM,59.54,18.98,-0.23,1.31,45.73,137.11%,33.57%,"Mining - Misc","Basic Materials",47845284000,0.56,29.77,05/10/19,61.53
DFS,35.22,9.97,-0.96,9.08,3.49,-39.99%,45.55%,"Finance - Consumer Loans",Finance,10804164000,1.76,23.25,03/19/20,92.98
EBAY,37.64,10.06,2.88,2.29,16.25,50.26%,-39.67%,"Internet Commerce",Retail-Wholesale,29817216000,0.64,26.02,03/23/20,42
ABC,89.62,9.01,4.17,7.24,11.92,-22.77%,50.20%,"Medical - Dental Suppliers",Medical,18363420000,1.68,70.55,04/22/19,97.5
VRSN,210.9,53.77,11.9,5.01,41.14,222.77%,21.93%,"Internet Software Services","Computers and Technology",24301706000,0,148.77,03/23/20,221.78
FRC,100.42,20.85,7.01,5.2,18.52,70.07%,130.75%,"Banks - West",Finance,16848368000,0.76,70.06,03/23/20,122.34
CERN,70.25,13.7,4.53,2.41,28.48,-4.51%,67.30%,"Medical Information Systems",Medical,21300264000,0.72,53.08,03/23/20,80.9
LLY,157.79,35.39,13.37,6.04,25.62,119.74%,13.78%,"Large Cap Pharma",Medical,150532512000,2.96,101.36,10/23/19,160.2
FITB,16.68,3.77,-0.69,2.77,5.33,-14.89%,50.55%,"Banks - Major Regional",Finance,11826141000,1.08,11.1,03/19/20,31.64
PYPL,112.17,25.49,6.19,2.35,46.09,0.00%,121.46%,"Internet - Software","Computers and Technology",131195136000,0,82.07,03/23/20,124.45
IBM,120.41,25.02,-0.74,12.81,9.03,-29.25%,-16.86%,"Computer - Integrated Systems","Computers and Technology",106715576000,6.48,90.56,03/23/20,158.75
EA,115.41,28.47,6.11,4.18,28.25,92.27%,38.46%,"Toys & Game & Hobby","Consumer Discretionary",33355962000,0,85.69,03/16/20,118.69
ANET,211.99,47.51,9.91,8.74,23.48,216.34%,312.72%,"Communications Components","Computers and Technology",15889901000,0,156.63,03/23/20,328.5
NOW,302.46,47.76,18.9,0.57,512.18,293.73%,406.98%,"IT Services","Computers and Technology",56862184000,0,213.99,10/23/19,362.95
ADBE,344.88,49.54,24.23,7.07,48.47,349.58%,169.38%,"Computer - Software","Computers and Technology",165792528000,0,255.13,03/18/20,386.74
ALGN,196.71,51.89,10.99,4.96,36.36,226.12%,216.00%,"Medical - Dental Suppliers",Medical,15200488000,0,127.88,03/19/20,334.64
CARR,14.45,1.7,0.46,0,0,0.00%,0.00%,"Electronics Products - Misc","Computers and Technology",11901904000,0,11.5,03/24/20,17.25
DD,39.72,8.25,1.4,5.4,6.71,-47.20%,-63.02%,"Chemical - Diversified","Basic Materials",28148376000,1.2,28.33,03/23/20,81.88
NFLX,437.49,104.66,40.77,4.13,106.34,430.21%,266.17%,"Broadcast - Radio & TV","Consumer Discretionary",185597808000,0,252.28,09/24/19,449.52
ALXN,106.72,26.37,10.18,9.71,10.15,-42.54%,123.44%,"Medical - Biomedical",Medical,22982910000,0,72.67,03/16/20,137.52
TSN,63.86,10.24,1.68,5.54,10.99,61.29%,12.84%,"Food - Meat Products","Consumer Staples",22756406000,1.68,42.57,03/18/20,94.24
JNPR,23.1,5.46,1.26,1.24,17.69,-13.66%,-3.93%,"Wireless Equipment","Computers and Technology",7470941000,0.8,15.2,03/16/20,28.77
WMB,18.49,6.96,1.39,0.98,16.93,-65.61%,7.39%,"Oil - Production & Pipeline",Oils-Energy,21933282000,1.6,8.41,03/19/20,29.06
SCHW,36.59,5.84,1.82,2.72,13.16,18.82%,76.97%,"Finance - Investment Brokers",Finance,46071608000,0.72,28,03/16/20,51.65
TFC,34.13,4.09,0.19,4.36,6.8,-11.59%,47.73%,"Banks - Major Regional",Finance,44923068000,1.8,24.01,03/16/20,56.92
COG,21.42,6.5,2.44,1.62,11.92,-36.54%,-4.91%,"Oil - US Exploration & Product",Oils-Energy,8354153000,0.4,13.06,02/28/20,27.42
CFG,20.3,2.78,-0.89,3.86,4.45,-22.29%,50.99%,"Finance - Savings & Loan",Finance,8493114000,1.56,14.12,03/18/20,41.29
ABT,98,30,12.15,3.24,29.45,98.70%,57.57%,"Medical Products",Medical,169307200000,1.44,61.61,03/23/20,100
ILMN,322.88,80.88,33.43,6.58,46.12,66.87%,90.34%,"Medical - Biomedical",Medical,46504916000,0,196.78,03/18/20,380.76
CPB,51.3,6,2.8,2.48,20.61,9.89%,-1.95%,"Food - Misc & Diversified","Consumer Staples",15189843000,1.4,35.27,05/31/19,57.54
HBAN,8.14,0.52,-0.58,1.27,5.65,-25.30%,91.33%,"Banks - Midwest",Finance,8214704000,0.6,6.82,04/03/20,15.63
K,66.25,10.44,3.45,3.94,16.28,2.02%,-6.87%,"Food - Misc & Diversified","Consumer Staples",22269284000,2.28,51.34,05/31/19,71.05
BMY,61.68,13.28,2.76,4.67,12.75,-7.90%,64.65%,"Large Cap Pharma",Medical,136805104000,1.8,42.48,07/23/19,68.34
STE,157.45,41.75,7.94,5.53,27.18,119.01%,71.50%,"Medical Instruments",Medical,13143471000,1.48,105.69,03/23/20,168.98
MSCI,321.95,78.88,12.43,6.44,48.04,405.55%,56.30%,"Business Software Services","Computers and Technology",26965054000,2.72,206.82,08/05/19,335.43
BAX,94.14,18.39,8.14,2.62,0,140.41%,-31.85%,"Medical Products",Medical,47150188000,0.88,69.1,03/16/20,95.19
INCY,101.19,34.23,13.18,2.15,44.49,-6.84%,322.04%,"Medical - Biomedical",Medical,21677600000,0,62.48,03/23/20,102.42
TWTR,27.01,3.06,-0.2,0.49,54.18,-47.46%,146.57%,"Internet - Software","Computers and Technology",20949596000,0,20,03/18/20,45.85
KEY,10.93,1.74,-0.63,1.8,6.41,-24.03%,76.83%,"Banks - Major Regional",Finance,10484511000,0.74,7.45,03/19/20,20.52
ANSS,266.72,53.61,23.79,5.44,47.39,201.74%,61.95%,"Computer - Software","Computers and Technology",22672704000,0,174.25,06/03/19,299.06
PKI,84.52,13.63,8.09,4.1,19.88,61.92%,28.90%,"Industrial Scientific","Computers and Technology",9308353000,0.28,62.91,03/23/20,102.46
